n_past_tgt,decode_time_ms,do_defrag
11,14.813,0
14,9.043,0
18,17.685,0
22,9.598,0
24,18.068,0
30,9.491,0
40,10.413,0
43,9.667,0
46,9.701,0
51,9.276,0
57,9.293,0
64,9.135,0
70,10.040,0
72,9.517,0
77,9.278,0
82,9.130,0
87,9.106,0
91,10.219,0
95,9.536,0
100,9.216,0
105,9.258,0
106,9.227,0
108,8.628,0
115,18.126,0
119,10.741,0
127,9.545,0
130,10.348,0
131,10.032,0
137,8.752,0
139,13.840,0
142,8.741,0
150,9.719,0
155,10.386,0
157,9.537,0
159,9.677,0
160,9.323,0
165,8.652,0
167,8.797,0
171,10.240,0
175,9.647,0
179,10.483,0
181,9.570,0
187,9.633,0
189,8.786,0
194,9.717,0
199,9.298,0
202,8.717,0
204,9.704,0
205,8.821,0
210,8.748,0
216,8.892,0
221,9.621,0
229,8.820,0
231,8.572,0
237,9.962,0
238,9.346,0
242,10.415,0
250,10.038,0
256,10.994,0
259,10.232,0
260,9.894,0
266,8.840,0
268,8.565,0
274,8.829,0
280,9.629,0
283,8.790,0
287,9.697,0
290,9.315,0
292,9.666,0
294,10.352,0
299,8.958,0
305,9.841,0
306,9.838,0
313,8.796,0
315,8.634,0
316,8.893,0
321,10.478,0
325,10.401,0
329,9.641,0
335,9.636,0
340,10.824,0
345,10.374,0
351,10.910,0
356,10.319,0
360,8.955,0
366,8.753,0
369,9.686,0
376,8.828,0
377,8.552,0
382,10.413,0
389,8.871,0
395,9.032,0
399,9.589,0
403,10.487,0
407,9.672,0
411,9.658,0
418,9.421,0
422,9.011,0
431,9.705,0
435,10.985,0
439,10.445,0
443,9.826,0
444,9.578,0
447,9.586,0
449,8.871,0
452,9.808,0
459,10.521,0
465,9.893,0
467,9.017,0
470,9.874,0
478,9.664,0
483,9.877,0
485,9.531,0
491,8.977,0
492,8.985,0
493,8.679,0
498,10.313,0
504,10.364,0
508,9.886,0
11,20.322,0
15,22.040,0
20,22.988,0
24,11.590,0
29,12.363,0
30,11.875,0
37,11.736,0
46,11.730,0
50,24.070,0
51,11.944,0
53,11.702,0
57,12.416,0
60,11.960,0
63,11.645,0
65,11.872,0
72,12.422,0
76,12.019,0
81,11.718,0
83,12.015,0
91,12.343,0
95,11.831,0
100,12.473,0
104,11.885,0
108,12.776,0
110,12.180,0
111,12.277,0
117,12.860,0
122,12.135,0
125,11.771,0
127,11.632,0
130,11.567,0
135,23.756,0
139,12.111,0
145,11.924,0
150,13.249,0
154,12.058,0
155,11.901,0
161,11.935,0
167,11.612,0
172,12.333,0
179,11.796,0
180,12.151,0
186,12.902,0
189,12.619,0
195,12.327,0
201,11.814,0
208,12.830,0
213,18.634,0
217,11.677,0
220,11.499,0
226,12.857,0
231,12.942,0
238,12.113,0
242,12.203,0
249,11.648,0
251,12.628,0
254,11.793,0
258,12.515,0
263,11.916,0
266,11.972,0
267,11.896,0
270,11.837,0
274,12.743,0
279,12.195,0
286,11.842,0
289,12.237,0
295,11.776,0
297,12.319,0
301,11.842,0
308,11.736,0
318,11.925,0
321,12.558,0
323,12.179,0
324,11.796,0
326,12.002,0
329,12.031,0
332,11.978,0
336,11.771,0
340,12.466,0
345,12.217,0
346,11.750,0
353,12.589,0
360,12.015,0
363,11.753,0
367,12.012,0
370,11.773,0
376,12.274,0
385,12.099,0
389,11.850,0
390,11.889,0
393,12.847,0
397,12.256,0
398,12.296,0
403,12.012,0
410,12.364,0
418,11.750,0
431,11.548,0
437,11.501,0
442,11.411,0
448,12.145,0
453,12.155,0
459,12.795,0
465,13.164,0
469,12.570,0
486,11.537,0
503,11.398,0
509,11.658,0
11,19.648,0
14,21.895,0
15,11.820,0
19,12.146,0
20,11.751,0
24,11.295,0
36,11.960,0
42,11.396,0
47,11.422,0
49,11.726,0
55,11.671,0
58,11.414,0
65,11.246,0
71,11.089,0
72,24.170,0
73,12.089,0
78,12.010,0
83,14.273,0
85,11.460,0
90,12.885,0
93,12.239,0
97,12.736,0
102,12.328,0
106,11.736,0
110,11.873,0
112,11.836,0
114,11.551,0
119,12.557,0
123,12.883,0
124,12.188,0
125,12.291,0
130,12.609,0
136,12.684,0
139,11.763,0
144,12.734,0
149,12.439,0
153,11.936,0
161,12.432,0
167,11.609,0
172,11.877,0
177,11.840,0
182,12.988,0
192,12.157,0
196,11.965,0
203,11.927,0
204,11.831,0
209,12.603,0
212,12.301,0
217,12.493,0
221,12.403,0
225,11.919,0
230,11.690,0
233,12.496,0
237,13.600,0
242,12.536,0
247,11.972,0
251,12.135,0
255,12.079,0
260,12.243,0
265,12.112,0
269,12.047,0
272,11.668,0
276,11.979,0
279,12.025,0
281,11.678,0
284,11.863,0
289,12.053,0
292,12.237,0
297,12.204,0
302,12.030,0
308,12.209,0
312,12.212,0
314,11.855,0
315,11.740,0
319,12.816,0
325,12.096,0
327,11.750,0
328,11.499,0
331,12.170,0
333,11.644,0
338,11.852,0
340,11.547,0
344,12.378,0
349,12.244,0
351,11.882,0
353,12.040,0
356,11.665,0
359,11.567,0
362,11.743,0
364,11.551,0
369,12.406,0
372,12.486,0
376,12.632,0
381,12.198,0
383,11.996,0
386,11.812,0
387,12.235,0
390,11.757,0
392,11.657,0
393,11.593,0
398,11.785,0
400,11.682,0
404,11.906,0
411,12.681,0
417,12.019,0
418,11.843,0
419,11.658,0
420,11.990,0
426,12.206,0
433,11.832,0
438,13.015,0
442,12.316,0
446,12.180,0
447,11.684,0
451,12.153,0
456,12.811,0
462,12.262,0
466,13.499,0
472,13.247,0
477,12.186,0
481,12.971,0
485,12.154,0
492,12.151,0
495,12.395,0
499,12.172,0
504,11.489,0
508,11.680,0
510,11.573,0
11,21.651,0
15,23.029,0
19,11.804,0
24,11.490,0
29,11.294,0
33,11.998,0
37,11.471,0
42,12.048,0
47,11.893,0
51,11.680,0
54,11.456,0
55,11.361,0
60,11.631,0
64,11.931,0
68,11.911,0
73,12.294,0
74,11.884,0
78,12.038,0
83,11.445,0
89,12.410,0
96,11.771,0
104,12.288,0
108,11.570,0
112,11.286,0
113,11.438,0
115,11.537,0
120,11.607,0
121,11.744,0
124,11.734,0
129,11.400,0
132,12.086,0
135,11.493,0
139,11.308,0
143,11.868,0
148,12.243,0
152,11.951,0
155,12.261,0
160,11.876,0
164,11.845,0
172,11.528,0
179,24.672,0
187,12.756,0
190,12.237,0
193,12.510,0
200,11.817,0
204,11.779,0
209,11.759,0
214,11.635,0
218,11.977,0
222,12.681,0
228,12.404,0
231,11.935,0
237,11.579,0
241,12.219,0
242,11.883,0
245,11.607,0
248,12.799,0
252,12.546,0
256,12.168,0
263,12.582,0
265,12.521,0
270,12.503,0
276,12.181,0
285,12.076,0
293,11.752,0
299,12.750,0
304,11.970,0
309,11.855,0
313,11.938,0
319,12.386,0
324,12.163,0
330,12.070,0
335,12.658,0
343,11.866,0
348,12.055,0
354,12.075,0
355,11.702,0
362,12.546,0
368,12.014,0
372,14.668,0
379,12.324,0
384,11.918,0
388,11.646,0
392,12.234,0
397,11.706,0
408,12.679,0
412,12.075,0
417,11.928,0
422,12.545,0
423,12.149,0
429,11.641,0
433,12.099,0
442,12.151,0
448,11.799,0
453,12.071,0
455,11.703,0
456,11.712,0
462,11.684,0
466,12.322,0
471,11.813,0
472,11.785,0
477,11.778,0
478,11.905,0
489,12.014,0
494,11.990,0
495,11.965,0
499,12.349,0
