seq_len,total,ratio
11,11,0.000
14,25,40.000
15,29,37.931
20,33,39.394
22,40,37.500
26,42,35.714
29,48,37.500
32,47,27.660
36,53,32.075
42,59,25.424
45,56,16.071
49,61,19.672
53,68,22.059
57,83,31.325
61,85,25.882
66,87,24.138
70,94,23.404
75,103,27.184
80,105,23.810
86,117,26.496
91,117,22.222
96,128,25.000
97,129,22.481
102,132,20.455
108,133,18.045
112,142,19.718
117,134,9.701
123,140,10.714
126,139,7.914
132,144,8.333
137,154,11.039
143,164,12.805
151,165,8.485
158,176,9.091
160,179,8.939
161,173,5.202
164,184,9.783
168,180,6.667
175,190,6.842
181,190,4.211
188,202,6.931
192,203,5.419
196,213,7.042
199,217,6.452
208,218,4.587
209,225,4.889
213,226,3.097
215,229,4.367
221,233,5.150
224,248,8.065
227,241,5.394
228,245,5.306
231,252,7.143
237,250,5.200
244,259,5.792
247,265,5.660
253,263,3.802
254,270,3.704
258,270,3.704
260,275,4.364
261,276,2.899
264,282,5.319
270,278,2.878
279,284,1.761
282,294,3.741
287,303,5.281
291,308,5.519
298,312,4.487
302,324,6.790
307,334,8.084
311,334,4.491
314,342,7.602
315,335,5.075
320,343,6.706
321,352,7.670
325,355,8.451
331,356,7.022
336,365,7.671
338,364,6.319
339,366,6.284
340,366,6.011
342,362,4.972
350,366,4.372
356,370,3.784
360,380,5.000
361,381,3.675
365,379,3.166
366,383,3.394
367,383,3.394
368,381,1.837
370,386,2.850
374,386,3.109
380,390,2.564
384,399,3.759
386,408,4.657
391,410,4.634
395,418,5.502
403,418,3.589
410,423,3.073
411,431,3.944
419,436,3.899
423,439,3.645
429,445,2.921
434,456,4.605
440,460,4.348
445,468,4.915
455,468,2.778
460,487,5.544
465,490,5.102
468,497,5.030
475,500,5.000
479,505,4.356
481,512,5.664
485,507,4.142
489,516,5.233
494,521,5.182
498,531,5.273
500,522,2.874
504,533,5.253
509,529,3.592
511,532,3.195
seq_len,total,ratio
11,11,0.000
14,25,40.000
15,29,37.931
20,34,41.176
22,46,45.652
26,37,29.730
