seq_len,total,ratio
11,11,0.000
15,23,34.783
18,35,42.857
24,29,17.241
29,44,34.091
36,56,35.714
37,57,29.825
42,56,25.000
43,57,14.035
47,66,28.788
52,75,30.667
57,78,26.923
62,79,21.519
63,88,23.864
69,81,14.815
73,95,22.105
75,97,18.557
81,102,20.588
84,103,15.534
87,106,16.981
90,118,22.881
93,124,23.387
99,112,11.607
104,120,13.333
106,123,11.382
111,131,14.504
115,134,14.179
120,150,20.000
125,153,18.301
130,163,20.245
138,164,15.854
143,176,18.750
149,178,16.292
153,193,20.725
156,200,21.000
159,197,18.274
162,194,15.464
163,194,14.433
168,207,18.357
172,205,16.098
176,215,18.140
181,231,21.212
186,226,17.699
195,232,15.948
199,246,19.106
204,254,19.685
206,259,19.691
208,268,21.642
217,254,14.567
223,259,13.900
228,259,11.197
235,264,10.985
240,276,13.043
247,276,10.145
248,277,9.025
252,282,10.638
253,289,11.419
261,284,8.099
269,286,5.944
274,295,7.119
281,305,7.869
292,305,4.262
301,311,1.929
305,319,3.448
311,322,3.416
314,336,5.952
319,333,3.303
326,344,5.233
330,347,4.899
335,355,5.634
339,364,5.495
342,363,4.408
349,366,4.645
352,371,4.313
356,375,3.733
361,372,2.957
367,385,4.675
374,394,5.076
379,398,4.271
385,397,3.023
389,408,4.657
395,418,5.502
402,418,3.110
409,424,3.538
419,426,1.643
428,436,1.835
435,449,2.895
446,455,1.978
456,462,1.299
464,482,3.734
467,489,3.067
484,484,0.000
492,498,1.205
499,510,2.157
516,516,0.000
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,31,45.161
22,36,33.333
32,44,27.273
35,53,32.075
37,54,24.074
43,51,15.686
46,62,20.968
51,62,14.516
57,73,21.918
61,76,17.105
65,81,19.753
70,87,19.540
73,96,21.875
75,97,20.619
79,101,21.782
80,102,17.647
84,108,22.222
89,116,23.276
91,129,26.357
96,119,19.328
100,121,16.529
106,134,20.896
109,135,17.778
115,141,18.440
122,142,13.380
124,154,17.532
127,157,17.834
130,158,17.089
134,157,14.650
140,159,11.950
145,175,17.143
149,185,18.919
153,193,20.725
155,203,22.660
156,194,18.041
161,195,16.923
163,197,16.244
166,194,13.918
169,201,14.925
175,197,11.168
184,203,9.360
190,208,8.654
194,215,8.837
199,226,11.947
201,241,15.353
204,230,10.000
207,232,9.914
210,240,11.667
214,234,8.547
219,248,11.694
227,251,9.562
233,252,7.143
237,259,7.336
245,257,4.669
248,259,2.703
253,274,7.299
258,274,5.839
263,275,4.364
268,288,6.944
276,290,4.828
280,299,6.355
287,307,6.515
291,309,4.531
295,308,3.247
299,317,5.678
304,327,7.034
307,338,8.580
312,333,6.306
317,344,7.849
323,349,7.450
328,352,5.398
330,355,5.915
339,360,5.833
345,360,4.167
352,371,5.121
357,374,4.278
361,382,5.497
364,394,7.107
370,391,5.371
376,404,6.931
378,417,8.633
384,416,7.692
389,416,6.490
391,429,7.925
395,433,8.545
402,429,6.294
407,431,5.104
411,437,5.721
419,436,3.899
425,446,4.709
428,454,4.846
429,454,4.405
432,453,3.974
438,458,4.367
440,465,4.516
447,464,3.664
448,471,3.609
451,482,5.809
456,484,5.165
459,483,4.555
464,493,5.477
471,490,3.878
479,491,2.037
484,501,3.194
489,505,3.168
496,506,1.976
502,513,2.144
511,522,2.107
seq_len,total,ratio
11,11,0.000
13,23,34.783
17,31,45.161
19,34,35.294
35,37,5.405
39,51,23.529
42,58,24.138
47,69,31.884
50,71,26.761
52,70,21.429
55,77,27.273
62,82,24.390
63,83,19.277
68,88,22.727
73,89,12.360
80,94,13.830
82,97,10.309
86,100,11.000
91,98,7.143
96,118,18.644
101,118,14.407
105,133,18.797
106,127,13.386
110,127,13.386
115,135,14.815
122,144,15.278
126,151,16.556
131,165,20.606
132,165,17.576
134,168,17.857
139,170,18.235
141,176,18.182
144,183,20.219
146,184,19.022
151,181,16.575
159,182,12.637
164,190,13.684
167,194,13.402
171,196,10.714
176,203,13.300
180,208,12.981
182,206,10.680
185,211,11.374
188,215,11.628
192,210,8.095
193,217,9.217
195,218,9.633
199,222,9.910
202,223,8.072
206,223,7.175
208,228,7.895
212,224,5.357
214,238,8.824
216,233,6.438
220,233,4.292
224,235,3.404
228,241,4.979
233,251,7.171
239,253,5.534
245,267,8.240
249,274,9.124
251,275,8.000
257,288,10.764
259,288,9.375
263,289,8.997
266,293,8.874
271,298,9.060
272,307,10.098
274,311,11.254
276,309,10.032
280,304,7.895
285,307,7.166
286,316,8.228
292,318,8.176
296,323,8.050
300,330,8.788
304,329,7.599
310,331,6.344
316,336,5.952
322,345,6.667
326,352,7.386
332,354,6.215
333,368,8.424
338,365,7.397
340,366,6.284
345,371,7.008
350,373,6.166
356,385,7.532
361,396,8.838
366,403,8.933
367,397,6.549
371,405,8.395
376,407,7.617
381,420,9.286
383,420,7.619
385,420,7.619
390,420,7.143
392,421,6.413
396,421,5.226
402,432,6.944
404,436,6.651
408,444,8.108
414,444,6.532
418,447,6.488
419,455,7.033
422,456,7.018
427,449,4.677
433,457,5.252
439,464,5.172
445,460,3.261
449,469,4.051
450,468,2.564
456,474,3.797
461,486,5.144
464,502,7.171
469,488,3.279
477,500,4.600
480,512,6.055
485,511,5.088
492,519,5.202
494,523,5.163
499,524,4.771
502,534,5.805
505,540,6.296
507,537,5.028
512,534,3.745
seq_len,total,ratio
11,11,0.000
14,26,42.308
15,29,37.931
20,36,44.444
24,46,45.652
29,44,34.091
31,56,39.286
34,57,35.088
36,52,26.923
42,57,26.316
43,64,26.562
47,63,22.222
53,66,18.182
54,71,15.493
59,72,18.056
63,84,23.810
68,84,19.048
73,91,19.780
79,99,20.202
82,111,25.225
87,113,23.009
89,115,17.391
96,124,22.581
98,129,20.930
102,134,23.881
106,134,20.149
107,135,17.037
110,145,22.069
115,145,20.690
119,152,21.053
124,153,18.954
129,160,19.375
133,171,22.222
139,177,21.469
140,184,21.739
144,179,17.877
146,191,21.990
148,179,13.966
155,185,16.216
157,193,16.580
159,191,15.183
163,197,17.259
169,203,16.749
175,217,19.355
182,217,15.207
189,224,15.625
194,226,13.717
197,227,11.894
203,232,12.500
210,245,14.286
212,245,12.245
215,252,13.889
220,261,15.709
223,263,14.449
227,275,17.455
231,275,16.000
232,284,16.901
235,289,17.647
236,276,13.043
238,290,16.897
239,276,11.957
246,291,15.464
248,300,16.333
253,297,14.815
255,300,13.333
258,299,13.043
261,300,12.333
263,307,13.355
269,300,9.667
272,298,7.718
277,299,7.023
282,298,5.369
285,304,4.934
290,301,3.654
292,317,7.256
295,316,6.329
302,321,5.919
308,322,4.348
311,333,5.706
313,333,5.105
317,330,3.939
327,342,4.386
333,354,5.932
336,361,6.648
342,358,4.469
345,369,5.691
346,365,4.384
350,372,5.914
358,376,4.787
361,385,5.974
366,387,5.168
370,393,5.344
372,396,5.051
376,398,5.528
382,409,6.601
386,421,8.314
387,422,7.346
390,421,6.651
