seq_len,total,ratio
11,11,0.000
15,24,37.500
18,37,45.946
24,30,20.000
28,43,32.558
34,43,20.930
35,49,18.367
39,49,14.286
43,50,14.000
45,64,25.000
48,65,21.538
51,65,20.000
56,65,13.846
57,73,17.808
58,73,16.438
63,74,13.514
64,82,17.073
69,81,14.815
72,97,23.711
75,92,16.304
78,96,17.708
79,100,17.000
84,102,17.647
89,107,16.822
93,126,25.397
99,122,18.852
103,111,7.207
106,125,13.600
109,123,7.317
111,121,5.785
116,130,10.769
123,140,12.143
128,156,17.308
132,158,16.456
137,170,18.824
141,160,10.625
143,154,5.844
148,160,7.500
152,163,6.748
154,175,10.857
159,181,12.155
162,188,12.234
168,188,10.638
172,198,12.626
176,203,12.808
182,201,9.453
186,212,12.264
190,224,14.732
192,234,16.667
199,223,10.762
200,224,8.036
203,237,13.924
206,236,10.593
209,236,10.169
210,232,6.034
217,236,8.051
219,249,10.843
223,244,8.197
227,250,9.200
230,256,9.375
237,251,5.578
242,263,7.985
247,263,4.183
256,270,5.185
261,277,5.054
268,279,2.867
269,283,2.827
274,290,5.517
279,294,5.102
284,311,8.682
290,311,6.752
301,319,5.643
306,320,4.375
308,327,4.893
311,333,6.006
316,332,3.614
318,331,2.417
320,335,3.284
327,337,0.890
332,342,2.924
336,346,2.890
337,355,3.662
345,350,1.429
350,364,3.846
352,365,2.466
356,370,3.243
366,376,2.660
368,384,2.604
371,388,2.320
372,389,3.599
380,389,2.314
388,396,2.020
399,407,1.474
406,416,2.404
409,422,2.133
413,430,2.791
418,429,2.098
422,435,2.529
429,436,1.606
435,443,1.580
437,455,2.857
445,457,2.407
450,467,3.640
459,468,1.923
465,474,1.899
474,483,1.863
484,492,1.220
491,501,1.796
493,509,2.554
510,510,0.000
517,525,1.524
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,31,45.161
18,40,45.000
24,32,25.000
28,39,28.205
34,45,24.444
35,52,25.000
36,53,24.528
40,55,27.273
46,69,33.333
49,67,23.881
54,60,8.333
56,71,16.901
61,78,21.795
63,84,21.429
67,83,19.277
70,97,26.804
71,96,19.792
78,101,21.782
81,100,17.000
84,105,19.048
86,105,15.238
94,108,12.963
100,111,9.910
104,120,11.667
111,124,10.484
115,136,13.235
120,135,11.111
124,142,11.268
127,150,14.000
133,147,9.524
140,156,10.256
146,168,13.095
151,184,17.935
157,188,16.489
158,168,4.167
162,174,5.747
164,182,8.242
169,180,6.111
172,192,9.375
178,193,7.772
181,208,12.019
189,203,6.897
191,217,10.599
194,223,12.108
201,216,6.944
205,227,9.251
210,238,11.765
213,240,9.167
216,238,7.143
223,241,7.469
227,243,4.115
228,248,6.048
232,250,7.200
238,251,5.179
243,260,6.154
247,263,5.703
251,271,7.380
254,272,5.882
260,277,6.137
265,284,6.338
270,281,3.915
275,294,6.463
281,303,7.261
285,307,5.863
291,316,7.911
300,316,4.114
304,321,5.296
306,328,5.488
312,333,6.306
319,333,4.204
322,336,2.976
326,345,5.217
329,353,6.232
331,355,5.915
335,351,4.558
339,358,5.307
345,366,5.738
349,368,4.348
354,373,5.094
358,378,5.291
362,384,5.208
367,379,3.166
369,392,4.847
373,386,3.368
377,397,4.786
386,398,3.015
392,411,4.623
395,419,5.489
396,413,3.390
401,421,4.513
407,425,4.235
413,437,5.492
416,441,5.215
421,439,3.417
422,443,3.612
428,449,4.677
429,450,3.778
435,450,3.333
439,462,4.978
447,462,3.247
451,471,4.034
457,480,4.792
461,482,4.357
467,483,3.313
472,497,5.030
477,505,5.545
480,516,6.395
486,505,3.168
489,511,3.718
494,510,3.137
497,523,4.398
500,526,4.563
504,517,2.515
515,521,0.960
seq_len,total,ratio
11,11,0.000
15,29,48.276
17,39,48.718
19,41,43.902
23,40,42.500
28,40,30.000
38,47,19.149
42,64,32.812
46,63,26.984
51,73,30.137
53,68,19.118
56,69,10.145
57,72,15.278
58,68,8.824
62,74,16.216
66,88,23.864
68,95,26.316
75,82,8.537
84,94,10.638
88,104,14.423
90,106,8.491
92,112,15.179
96,110,11.818
103,109,5.505
109,119,8.403
112,133,14.286
115,135,13.333
118,129,6.977
122,135,9.630
126,136,5.882
129,148,10.811
134,151,10.596
139,157,11.465
142,164,10.366
148,171,13.450
153,178,14.045
158,179,11.732
165,193,14.508
170,176,3.409
172,186,6.452
177,190,6.842
182,197,7.107
187,192,2.604
193,206,6.311
196,211,4.739
202,219,6.849
204,222,5.405
206,219,4.566
209,230,7.826
214,226,5.310
219,236,7.203
223,245,7.755
229,243,5.761
231,257,8.949
237,253,6.324
242,266,9.023
246,273,9.524
250,276,8.333
252,280,8.214
258,274,5.839
271,276,1.812
278,285,2.456
282,301,6.312
286,307,5.537
296,309,3.883
302,316,3.165
312,321,2.804
323,329,1.824
340,340,0.000
347,355,1.972
364,364,0.000
371,381,1.312
384,388,1.031
401,401,0.000
418,418,0.000
435,435,0.000
452,452,0.000
469,469,0.000
486,486,0.000
498,503,0.000
504,516,2.326
521,521,0.000
seq_len,total,ratio
11,11,0.000
15,33,51.515
20,33,39.394
27,36,25.000
35,48,22.917
40,52,21.154
46,56,17.857
48,66,18.182
55,66,10.606
57,66,7.576
64,79,17.722
73,85,14.118
78,97,19.588
82,96,11.458
87,102,14.706
93,115,18.261
96,114,14.035
101,124,18.548
109,124,12.097
114,131,12.977
120,139,13.669
125,152,17.105
130,154,15.584
135,159,15.094
137,168,17.262
139,163,12.883
146,161,9.317
153,168,8.929
159,175,9.143
164,184,8.696
169,185,8.649
171,201,12.935
176,199,11.558
180,204,11.275
184,210,11.905
191,217,11.982
193,219,10.502
194,218,9.633
198,226,12.389
201,227,10.573
206,242,14.876
209,247,14.575
213,242,11.983
214,243,9.465
218,249,12.450
219,250,10.400
220,258,13.566
228,251,9.163
238,254,6.299
244,262,6.870
247,274,9.489
252,278,9.353
255,278,3.237
258,278,2.158
264,281,6.050
266,293,8.191
271,286,5.245
275,298,7.718
280,302,7.285
286,320,10.625
289,327,10.398
293,320,7.812
294,329,9.422
299,327,8.563
301,332,8.133
304,334,8.383
307,330,6.667
309,331,5.136
313,333,5.405
316,340,6.471
318,347,7.493
321,344,5.233
331,337,1.780
339,350,2.857
343,354,1.130
346,359,2.507
351,363,3.306
356,379,6.069
360,380,5.000
362,381,4.199
367,381,3.150
375,386,2.850
377,395,3.291
382,400,4.000
383,404,4.208
389,402,3.234
393,411,4.136
398,408,1.961
403,414,2.657
408,421,3.088
418,430,2.791
419,438,2.740
425,440,3.409
430,447,3.803
436,451,2.882
440,458,3.930
445,463,3.888
449,473,4.651
451,473,3.594
457,464,1.509
458,473,2.537
459,472,2.119
463,475,2.316
467,480,2.708
472,483,2.277
482,491,1.833
483,507,3.945
484,502,2.988
487,509,3.929
494,506,2.372
497,514,2.335
504,518,2.703
508,532,4.323
512,543,5.525
seq_len,total,ratio
11,11,0.000
15,33,51.515
20,32,34.375
23,35,31.429
26,46,39.130
32,42,23.810
36,47,23.404
42,53,20.755
47,63,25.397
51,72,29.167
55,64,14.062
62,74,16.216
65,84,17.857
70,83,15.663
77,84,8.333
82,97,15.464
88,97,8.247
93,109,14.679
95,118,16.949
98,117,14.530
102,120,13.333
106,123,13.008
107,128,11.719
109,130,14.615
111,128,10.156
114,129,7.752
119,136,11.029
122,140,10.714
128,141,9.220
130,151,11.921
133,149,8.725
134,150,0.000
140,153,7.843
144,158,8.228
148,158,5.696
163,165,1.212
170,178,4.494
175,186,5.914
180,201,10.448
185,202,8.416
190,214,11.215
195,220,10.455
196,222,10.360
203,221,8.145
208,230,9.565
225,230,2.174
242,242,0.000
259,259,0.000
276,276,0.000
286,293,1.706
290,303,3.960
295,304,2.961
299,317,5.678
307,318,3.459
313,324,3.395
330,330,0.000
347,347,0.000
364,364,0.000
381,381,0.000
396,396,0.000
401,411,2.433
406,419,3.103
423,423,0.000
440,440,0.000
457,457,0.000
474,474,0.000
491,491,0.000
505,507,0.394
522,522,0.000
seq_len,total,ratio
11,11,0.000
15,21,28.571
19,38,47.368
26,36,27.778
31,51,39.216
35,59,38.983
36,59,32.203
37,59,30.508
41,66,37.879
44,56,17.857
46,60,20.000
51,67,23.881
55,68,17.647
59,73,19.178
60,82,21.951
63,83,21.687
65,80,13.750
69,89,20.225
73,95,20.000
77,89,12.360
81,98,15.306
86,103,16.505
89,106,15.094
97,108,10.185
99,115,11.304
108,121,10.744
114,136,16.176
118,140,14.286
119,137,8.759
124,141,12.057
129,153,15.686
133,164,18.902
138,150,8.000
141,153,7.190
145,159,8.176
151,161,6.211
158,172,8.140
163,182,10.440
168,191,10.995
169,183,6.011
173,192,8.854
175,197,10.152
179,196,8.673
181,212,13.679
185,210,11.429
190,211,9.953
192,225,13.333
197,215,8.372
201,227,11.454
202,235,12.340
205,229,9.607
213,227,4.846
214,228,3.947
218,233,4.292
219,228,2.632
225,238,5.462
227,246,6.911
231,247,6.478
233,257,7.782
238,257,6.615
241,257,4.280
251,259,3.089
