seq_len,total,ratio
11,11,0.000
14,21,28.571
18,33,42.424
22,41,43.902
38,40,5.000
43,54,20.370
44,62,24.194
45,63,22.222
47,65,23.077
52,61,14.754
55,70,17.143
57,78,23.077
60,74,16.216
64,80,20.000
68,94,26.596
70,96,23.958
80,85,5.882
82,97,13.402
86,99,13.131
88,110,17.273
93,111,16.216
98,116,15.517
103,128,19.531
108,133,18.797
113,143,20.979
116,155,24.516
121,160,24.375
126,162,20.988
132,168,20.833
136,168,18.452
141,169,16.568
144,185,21.081
145,178,16.292
149,181,17.127
154,184,16.304
161,191,15.707
167,205,18.537
172,217,20.737
177,223,20.179
185,220,15.909
190,224,14.286
193,230,15.217
199,229,12.227
200,229,10.480
205,236,13.136
211,236,10.593
215,237,8.439
221,236,5.085
225,237,5.063
227,249,6.827
231,246,5.691
235,247,4.858
240,259,6.564
246,263,6.084
247,258,2.713
251,262,3.817
252,267,4.494
253,269,4.461
257,275,6.545
259,281,7.117
262,277,4.332
267,288,7.292
270,302,9.934
272,294,4.762
276,297,7.071
283,299,5.351
285,306,5.556
286,307,5.212
287,308,5.519
293,309,4.207
299,311,3.859
304,320,5.000
305,321,3.427
307,328,5.488
309,333,6.306
310,327,3.976
313,334,5.988
318,333,4.505
323,339,4.130
326,340,3.235
331,344,3.779
334,357,5.882
339,359,5.571
345,360,4.167
349,361,3.324
353,370,4.595
356,374,4.545
362,380,4.737
364,392,6.378
369,386,4.404
380,393,3.308
386,398,2.764
391,409,4.401
396,419,5.251
400,419,4.296
406,423,4.019
413,431,3.248
416,436,4.128
418,430,1.628
421,440,3.636
426,445,4.045
437,441,0.907
440,456,3.070
444,463,3.672
454,461,1.518
458,470,2.340
462,479,3.132
467,479,2.296
470,486,2.675
479,487,1.437
480,496,2.016
486,501,2.595
492,506,2.767
493,515,3.495
494,515,3.107
498,519,3.854
502,522,3.831
508,527,3.416
509,531,3.578
510,531,3.390
512,533,3.565
seq_len,total,ratio
11,11,0.000
14,25,40.000
18,34,47.059
23,35,28.571
32,41,21.951
37,56,33.929
40,70,40.000
41,64,31.250
45,71,36.620
47,80,36.250
54,73,26.027
56,85,31.765
60,86,30.233
62,99,35.354
65,90,25.556
67,88,20.455
68,87,16.092
71,98,23.469
72,95,20.000
76,98,22.449
78,104,23.077
83,106,21.698
88,112,21.429
93,116,18.966
96,124,20.968
104,122,14.754
109,135,19.259
110,135,13.333
115,135,14.815
119,139,12.950
126,143,11.888
128,145,8.276
135,149,8.725
141,153,7.190
145,159,8.805
150,168,10.714
155,172,9.884
156,181,11.602
158,185,13.514
165,181,8.840
170,194,12.371
172,200,13.000
177,195,9.231
179,198,8.081
183,197,7.107
186,213,11.737
192,210,8.571
194,219,10.502
197,221,9.955
199,218,6.422
206,221,6.787
210,236,9.746
215,235,8.511
223,242,7.438
226,245,5.306
230,244,5.328
236,251,5.578
241,256,5.859
246,272,9.559
250,276,9.420
256,288,11.111
261,288,9.375
267,298,10.403
274,300,8.667
275,301,6.312
282,303,6.931
285,313,7.348
287,308,4.870
293,310,5.484
298,328,8.841
300,334,8.982
304,331,8.157
308,335,7.761
313,342,8.187
321,346,7.225
327,353,6.516
330,354,6.497
335,352,4.830
339,361,5.817
345,365,5.479
349,373,6.166
355,374,4.545
361,373,3.217
365,378,3.439
369,393,5.852
376,387,2.326
383,393,2.545
388,407,4.668
393,409,3.912
398,425,6.118
403,422,4.502
407,432,4.861
413,433,4.619
417,441,4.989
422,435,2.989
427,449,4.900
428,450,4.222
434,460,5.652
438,467,6.210
440,467,4.069
443,474,5.696
445,474,4.852
453,481,5.821
457,482,5.187
460,484,4.545
467,483,3.106
471,492,4.268
474,495,2.222
477,504,4.960
484,498,2.811
488,508,3.937
493,517,4.642
497,517,3.675
500,522,3.831
502,525,3.810
504,523,2.103
505,518,1.737
509,523,2.294
512,532,3.383
seq_len,total,ratio
11,11,0.000
15,23,34.783
19,39,48.718
23,36,36.111
35,39,10.256
37,48,12.500
42,59,27.119
43,57,15.789
44,59,20.339
47,59,16.949
52,62,16.129
57,68,16.176
62,83,25.301
66,86,23.256
71,100,28.000
77,97,20.619
81,112,25.893
86,115,25.217
92,118,22.034
98,128,22.656
101,137,25.547
106,141,24.823
112,142,21.127
118,151,21.192
121,148,16.216
126,151,14.570
128,156,16.667
131,156,14.744
132,154,11.688
133,152,10.526
140,163,14.110
147,163,9.816
153,164,5.488
155,178,10.674
157,175,8.571
161,182,10.989
165,179,7.263
167,183,6.557
170,184,5.435
174,181,3.867
179,199,10.050
183,205,10.732
186,219,13.242
192,213,9.859
194,217,9.217
196,214,7.477
197,222,9.459
199,225,10.222
204,229,10.917
205,229,8.297
206,229,7.860
213,229,6.987
217,237,8.017
223,248,10.081
227,260,12.692
231,263,12.167
234,264,10.985
240,264,8.712
243,269,9.294
245,272,8.456
249,271,7.380
253,271,5.166
258,273,5.128
263,285,7.719
267,285,5.614
271,293,6.826
275,286,3.497
280,305,8.197
283,307,7.492
288,312,7.372
293,317,7.256
297,321,7.165
300,325,7.385
302,326,5.521
306,324,4.938
313,331,5.438
318,342,7.018
323,351,7.977
325,359,7.799
329,351,5.983
334,361,7.202
343,356,3.652
348,368,5.435
357,375,4.800
365,382,4.450
367,392,5.612
370,388,3.866
375,393,4.071
379,406,6.158
383,403,4.467
388,401,3.242
394,410,3.902
407,414,1.691
412,430,4.186
418,437,4.348
427,437,1.602
433,449,3.563
441,456,3.289
447,461,2.603
452,470,3.830
456,476,3.571
462,477,3.145
470,482,2.490
478,493,3.043
484,500,3.000
494,504,1.984
499,517,3.482
513,519,1.156
seq_len,total,ratio
11,11,0.000
14,25,40.000
18,35,48.571
20,39,41.026
21,42,40.476
24,39,28.205
31,43,27.907
32,49,26.531
33,52,28.846
37,58,34.483
42,57,24.561
45,63,23.810
48,70,27.143
52,65,16.923
56,69,18.841
60,70,11.429
61,74,9.459
66,79,16.456
69,88,19.318
70,89,16.854
73,92,17.391
77,97,20.619
83,105,20.000
86,106,16.981
90,103,10.680
96,110,12.727
101,112,9.821
109,121,9.917
110,132,13.636
114,134,14.925
119,140,15.000
123,145,13.793
130,145,10.345
138,156,11.538
140,166,14.458
141,162,10.494
143,169,13.018
144,165,10.303
149,159,5.660
152,169,9.467
155,177,10.734
166,170,2.353
168,180,4.444
169,181,4.420
170,181,3.867
171,180,2.778
172,184,4.348
173,185,4.324
174,187,4.813
175,184,2.717
179,193,6.736
184,193,4.663
201,201,0.000
218,218,0.000
235,235,0.000
252,252,0.000
269,269,0.000
286,286,0.000
303,303,0.000
320,320,0.000
337,337,0.000
354,354,0.000
371,371,0.000
388,388,0.000
405,405,0.000
422,422,0.000
439,439,0.000
456,456,0.000
473,473,0.000
490,490,0.000
507,507,0.000
524,524,0.000
seq_len,total,ratio
11,11,0.000
16,33,51.515
20,35,42.857
24,37,35.135
27,52,46.154
31,51,33.333
34,48,25.000
39,56,30.357
45,65,30.769
50,75,32.000
53,69,20.290
58,79,24.051
61,76,18.421
63,81,19.753
65,87,20.690
67,92,22.826
68,83,9.639
77,80,3.750
81,91,9.890
84,100,14.000
88,103,12.621
90,107,13.084
91,106,9.434
92,106,9.434
97,103,5.825
101,115,11.304
102,120,11.667
105,124,12.903
110,122,9.836
114,129,8.527
116,129,7.752
120,134,9.701
124,141,10.638
125,136,5.882
126,139,7.194
128,148,11.486
133,149,10.738
138,154,10.390
143,164,12.805
148,174,14.943
154,175,12.000
159,181,12.155
162,186,11.828
164,188,10.106
169,189,8.466
171,193,9.845
174,193,9.326
176,192,7.292
181,199,9.045
186,213,12.676
191,213,9.390
196,213,7.981
202,214,5.607
203,218,4.128
209,223,6.278
212,242,11.570
219,236,7.203
222,244,8.197
226,244,7.377
227,253,8.300
231,256,8.984
236,255,7.451
240,258,6.977
246,273,9.890
251,273,6.960
256,274,5.474
259,289,9.689
260,281,6.050
264,282,5.674
269,286,5.944
272,300,8.667
274,290,4.138
277,296,5.405
283,297,2.357
286,298,3.691
291,305,4.590
293,316,6.329
298,320,6.875
302,328,7.012
306,322,4.348
307,328,5.488
310,328,3.963
315,327,3.670
317,343,6.997
323,339,4.720
329,345,4.348
332,352,5.114
338,354,3.955
342,362,5.525
345,367,5.722
347,373,6.166
353,368,3.533
358,377,5.040
362,388,6.701
367,391,5.627
370,394,5.330
380,401,5.237
385,408,5.637
389,420,7.143
393,419,6.205
399,427,6.557
402,428,5.140
405,429,4.895
409,436,5.963
412,433,4.619
418,443,5.643
426,443,3.837
428,459,6.318
432,456,5.263
433,457,3.939
437,470,7.021
443,475,6.737
449,478,5.021
454,485,6.392
458,488,6.148
464,498,6.627
467,509,8.055
469,500,4.800
475,502,5.179
478,501,4.391
479,501,3.393
484,509,4.912
489,516,5.233
492,530,6.981
496,529,6.238
497,530,5.472
499,531,5.650
506,534,5.056
510,537,5.028
515,549,6.193
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,31,45.161
19,35,37.143
35,38,7.895
41,59,30.508
45,66,31.818
50,71,29.577
51,78,28.205
55,84,32.143
60,81,25.926
65,92,29.348
70,100,30.000
75,101,23.762
81,109,25.688
82,110,19.091
87,113,22.124
93,112,16.964
98,119,17.647
103,127,18.898
108,134,19.403
112,139,15.827
118,146,19.178
123,153,19.608
126,161,21.118
134,154,12.987
141,154,8.442
147,170,13.529
153,179,14.525
154,180,12.222
158,183,13.661
162,188,12.766
166,194,14.433
172,196,12.245
177,210,15.714
180,213,14.554
184,214,14.019
189,222,14.865
194,223,12.108
195,223,10.762
196,231,13.420
197,231,13.420
201,223,9.417
210,225,6.667
213,239,9.623
219,239,8.368
224,246,8.537
229,246,6.911
232,255,8.627
237,258,8.140
239,273,11.355
245,266,6.767
seq_len,total,ratio
11,11,0.000
15,21,28.571
18,35,42.857
23,43,46.512
27,43,30.233
34,44,22.727
36,58,29.310
38,59,30.508
45,56,19.643
48,70,27.143
53,65,18.462
58,74,20.270
63,82,21.951
65,82,15.854
67,82,13.415
74,81,8.642
79,91,13.187
84,106,20.755
88,111,19.820
90,115,19.130
95,121,21.488
100,121,17.355
101,128,17.969
107,123,13.008
110,133,15.038
