seq_len,total,ratio
11,11,0.000
13,14,7.143
17,27,37.037
18,27,33.333
25,34,26.471
28,34,17.647
34,45,24.444
35,45,22.222
36,45,20.000
40,51,21.569
46,59,22.034
52,63,17.460
55,63,12.698
61,70,12.857
66,76,13.158
68,76,10.526
74,86,13.953
77,86,10.465
81,92,11.957
82,92,10.870
86,93,7.527
88,93,5.376
94,105,10.476
97,105,7.619
103,117,11.966
107,117,8.547
110,117,5.983
114,123,7.317
116,123,5.691
121,132,8.333
126,133,5.263
132,148,10.811
136,148,8.108
142,150,5.333
143,150,4.667
146,150,2.667
151,155,2.581
155,167,7.186
161,173,6.936
164,173,5.202
169,180,6.111
171,180,5.000
175,184,4.891
180,189,4.762
187,193,3.109
190,193,1.554
195,208,6.250
201,215,6.512
205,216,5.093
206,216,4.630
211,222,4.955
219,229,4.367
223,229,2.620
226,229,1.310
229,234,2.137
231,234,1.282
233,234,0.427
237,244,2.869
241,248,2.823
244,248,1.613
249,254,1.969
255,259,1.544
260,269,3.346
269,279,3.584
274,283,3.180
280,284,1.408
286,298,4.027
287,298,3.691
294,300,2.000
300,309,2.913
301,309,2.589
304,309,1.618
305,309,1.294
307,309,0.647
312,329,5.167
313,329,4.863
321,329,2.432
327,335,2.388
331,336,1.488
335,348,3.736
339,348,2.586
350,351,0.285
353,353,0.000
362,367,1.362
363,367,1.090
368,379,2.902
370,379,2.375
373,379,1.583
375,379,1.055
376,379,0.792
381,395,3.544
382,395,3.291
384,395,2.785
388,395,1.772
393,408,3.676
398,408,2.451
402,412,2.427
404,412,1.942
406,412,1.456
410,422,2.844
412,422,2.370
416,422,1.422
417,422,1.185
420,422,0.474
421,422,0.237
422,422,0.000
427,434,1.613
431,434,0.691
437,442,1.131
448,450,0.444
455,463,1.728
460,463,0.648
461,463,0.432
462,463,0.216
466,466,0.000
470,474,0.844
477,477,0.000
485,495,2.020
487,495,1.616
493,505,2.376
498,511,2.544
505,511,1.174
508,511,0.587
513,513,0.000
seq_len,total,ratio
11,11,0.000
14,16,12.500
19,33,42.424
20,33,39.394
26,36,27.778
30,37,18.919
35,37,5.405
39,47,17.021
43,53,18.868
47,54,12.963
51,59,13.559
56,66,15.152
60,67,10.448
65,76,14.474
66,76,13.158
71,76,6.579
72,76,5.263
79,83,4.819
85,98,13.265
93,106,12.264
96,106,9.434
98,106,7.547
99,106,6.604
106,107,0.935
114,122,6.557
120,126,4.762
125,139,10.072
130,149,12.752
132,149,11.409
137,149,8.054
141,149,5.369
147,158,6.962
149,158,5.696
154,159,3.145
158,162,2.469
163,163,0.000
171,180,5.000
176,189,6.878
180,189,4.762
186,189,1.587
188,189,0.529
192,192,0.000
193,193,0.000
198,207,4.348
200,207,3.382
201,207,2.899
208,213,2.347
215,221,2.715
219,229,4.367
223,229,2.620
225,229,1.747
226,229,1.310
232,244,4.918
234,244,4.098
235,244,3.689
238,244,2.459
241,245,1.633
247,253,2.372
249,253,1.581
250,253,1.186
253,255,0.784
259,263,1.521
262,265,1.132
267,272,1.838
272,272,0.000
275,275,0.000
277,278,0.360
279,279,0.000
282,283,0.353
285,289,1.384
294,303,2.970
299,313,4.473
303,317,4.416
306,317,3.470
311,324,4.012
316,327,3.364
318,327,2.752
324,333,2.703
329,340,3.235
331,340,2.647
334,340,1.765
338,346,2.312
342,353,3.116
343,353,2.833
347,354,1.977
352,361,2.493
