seq_len,total,ratio
11,11,0.000
14,20,30.000
15,20,25.000
20,27,25.926
22,27,18.519
26,27,3.704
29,42,30.952
32,42,23.810
36,42,14.286
42,42,0.000
45,45,0.000
49,52,5.769
53,53,0.000
57,73,21.918
61,73,16.438
66,77,14.286
70,77,9.091
75,82,8.537
80,95,15.789
86,95,9.474
91,97,6.186
96,104,7.692
97,104,6.731
102,106,3.774
108,116,6.897
112,116,3.448
117,117,0.000
123,123,0.000
126,126,0.000
132,137,3.650
137,140,2.143
143,148,3.378
151,151,0.000
158,158,0.000
160,160,0.000
161,161,0.000
164,170,3.529
168,171,1.754
175,175,0.000
181,185,2.162
188,199,5.528
192,199,3.518
196,206,4.854
199,206,3.398
208,212,1.887
209,212,1.415
213,213,0.000
215,215,0.000
221,233,5.150
224,233,3.863
227,233,2.575
228,233,2.146
231,236,2.119
237,241,1.660
244,252,3.175
247,252,1.984
253,258,1.938
254,258,1.550
258,258,0.000
260,260,0.000
261,261,0.000
264,264,0.000
270,274,1.460
279,279,0.000
282,285,1.053
287,297,3.367
291,298,2.349
298,298,0.000
302,310,2.581
307,326,5.828
311,326,4.601
314,326,3.681
315,326,3.374
320,326,1.840
321,326,1.534
325,334,2.695
331,334,0.898
336,336,0.000
338,338,0.000
339,339,0.000
340,340,0.000
342,345,0.870
350,354,1.130
356,368,3.261
360,368,2.174
361,368,1.902
365,368,0.815
366,368,0.543
367,368,0.272
368,368,0.000
370,370,0.000
374,387,3.359
380,387,1.809
384,387,0.775
386,387,0.258
391,398,1.759
395,407,2.948
403,410,1.707
410,410,0.000
411,411,0.000
419,434,3.456
423,434,2.535
429,434,1.152
434,447,2.908
440,447,1.566
445,453,1.766
455,459,0.871
460,477,3.564
465,477,2.516
468,477,1.887
475,483,1.656
479,483,0.828
481,490,1.837
485,490,1.020
489,495,1.212
494,509,2.947
498,509,2.161
500,509,1.768
504,513,1.754
509,513,0.780
511,513,0.390
seq_len,total,ratio
11,11,0.000
14,20,30.000
15,20,25.000
20,35,42.857
22,35,37.143
26,38,31.579
34,38,10.526
43,46,6.522
48,48,0.000
53,56,5.357
57,61,6.557
60,61,1.639
67,73,8.219
68,73,6.849
72,79,8.861
76,88,13.636
79,89,11.236
81,89,8.989
86,89,3.371
88,89,1.124
90,95,5.263
91,95,4.211
93,98,5.102
99,99,0.000
106,115,7.826
112,128,12.500
118,128,7.812
123,136,9.559
127,136,6.618
130,139,6.475
133,139,4.317
138,148,6.757
143,153,6.536
148,154,3.896
152,159,4.403
157,161,2.484
160,163,1.840
163,172,5.233
164,172,4.651
165,172,4.070
166,172,3.488
167,172,2.907
169,172,1.744
174,174,0.000
