seq_len,total,ratio
11,11,0.000
14,20,30.000
18,29,37.931
22,40,45.000
24,40,40.000
30,40,25.000
40,56,28.571
43,56,23.214
46,56,17.857
51,75,32.000
57,75,24.000
64,78,17.949
70,87,19.540
72,87,17.241
77,104,25.962
82,104,21.154
87,104,16.346
91,117,22.222
95,117,18.803
100,121,17.355
105,128,17.969
106,128,17.188
108,128,15.625
115,139,17.266
119,153,22.222
127,153,16.993
130,158,17.722
131,158,17.089
137,158,13.291
139,164,15.244
142,167,14.970
150,181,17.127
155,190,18.421
157,190,17.368
159,191,16.754
160,191,16.230
165,191,13.613
167,193,13.472
171,209,18.182
175,209,16.268
179,216,17.130
181,216,16.204
187,222,15.766
189,222,14.865
194,230,15.652
199,236,15.678
202,236,14.407
204,241,15.353
205,241,14.938
210,246,14.634
216,252,14.286
221,262,15.649
229,265,13.585
231,267,13.483
237,278,14.748
238,278,14.388
242,288,15.972
250,299,16.388
256,306,16.340
259,306,15.359
260,306,15.033
266,306,13.072
268,308,12.987
274,314,12.739
280,324,13.580
283,324,12.654
287,331,13.293
290,343,15.452
292,343,14.869
294,343,14.286
299,343,12.828
305,358,14.804
306,358,14.525
313,358,12.570
315,360,12.500
316,361,12.465
321,376,14.628
325,381,14.698
329,382,13.874
335,396,15.404
340,405,16.049
345,405,14.815
351,411,14.599
356,414,14.010
360,414,13.043
366,420,12.857
369,428,13.785
376,434,13.364
377,435,13.333
382,449,14.922
389,449,13.363
395,455,13.187
399,465,14.194
403,473,14.799
407,473,13.953
411,476,13.655
418,484,13.636
422,484,12.810
431,501,13.972
435,508,14.370
439,510,13.922
443,519,14.644
444,519,14.451
447,519,13.873
449,519,13.487
452,531,14.878
459,538,14.684
465,538,13.569
467,538,13.197
470,545,13.761
478,557,14.183
483,557,13.285
485,561,13.547
491,564,12.943
492,565,12.920
493,566,12.898
498,583,14.580
504,583,13.551
508,589,13.752
513,605,15.207
seq_len,total,ratio
11,11,0.000
15,15,0.000
20,29,31.034
24,29,17.241
29,36,19.444
30,36,16.667
37,44,15.909
46,53,13.208
50,62,19.355
51,62,17.742
53,62,14.516
57,78,26.923
60,78,23.077
63,78,19.231
65,78,16.667
72,86,16.279
76,88,13.636
81,93,12.903
83,97,14.433
91,116,21.552
95,116,18.103
100,123,18.699
104,134,22.388
108,140,22.857
110,140,21.429
111,140,20.714
117,148,20.946
122,148,17.568
125,159,21.384
127,159,20.126
130,162,19.753
135,162,16.667
139,176,21.023
145,176,17.614
150,188,20.213
154,188,18.085
155,188,17.553
161,200,19.500
167,204,18.137
172,205,16.098
179,223,19.731
180,223,19.283
186,232,19.828
189,232,18.534
195,233,16.309
