seq_len,total,ratio
11,11,0.000
15,24,37.500
18,28,35.714
24,40,40.000
28,48,41.667
34,62,45.161
35,35,0.000
39,39,0.000
43,50,14.000
45,53,15.094
48,57,15.789
51,66,22.727
56,77,27.273
57,78,26.923
58,79,26.582
63,86,26.744
64,64,0.000
69,80,13.750
72,86,16.279
75,91,17.582
78,102,23.529
79,103,23.301
84,120,30.000
89,134,33.582
93,99,6.061
99,114,13.158
103,126,18.254
106,131,19.084
109,134,18.657
111,136,18.382
116,154,24.675
123,173,28.902
128,138,7.246
132,151,12.583
137,160,14.375
141,168,16.071
143,170,15.882
148,187,20.856
152,199,23.618
154,157,1.911
159,178,10.674
162,181,10.497
168,200,16.000
172,208,17.308
176,215,18.140
182,194,6.186
186,210,11.429
190,225,15.556
192,227,15.419
199,245,18.776
200,246,18.699
203,208,2.404
206,211,2.370
209,216,3.241
210,217,3.226
217,234,7.265
219,236,7.203
223,248,10.081
227,265,14.340
230,268,14.179
237,278,14.748
242,296,18.243
247,301,17.940
256,318,19.497
261,264,1.136
268,272,1.471
269,273,1.465
274,294,6.803
279,312,10.577
284,332,14.458
290,350,17.143
301,371,18.868
306,381,19.685
308,308,0.000
311,312,0.321
316,317,0.315
318,319,0.313
320,322,0.621
327,329,0.608
332,344,3.488
336,357,5.882
337,358,5.866
345,369,6.504
350,384,8.854
352,386,8.808
356,392,9.184
366,410,10.732
368,412,10.680
371,415,10.602
372,416,10.577
380,433,12.240
388,448,13.393
399,399,0.000
406,416,2.404
409,419,2.387
413,424,2.594
418,431,3.016
422,439,3.872
429,452,5.088
435,462,5.844
437,464,5.819
445,479,7.098
450,497,9.457
459,512,10.352
465,526,11.597
474,543,12.707
484,485,0.206
491,498,1.406
493,500,1.400
510,517,1.354
517,532,2.820
seq_len,total,ratio
11,11,0.000
13,14,7.143
17,32,46.875
18,33,45.455
24,45,46.667
28,55,49.091
34,71,52.113
35,35,0.000
36,36,0.000
40,51,21.569
46,72,36.111
49,78,37.179
54,87,37.931
56,89,37.079
61,77,20.779
63,79,20.253
67,77,12.987
70,86,18.605
71,87,18.391
78,98,20.408
81,102,20.588
84,111,24.324
86,113,23.894
94,107,12.150
100,121,17.355
104,126,17.460
111,142,21.831
115,146,21.233
120,129,6.977
124,136,8.824
127,145,12.414
133,157,15.287
140,176,20.455
146,194,24.742
151,165,8.485
157,182,13.736
158,183,13.661
162,187,13.369
164,189,13.228
169,205,17.561
172,212,18.868
178,193,7.772
181,198,8.586
189,216,12.500
191,219,12.785
194,223,13.004
201,240,16.250
205,250,18.000
210,228,7.895
213,232,8.190
216,235,8.085
223,252,11.508
227,256,11.328
228,257,11.284
232,270,14.074
238,284,16.197
243,245,0.816
247,257,3.891
251,276,9.058
254,280,9.286
260,299,13.043
265,305,13.115
270,317,14.826
275,285,3.509
281,304,7.566
285,310,8.065
291,331,12.085
300,341,12.023
304,359,15.320
306,361,15.235
312,381,18.110
319,396,19.444
322,322,0.000
326,330,1.212
329,335,1.791
331,338,2.071
335,352,4.830
339,363,6.612
345,379,8.971
349,383,8.877
354,401,11.721
358,415,13.735
362,363,0.275
367,373,1.609
369,376,1.862
373,387,3.618
377,394,4.315
386,412,6.311
392,430,8.837
395,434,8.986
396,435,8.966
401,444,9.685
407,462,11.905
413,482,14.315
416,486,14.403
421,494,14.777
422,495,14.747
428,444,3.604
429,445,3.596
435,459,5.229
439,475,7.579
447,491,8.961
451,500,9.800
457,520,12.115
461,532,13.346
467,545,14.312
472,486,2.881
477,504,5.357
480,508,5.512
486,515,5.631
489,518,5.598
494,532,7.143
497,536,7.276
500,541,7.579
504,552,8.696
515,564,8.688
seq_len,total,ratio
11,11,0.000
15,29,48.276
17,32,46.875
19,34,44.118
23,49,53.061
28,66,57.576
38,46,17.391
42,60,30.000
46,76,39.474
51,92,44.565
53,97,45.361
56,56,0.000
57,57,0.000
58,58,0.000
62,74,16.216
66,87,24.138
68,90,24.444
75,102,26.471
84,120,30.000
88,130,32.308
90,90,0.000
92,93,1.075
96,100,4.000
103,111,7.207
109,126,13.492
112,131,14.504
115,137,16.058
118,141,16.312
122,154,20.779
126,159,20.755
129,130,0.769
134,144,6.944
139,163,14.724
142,166,14.458
148,189,21.693
153,204,25.000
158,217,27.189
165,241,31.535
170,176,3.409
172,178,3.371
177,193,8.290
182,200,9.000
187,210,10.952
193,229,15.721
196,234,16.239
202,240,15.833
204,204,0.000
206,207,0.483
209,210,0.476
214,227,5.727
219,242,9.504
223,249,10.442
229,262,12.595
231,264,12.500
237,281,15.658
242,299,19.064
246,310,20.645
250,315,20.635
252,252,0.000
258,266,3.008
271,282,3.901
278,295,5.763
282,314,10.191
286,318,10.063
296,334,11.377
302,340,11.176
312,359,13.092
323,375,13.867
340,392,13.265
347,350,0.857
364,367,0.817
371,374,0.802
384,391,1.790
401,408,1.716
418,425,1.647
435,442,1.584
452,459,1.525
469,476,1.471
486,493,1.420
498,505,1.386
504,523,3.633
521,540,3.519
seq_len,total,ratio
11,11,0.000
15,24,37.500
20,39,48.718
27,55,50.909
35,63,44.444
40,45,11.111
46,59,22.034
48,61,21.311
55,68,19.118
57,70,18.571
64,83,22.892
73,103,29.126
78,120,35.000
82,124,33.871
87,102,14.706
93,112,16.964
96,117,17.949
101,140,27.857
109,157,30.573
114,168,32.143
120,130,7.692
125,141,11.348
130,158,17.722
135,178,24.157
137,180,23.889
139,139,0.000
146,153,4.575
153,168,8.929
159,182,12.637
164,188,12.766
169,202,16.337
171,204,16.176
176,192,8.333
180,204,11.765
184,215,14.419
191,236,19.068
193,238,18.908
194,239,18.828
198,208,4.808
201,213,5.634
206,236,12.712
209,241,13.278
213,254,16.142
214,214,0.000
218,233,6.438
219,234,6.410
220,235,6.383
228,252,9.524
238,269,11.524
244,283,13.781
247,289,14.533
252,306,17.647
255,309,17.476
258,258,0.000
264,272,2.941
266,274,2.920
271,286,5.245
275,301,8.638
280,318,11.950
286,340,15.882
289,345,16.232
293,294,0.340
294,295,0.339
299,315,5.079
301,317,5.047
304,322,5.590
307,330,6.970
309,332,6.928
313,337,7.122
316,342,7.602
318,346,8.092
321,349,8.023
331,364,9.066
339,375,9.600
343,379,9.499
346,382,9.424
351,399,12.030
356,423,15.839
360,429,16.084
362,432,16.204
367,370,0.811
375,389,3.599
377,392,3.827
382,401,4.738
383,402,4.726
389,420,7.381
393,428,8.178
398,433,8.083
403,448,10.045
408,464,12.069
418,486,13.992
419,487,13.963
425,505,15.842
430,519,17.148
436,437,0.229
440,451,2.439
445,466,4.506
449,473,5.074
451,475,5.053
457,485,5.773
458,486,5.761
459,487,5.749
463,496,6.653
467,512,8.789
472,525,10.095
482,543,11.234
483,544,11.213
484,545,11.193
487,550,11.455
494,566,12.721
497,569,12.654
504,514,1.946
508,524,3.053
512,540,5.185
seq_len,total,ratio
11,11,0.000
15,24,37.500
20,33,39.394
23,39,41.026
26,43,39.535
32,58,44.828
36,72,50.000
42,49,14.286
47,67,29.851
51,80,36.250
55,93,40.860
62,71,12.676
65,74,12.162
70,87,19.540
77,98,21.429
82,115,28.696
88,126,30.159
93,105,11.429
95,108,12.037
98,112,12.500
102,118,13.559
106,131,19.084
107,132,18.939
109,135,19.259
111,137,18.978
114,140,18.571
119,146,18.493
122,122,0.000
128,141,9.220
130,143,9.091
133,149,10.738
134,150,10.667
140,159,11.950
144,166,13.253
148,173,14.451
163,190,14.211
170,205,17.073
175,217,19.355
180,237,24.051
185,194,4.639
190,214,11.215
195,219,10.959
196,220,10.909
203,240,15.417
208,257,19.066
225,225,0.000
242,242,0.000
259,259,0.000
276,276,0.000
286,286,0.000
290,295,1.695
295,307,3.909
299,324,7.716
307,338,9.172
313,352,11.080
330,369,10.569
347,386,10.104
364,403,9.677
381,420,9.286
396,435,8.966
401,450,10.889
406,465,12.688
423,482,12.241
440,440,0.000
457,457,0.000
474,474,0.000
491,491,0.000
505,507,0.394
522,524,0.382
seq_len,total,ratio
11,11,0.000
15,21,28.571
19,33,42.424
26,47,44.681
31,67,53.731
35,46,23.913
36,47,23.404
37,48,22.917
41,68,39.706
44,72,38.889
46,74,37.838
51,95,46.316
55,60,8.333
59,78,24.359
60,79,24.051
63,69,8.696
65,71,8.451
69,79,12.658
73,83,12.048
77,89,13.483
81,97,16.495
86,117,26.496
89,126,29.365
97,105,7.619
99,107,7.477
108,128,15.625
114,151,24.503
118,158,25.316
119,119,0.000
124,137,9.489
129,155,16.774
133,170,21.765
138,187,26.203
141,194,27.320
145,150,3.333
151,164,7.927
158,181,12.707
163,199,18.090
168,204,17.647
169,205,17.561
173,212,18.396
175,177,1.130
179,192,6.771
181,196,7.653
185,205,9.756
190,220,13.636
192,224,14.286
197,239,17.573
201,252,20.238
202,202,0.000
205,208,1.442
213,216,1.389
214,217,1.382
218,221,1.357
219,222,1.351
225,241,6.639
227,243,6.584
231,256,9.766
233,258,9.690
238,266,10.526
241,270,10.741
251,287,12.544
