seq_len,total,ratio
11,11,0.000
14,16,12.500
18,30,40.000
22,45,51.111
38,62,38.710
43,78,44.872
44,79,44.304
45,80,43.750
47,82,42.683
52,95,45.263
55,99,44.444
57,102,44.118
60,105,42.857
64,124,48.387
68,133,48.872
70,136,48.529
80,148,45.946
82,150,45.333
86,165,47.879
88,167,47.305
93,183,49.180
98,197,50.254
103,213,51.643
108,230,53.043
113,244,53.689
116,253,54.150
121,270,55.185
126,276,54.348
132,292,54.795
136,301,54.817
141,316,55.380
144,321,55.140
145,322,54.969
149,336,55.655
154,352,56.250
161,366,56.011
167,388,56.959
172,408,57.843
177,419,57.757
185,433,57.275
190,442,57.014
193,447,56.823
199,453,56.071
200,454,55.947
205,475,56.842
211,493,57.201
215,500,57.000
221,506,56.324
225,517,56.480
227,519,56.262
231,528,56.250
235,541,56.562
240,548,56.204
246,563,56.306
247,564,56.206
251,572,56.119
252,573,56.021
253,574,55.923
257,593,56.661
259,597,56.616
262,602,56.478
267,619,56.866
270,624,56.731
272,626,56.550
276,638,56.740
283,656,56.860
285,659,56.753
286,660,56.667
287,661,56.581
293,667,56.072
299,684,56.287
304,701,56.633
305,702,56.553
307,705,56.454
309,707,56.294
310,708,56.215
313,717,56.346
318,730,56.438
323,736,56.114
326,739,55.886
331,754,56.101
334,758,55.937
339,781,56.594
345,795,56.604
349,805,56.646
353,819,56.899
356,824,56.796
362,842,57.007
364,844,56.872
369,855,56.842
380,878,56.720
386,889,56.580
391,908,56.938
396,918,56.863
400,925,56.757
406,943,56.946
413,950,56.526
416,956,56.485
418,958,56.367
421,961,56.191
426,976,56.352
437,991,55.903
440,996,55.823
444,1003,55.733
454,1020,55.490
458,1028,55.447
462,1036,55.405
467,1044,55.268
470,1049,55.195
479,1063,54.939
480,1064,54.887
486,1075,54.791
492,1092,54.945
493,1093,54.895
494,1094,54.845
498,1103,54.850
502,1121,55.219
508,1134,55.203
509,1135,55.154
510,1136,55.106
512,1140,55.088
seq_len,total,ratio
11,11,0.000
14,20,30.000
18,39,53.846
23,45,48.889
32,62,48.387
37,79,53.165
40,84,52.381
41,85,51.765
45,103,56.311
47,105,55.238
54,120,55.000
56,125,55.200
60,144,58.333
62,146,57.534
65,151,56.954
67,153,56.209
68,154,55.844
71,157,54.777
72,158,54.430
76,175,56.571
78,177,55.932
83,195,57.436
88,212,58.491
93,224,58.482
96,227,57.709
104,245,57.551
109,265,58.868
110,266,58.647
115,276,58.333
119,281,57.651
126,298,57.718
128,301,57.475
135,312,56.731
141,322,56.211
145,335,56.716
150,351,57.265
155,367,57.766
156,368,57.609
158,370,57.297
165,386,57.254
170,407,58.231
172,409,57.946
177,419,57.757
179,422,57.583
183,433,57.737
186,439,57.631
192,456,57.895
194,459,57.734
197,464,57.543
199,466,57.296
206,483,57.350
210,489,57.055
215,506,57.510
223,519,57.033
226,522,56.705
230,530,56.604
236,542,56.458
241,557,56.732
246,576,57.292
250,591,57.699
256,612,58.170
261,630,58.571
267,647,58.733
274,660,58.485
275,661,58.396
282,674,58.160
285,677,57.903
287,679,57.732
293,693,57.720
298,708,57.910
300,710,57.746
304,724,58.011
308,735,58.095
313,749,58.211
321,768,58.203
327,774,57.752
330,785,57.962
335,797,57.967
339,805,57.888
345,821,57.978
349,828,57.850
355,836,57.536
361,853,57.679
365,868,57.949
369,879,58.020
376,887,57.610
383,903,57.586
388,920,57.826
393,932,57.833
398,947,57.973
403,961,58.065
407,965,57.824
413,985,58.071
417,991,57.921
422,1002,57.884
427,1020,58.137
428,1021,58.080
434,1039,58.229
438,1056,58.523
440,1058,58.412
443,1062,58.286
445,1064,58.177
453,1087,58.326
457,1099,58.417
460,1107,58.446
467,1115,58.117
471,1129,58.282
474,1132,58.127
477,1136,58.011
484,1151,57.950
488,1164,58.076
493,1180,58.220
497,1187,58.130
500,1192,58.054
502,1194,57.956
504,1196,57.860
505,1197,57.811
509,1202,57.654
512,1207,57.581
seq_len,total,ratio
11,11,0.000
15,23,34.783
19,37,48.649
23,47,51.064
35,62,43.548
37,64,42.188
42,77,45.455
43,78,44.872
44,79,44.304
47,83,43.373
52,97,46.392
57,107,46.729
62,130,52.308
66,146,54.795
71,158,55.063
77,174,55.747
81,182,55.495
86,200,57.000
92,212,56.604
98,223,56.054
101,233,56.652
106,255,58.431
112,267,58.052
118,278,57.554
121,284,57.394
126,289,56.401
128,291,56.014
131,298,56.040
132,299,55.853
133,300,55.667
140,323,56.656
147,336,56.250
153,345,55.652
155,347,55.331
157,350,55.143
161,360,55.278
165,369,55.285
167,371,54.987
170,374,54.545
174,384,54.688
179,405,55.802
183,422,56.635
186,425,56.235
192,443,56.659
194,446,56.502
196,448,56.250
197,449,56.125
199,452,55.973
204,476,57.143
205,477,57.023
206,478,56.904
213,496,57.056
217,507,57.199
223,530,57.925
227,547,58.501
231,560,58.750
234,564,58.511
240,571,57.968
243,578,57.958
245,580,57.759
249,587,57.581
253,592,57.264
258,601,57.072
263,623,57.785
267,628,57.484
271,634,57.256
275,641,57.098
280,664,57.831
283,671,57.824
288,681,57.709
293,693,57.720
297,705,57.872
