seq_len,total,ratio
11,11,0.000
15,21,28.571
19,35,42.857
22,38,39.474
30,42,28.571
34,49,26.531
35,49,20.408
36,50,20.000
37,48,16.667
40,52,21.154
46,52,11.538
51,65,21.538
56,79,29.114
62,79,21.519
63,80,16.250
64,88,22.727
65,88,21.591
66,84,14.286
69,92,22.826
72,96,22.917
76,90,13.333
80,95,14.737
81,98,12.245
85,93,6.452
86,97,7.216
87,103,9.709
90,101,7.921
94,102,7.843
98,109,10.092
100,123,16.260
104,122,14.754
105,123,11.382
112,123,8.943
seq_len,total,ratio
11,11,0.000
15,26,42.308
17,33,39.394
21,35,37.143
22,36,19.444
26,33,18.182
31,45,28.889
37,49,22.449
42,57,26.316
47,72,34.722
50,74,29.730
56,80,30.000
60,83,27.711
64,90,26.667
68,94,26.596
73,99,25.253
74,97,19.588
78,105,24.762
82,110,25.455
87,113,23.009
89,123,26.016
93,128,26.562
98,130,24.615
100,133,21.053
107,137,21.898
109,147,23.810
110,143,20.280
113,146,20.548
116,138,15.217
120,142,14.789
125,147,14.966
126,152,14.474
130,156,16.667
134,156,11.538
136,157,10.191
141,161,11.180
146,165,11.515
150,171,11.111
153,172,9.884
158,173,7.514
162,186,12.366
164,179,6.704
166,190,11.053
169,186,8.065
171,185,5.405
172,181,2.210
177,194,8.763
181,208,12.500
187,204,8.333
192,205,6.341
194,212,6.604
198,214,6.542
203,218,6.881
205,219,5.479
206,227,7.489
210,228,7.456
215,232,7.328
217,244,10.246
219,249,10.843
223,244,8.607
228,256,10.938
233,265,12.075
237,271,12.546
238,272,10.294
244,271,8.487
246,276,10.145
254,275,7.636
259,284,8.803
264,293,9.898
272,293,6.826
278,303,8.251
283,305,6.557
289,313,7.668
292,326,9.816
295,321,7.477
300,322,6.832
306,323,4.954
308,324,4.012
310,333,6.006
312,334,5.689
314,334,4.790
320,329,2.736
325,338,3.846
330,344,4.070
331,353,5.382
336,353,4.533
341,362,5.525
346,364,4.945
350,368,3.804
358,370,3.243
365,383,4.700
370,394,6.091
371,402,6.965
377,402,6.219
381,411,7.299
386,424,8.726
392,428,8.411
395,428,7.243
399,428,6.542
402,429,6.061
404,430,5.581
408,428,4.439
412,431,4.408
416,433,3.926
425,447,4.922
431,456,5.482
440,461,4.555
442,469,5.330
448,469,4.478
453,472,4.025
459,485,5.155
460,482,3.527
466,482,3.112
471,483,2.484
475,495,4.040
481,500,3.600
486,508,4.331
490,514,4.669
491,523,5.545
497,515,3.495
502,525,4.381
504,537,5.587
507,535,4.860
508,534,4.307
515,531,3.013
seq_len,total,ratio
11,11,0.000
15,23,34.783
19,37,45.946
24,44,40.909
29,43,32.558
34,49,24.490
39,52,25.000
43,61,29.508
46,63,25.397
50,66,22.727
53,68,17.647
58,67,11.940
61,74,16.216
66,82,19.512
70,85,17.647
73,87,13.793
74,90,10.000
79,91,12.088
83,99,16.162
88,102,13.725
90,110,16.364
94,111,14.414
98,115,13.913
104,122,14.754
107,128,15.625
112,132,15.152
116,140,17.143
117,149,18.792
119,149,18.792
120,141,11.348
121,141,11.348
124,148,15.541
129,145,11.034
135,156,13.462
137,164,15.244
142,163,11.043
146,165,11.515
148,168,10.119
153,172,9.884
155,171,8.187
160,177,9.605
165,184,10.326
168,194,12.887
172,192,10.417
178,205,13.171
183,208,12.019
187,218,13.761
191,220,13.182
193,231,14.719
196,228,13.596
204,223,8.072
208,231,9.957
210,233,9.013
214,239,10.460
220,253,13.043
226,253,10.277
233,253,7.905
238,263,9.506
240,270,8.889
246,275,10.545
252,283,10.954
256,293,12.287
259,301,12.292
263,297,10.774
265,297,10.101
269,296,8.784
274,295,7.119
279,305,7.213
285,300,4.667
290,308,5.844
300,315,4.762
301,322,5.280
306,322,4.969
310,332,5.723
316,333,5.105
322,345,6.667
325,348,5.460
331,358,7.263
336,354,5.085
340,367,7.084
344,370,7.027
346,381,8.136
350,385,8.831
352,383,7.311
354,387,8.010
359,391,8.184
360,392,7.398
365,395,7.595
366,396,6.313
368,403,7.692
372,406,8.374
376,415,9.157
380,418,8.852
386,412,6.311
394,420,6.190
396,422,5.213
398,427,5.855
401,431,6.265
405,428,4.673
407,433,5.081
410,434,5.069
414,440,5.909
420,445,5.618
427,445,4.045
435,457,4.814
439,465,5.376
442,468,4.915
444,473,5.708
446,478,6.067
451,476,5.252
459,480,3.750
464,477,2.306
467,483,2.899
473,483,2.070
479,491,2.444
484,498,2.811
487,508,3.740
489,510,3.529
498,506,1.581
499,511,1.370
501,512,1.367
508,520,2.308
513,536,4.291
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,27,37.037
20,42,45.238
29,37,21.622
32,55,36.364
35,47,21.277
40,52,23.077
44,64,29.688
48,66,22.727
