seq_len,total,ratio
11,11,0.000
13,24,37.500
17,31,45.161
24,38,36.842
30,44,25.000
34,45,22.222
36,48,20.833
41,52,21.154
45,56,19.643
51,66,21.212
57,75,24.000
59,75,16.000
65,76,14.474
67,88,19.318
71,87,18.391
73,101,25.743
77,102,24.510
78,103,20.388
84,109,22.936
85,117,24.786
91,122,25.410
96,122,21.311
102,122,16.393
107,123,13.008
108,130,14.615
113,127,11.024
118,134,11.940
123,147,16.327
126,147,12.245
127,147,9.524
131,155,14.839
132,155,11.613
134,157,12.102
138,156,10.897
141,162,11.111
145,163,9.816
149,165,9.091
152,169,9.467
157,172,8.721
163,173,5.780
169,186,9.140
173,197,12.183
178,208,13.942
181,212,13.679
182,206,10.194
189,202,5.941
194,210,7.143
198,222,10.360
199,219,7.306
200,219,6.849
201,220,6.818
202,217,5.069
203,217,4.608
204,217,4.147
209,221,3.620
214,225,3.111
222,228,2.632
228,242,5.785
233,252,7.540
238,253,5.929
243,262,7.252
260,262,0.763
277,277,0.000
294,294,0.000
311,311,0.000
328,328,0.000
345,345,0.000
362,362,0.000
379,379,0.000
396,396,0.000
413,413,0.000
430,430,0.000
447,447,0.000
464,464,0.000
481,481,0.000
498,498,0.000
515,515,0.000
seq_len,total,ratio
11,11,0.000
12,22,31.818
17,33,48.485
21,35,40.000
25,47,44.681
30,47,36.170
35,54,35.185
41,64,34.375
48,60,20.000
53,65,18.462
55,72,19.444
57,72,18.056
60,82,24.390
61,78,15.385
67,83,19.277
72,96,25.000
74,100,24.000
76,102,22.549
79,101,19.802
80,97,14.433
85,101,15.842
90,106,15.094
96,114,15.789
103,125,17.600
110,131,16.031
116,142,18.310
seq_len,total,ratio
11,11,0.000
13,28,46.429
17,29,41.379
24,34,29.412
31,43,20.930
34,49,26.531
39,49,16.327
41,50,10.000
48,62,22.581
55,64,12.500
60,80,25.000
67,85,20.000
71,87,16.092
75,93,19.355
79,95,16.842
87,100,13.000
94,101,6.931
99,115,13.913
101,125,17.600
104,131,19.084
109,126,13.492
112,134,14.925
114,140,16.429
122,140,12.857
125,145,12.414
130,147,10.204
135,155,12.903
138,164,15.244
145,162,10.494
146,169,10.651
151,168,10.119
152,175,10.286
160,170,4.118
164,187,11.230
165,177,4.520
169,184,8.152
173,195,10.769
178,202,11.881
184,205,9.756
188,211,10.900
193,223,13.453
194,223,10.762
198,223,11.211
203,232,11.638
207,237,12.236
213,242,11.983
219,246,10.569
230,243,5.350
235,254,7.480
241,261,7.663
243,270,8.889
248,269,7.063
251,270,6.296
252,268,4.851
259,276,6.159
262,279,5.376
265,285,5.965
268,284,4.930
270,287,3.833
277,291,4.811
284,300,5.333
287,309,6.472
292,308,5.195
299,313,3.834
307,319,3.762
313,320,2.188
318,328,3.049
322,335,2.090
339,339,0.000
356,356,0.000
371,373,0.536
385,388,0.773
402,402,0.000
410,419,0.000
427,427,0.000
444,444,0.000
461,461,0.000
478,478,0.000
495,495,0.000
512,512,0.000
seq_len,total,ratio
11,11,0.000
13,23,34.783
17,30,43.333
21,41,43.902
24,46,43.478
29,45,35.556
31,55,38.182
35,59,40.678
41,59,28.814
42,60,25.000
45,60,20.000
49,65,24.615
57,71,19.718
62,82,24.390
72,90,18.889
78,94,17.021
80,96,12.500
82,104,17.308
88,103,14.563
93,110,15.455
99,115,12.174
101,122,14.754
105,119,10.924
111,121,8.264
116,132,12.121
120,144,15.278
