seq_len,total,ratio
11,11,0.000
13,21,28.571
14,29,37.931
19,29,34.483
20,38,39.474
26,34,23.529
31,51,39.216
37,57,35.088
41,66,37.879
42,67,32.836
44,79,39.241
50,77,35.065
54,82,32.927
55,86,31.395
59,83,25.301
62,85,23.529
66,87,24.138
67,96,26.042
70,101,28.713
74,95,22.105
75,104,25.000
78,97,18.557
83,97,13.402
86,104,16.346
89,112,18.750
92,109,13.761
96,110,12.727
100,117,11.966
101,119,12.605
103,117,10.256
108,122,10.656
114,128,10.938
117,134,11.194
122,137,10.949
125,153,16.993
127,148,11.486
134,152,11.184
139,156,10.897
141,170,15.882
seq_len,total,ratio
11,11,0.000
15,21,28.571
19,38,47.368
26,36,27.778
27,45,31.111
30,41,21.951
35,54,33.333
40,48,16.667
44,62,25.806
50,64,21.875
55,76,27.632
57,83,28.916
62,82,21.951
64,81,17.284
65,83,16.867
66,85,17.647
70,78,10.256
74,86,13.953
79,87,8.046
80,99,15.152
82,98,14.286
86,103,16.505
91,108,15.741
93,118,17.797
96,117,16.239
101,121,14.876
107,129,17.054
110,130,14.615
112,139,17.266
114,144,19.444
121,139,12.950
128,146,12.329
130,157,15.287
137,159,13.836
138,168,15.476
139,160,10.625
145,168,13.690
151,176,14.205
155,180,13.333
162,178,8.989
166,186,10.753
169,198,13.131
174,193,9.845
179,200,10.500
185,208,11.058
191,210,9.048
198,213,6.103
200,218,6.881
204,222,7.207
205,219,4.110
211,222,4.955
216,234,7.692
221,236,6.356
225,246,6.911
227,249,7.229
232,244,4.918
233,249,4.016
239,250,4.000
241,259,5.792
248,256,3.125
258,264,2.273
259,276,3.986
265,274,3.285
267,288,6.250
270,291,6.873
275,290,5.172
280,298,6.040
287,300,4.333
293,305,3.934
297,322,7.143
303,318,4.717
306,329,5.775
312,322,2.795
320,329,2.736
326,344,5.233
329,355,6.761
334,358,6.704
336,360,5.000
343,364,5.495
344,364,2.747
348,370,5.135
353,378,6.614
354,379,5.541
362,380,4.737
365,382,2.618
369,391,5.627
375,393,4.580
380,398,4.523
382,403,3.970
389,404,3.713
391,418,5.981
399,414,3.623
402,423,4.492
406,425,4.471
412,433,4.850
418,440,4.545
424,445,4.719
429,453,5.298
434,457,5.033
438,471,6.794
442,476,7.143
448,479,5.846
451,485,6.804
456,487,6.366
459,490,5.918
463,497,6.640
466,503,6.759
468,504,6.548
470,501,5.389
475,501,5.190
478,514,6.809
482,510,5.490
487,522,6.705
488,522,5.364
490,526,5.894
495,522,4.598
500,528,5.303
502,539,6.494
503,535,5.234
506,538,5.762
507,541,5.360
510,550,6.909
514,547,5.667
seq_len,total,ratio
11,11,0.000
13,28,46.429
17,29,41.379
18,38,42.105
24,32,25.000
28,45,35.556
34,43,20.930
37,51,23.529
42,53,20.755
44,65,27.692
45,60,20.000
49,64,21.875
50,65,15.385
55,69,15.942
60,71,15.493
65,83,21.687
68,95,26.316
74,87,14.943
77,98,20.408
79,103,19.417
83,100,17.000
86,110,20.909
90,110,17.273
94,111,15.315
99,120,17.500
100,121,14.050
108,127,14.961
112,133,13.534
117,135,13.333
123,143,12.587
127,147,12.245
133,151,10.596
seq_len,total,ratio
11,11,0.000
14,26,42.308
18,34,47.059
20,37,37.838
22,35,28.571
36,38,5.263
39,56,26.786
43,56,21.429
45,62,20.968
49,69,26.087
57,69,11.594
64,72,11.111
67,90,22.222
72,81,11.111
77,90,13.333
82,89,7.865
85,102,12.745
87,103,13.592
88,100,7.000
92,103,10.680
94,115,16.522
95,109,9.174
97,116,13.793
103,114,9.649
109,121,9.091
112,128,10.156
117,128,8.594
121,134,8.955
126,136,5.147
135,147,8.163
137,158,11.392
141,158,10.127
144,164,10.976
148,167,11.377
150,175,11.429
155,168,7.738
157,184,13.043
160,179,9.497
167,182,7.692
170,189,8.995
173,195,9.744
177,191,6.283
180,201,8.458
185,199,5.528
189,201,3.980
192,204,4.412
197,204,3.431
204,220,6.818
207,225,7.111
215,219,1.826
220,229,3.930
221,235,4.255
223,238,5.042
225,244,6.148
227,239,3.766
230,244,4.098
235,247,4.858
239,259,7.722
248,262,5.344
252,269,4.833
253,267,2.996
256,273,4.762
263,272,3.309
268,280,4.286
272,291,6.186
273,287,3.136
278,291,4.467
282,303,6.931
289,306,5.556
294,313,5.112
298,319,6.583
301,329,7.903
309,322,4.037
318,330,3.636
324,345,6.087
328,347,5.476
329,348,4.023
331,362,7.459
335,361,6.925
336,357,5.042
337,364,6.319
340,364,5.769
344,364,5.220
348,370,5.946
354,379,6.596
355,388,7.216
360,389,7.455
364,392,7.143
365,401,7.731
371,403,7.940
376,415,9.398
379,415,8.193
386,422,8.531
392,422,7.109
395,431,7.657
398,430,6.977
401,432,6.944
402,435,6.897
407,433,5.774
414,434,4.608
419,449,6.682
421,451,5.987
422,450,5.333
425,451,5.322
426,450,4.444
430,452,4.867
432,467,6.638
433,461,5.206
434,461,4.989
435,460,4.565
439,461,4.772
443,468,5.342
451,469,3.838
456,477,4.403
460,479,3.758
465,485,4.124
470,486,3.292
487,487,0.000
492,504,2.381
500,505,0.990
511,516,0.969
seq_len,total,ratio
11,11,0.000
13,28,46.429
17,27,37.037
18,36,38.889
25,34,26.471
28,41,29.268
34,43,20.930
35,51,23.529
36,56,28.571
37,51,19.608
41,53,22.642
46,62,24.194
54,69,21.739
59,70,15.714
62,84,23.810
67,76,11.842
71,85,15.294
73,95,20.000
79,100,21.000
83,100,16.000
88,106,16.038
92,111,15.315
94,112,13.393
96,120,17.500
100,120,12.500
105,117,10.256
113,126,8.730
117,137,13.139
seq_len,total,ratio
11,11,0.000
15,21,28.571
19,38,47.368
25,37,32.432
30,48,37.500
34,58,41.379
35,67,43.284
40,70,42.857
43,73,38.356
47,78,39.744
48,79,35.443
54,82,34.146
57,87,33.333
62,88,29.545
70,89,20.225
73,93,19.355
75,103,23.301
79,99,20.202
80,100,16.000
83,108,21.296
85,108,18.519
90,113,19.469
96,118,18.644
101,118,14.407
103,129,17.829
108,123,6.504
113,135,15.556
114,132,5.303
118,136,12.500
121,136,9.559
123,144,11.806
127,138,6.522
132,146,8.904
135,147,6.122
138,159,11.321
140,159,10.063
146,157,6.369
151,164,6.707
155,172,9.884
161,173,6.936
163,180,7.222
167,186,9.677
169,189,8.995
174,188,7.447
178,197,9.645
183,201,8.955
184,209,10.526
190,209,9.091
195,223,12.556
201,223,9.865
203,239,14.226
211,229,7.860
217,239,9.205
221,247,10.121
227,254,10.630
230,258,9.690
233,256,7.812
239,257,7.004
241,267,8.989
246,274,10.219
247,275,8.000
249,276,8.696
257,280,8.214
263,285,7.719
268,301,10.963
272,303,9.901
276,309,9.061
282,306,7.843
287,317,9.464
288,318,6.918
291,325,9.538
297,325,8.000
301,333,9.309
305,326,6.442
309,327,5.199
315,334,5.689
320,335,4.478
328,343,4.373
333,361,7.756
334,368,8.152
339,363,6.612
344,374,8.021
345,375,6.933
346,383,8.616
350,383,8.355
358,375,2.933
363,376,3.457
364,384,4.427
367,387,4.910
370,393,5.089
371,393,4.326
376,397,5.290
381,399,4.010
384,398,1.005
390,412,5.340
395,418,5.502
398,423,4.492
400,430,5.814
406,428,5.140
412,431,4.176
420,438,4.110
421,446,4.709
425,445,4.270
430,447,3.803
431,454,4.405
437,456,4.167
441,466,4.936
451,466,3.219
454,479,4.802
459,477,3.774
466,485,3.711
472,490,3.061
476,499,4.409
479,500,3.600
481,496,2.419
483,500,2.800
484,495,1.616
485,495,1.010
492,505,2.574
498,511,2.544
509,519,1.927
516,530,2.075
seq_len,total,ratio
11,11,0.000
15,24,37.500
17,33,39.394
22,31,29.032
31,39,20.513
35,58,37.931
40,48,16.667
42,54,18.519
47,58,18.966
50,69,26.087
54,73,26.027
55,82,28.049
57,77,20.779
62,83,24.096
65,83,19.277
67,85,16.471
74,91,18.681
76,93,11.828
78,93,13.978
81,98,14.286
86,97,11.340
90,110,17.273
91,104,7.692
94,113,13.274
98,110,10.909
104,119,12.605
108,127,14.173
111,127,10.236
116,133,12.030
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,29,41.379
22,43,48.837
29,44,34.091
35,50,30.000
37,58,31.034
41,60,31.667
44,71,35.211
46,71,29.577
51,74,31.081
55,87,36.782
59,87,28.736
68,87,21.839
72,88,18.182
74,101,23.762
76,89,10.112
79,98,14.286
86,99,13.131
92,111,17.117
94,122,20.492
98,118,15.254
103,122,15.574
109,126,13.492
112,140,18.571
118,136,13.235
119,145,15.862
124,142,12.676
130,156,14.744
135,163,17.178
137,163,13.497
140,163,12.883
145,163,11.043
146,172,12.791
147,171,11.696
150,179,14.525
153,177,12.429
157,175,9.714
160,181,9.945
163,176,4.545
168,181,6.077
173,185,5.946
174,192,6.771
176,191,6.283
181,190,4.737
182,202,7.921
184,203,7.882
186,201,5.970
187,200,3.500
193,200,3.500
200,210,4.762
201,219,6.393
206,223,7.623
208,234,9.829
211,237,10.127
213,232,6.466
221,233,5.150
225,242,5.785
235,248,5.242
236,260,7.692
240,258,6.202
245,263,6.844
249,270,7.778
253,272,6.985
257,282,8.865
260,286,7.692
262,295,9.831
266,295,9.831
270,295,8.475
273,299,8.361
277,309,10.032
281,304,6.908
287,314,8.599
290,319,8.777
296,323,8.359
297,328,7.927
301,337,10.386
