seq_len,total,ratio
11,11,0.000
13,22,31.818
17,27,37.037
19,41,46.341
24,36,33.333
29,47,38.298
30,48,25.000
35,48,27.083
40,56,28.571
45,61,22.951
50,65,23.077
56,67,16.418
59,78,21.795
61,76,15.789
63,78,14.103
69,81,13.580
75,82,8.537
81,91,10.989
86,96,10.417
90,112,18.750
92,114,16.667
96,115,16.522
104,120,13.333
105,129,15.504
107,128,13.281
113,128,11.719
118,132,10.606
121,141,12.766
122,139,8.633
125,142,11.268
128,153,15.033
130,147,9.524
134,157,12.739
138,154,10.390
145,168,13.690
152,175,13.143
156,175,10.286
161,183,12.022
165,185,10.811
168,199,15.075
173,195,11.282
175,205,13.171
177,197,8.629
181,205,10.732
184,202,6.436
192,203,5.419
193,212,7.075
197,214,7.944
201,227,11.454
204,234,11.966
210,227,6.167
214,232,7.759
218,240,9.167
221,247,9.717
227,247,8.097
232,255,9.020
238,259,8.108
239,264,7.197
242,266,8.271
247,267,7.491
251,269,6.320
255,271,4.059
266,276,3.623
273,285,4.211
278,298,6.711
286,312,8.333
290,320,9.375
294,321,7.788
302,320,5.625
306,328,5.793
310,328,4.268
313,330,4.545
314,329,3.343
316,331,3.625
318,335,4.478
322,337,3.858
325,341,4.106
330,339,2.655
333,350,3.429
339,350,3.143
340,357,3.922
343,361,4.155
349,365,4.384
350,371,4.582
353,376,4.787
358,381,6.037
359,382,4.712
361,381,4.462
363,381,3.675
369,383,3.655
373,396,5.556
377,399,5.263
381,404,4.950
385,399,3.258
387,407,4.423
393,406,3.202
398,413,3.632
402,420,3.810
405,420,3.095
407,424,3.302
411,422,2.133
418,426,1.643
422,438,2.968
427,444,3.829
430,446,3.139
435,445,2.022
439,452,1.106
447,459,2.614
451,463,1.728
457,465,1.720
460,474,1.688
471,478,1.046
479,489,2.045
488,503,2.982
504,505,0.198
521,521,0.000
seq_len,total,ratio
11,11,0.000
13,22,31.818
17,31,45.161
18,40,45.000
24,32,25.000
28,39,28.205
34,40,15.000
39,54,27.778
40,55,21.818
44,55,20.000
47,69,28.986
49,71,26.761
50,64,17.188
54,63,14.286
59,74,20.270
61,83,20.482
64,89,24.719
69,87,19.540
73,87,16.092
74,95,17.895
76,96,17.708
80,103,21.359
84,103,18.447
90,106,15.094
94,120,20.000
97,118,15.254
99,120,15.000
101,115,9.565
107,118,6.780
112,125,10.400
seq_len,total,ratio
11,11,0.000
13,28,46.429
17,31,45.161
21,32,31.250
26,43,39.535
31,48,33.333
35,56,37.500
38,58,29.310
41,61,26.230
46,66,30.303
48,75,32.000
54,73,26.027
57,78,20.513
58,80,20.000
63,87,27.586
68,98,30.612
75,102,26.471
79,115,29.565
82,111,24.324
85,113,22.124
89,115,22.609
96,115,16.522
101,123,17.886
105,138,22.464
109,139,20.863
114,141,19.149
120,143,16.084
121,152,17.105
126,154,18.182
127,162,19.136
135,162,16.667
140,165,15.152
145,180,19.444
148,193,22.280
152,190,19.474
157,192,18.229
161,193,15.026
165,205,18.537
170,199,14.573
175,208,15.865
180,215,15.814
185,216,14.352
190,218,12.385
191,223,11.659
195,231,15.584
199,239,16.318
207,241,14.108
209,253,16.206
215,255,15.686
219,261,16.092
223,268,15.672
238,261,8.812
241,261,4.981
258,261,1.149
273,273,0.000
284,292,2.397
287,303,4.620
304,304,0.000
305,320,1.562
313,322,2.795
330,330,0.000
345,347,0.576
356,362,1.657
373,373,0.000
381,393,3.053
383,401,1.995
394,404,2.475
411,411,0.000
418,428,2.336
435,435,0.000
452,452,0.000
462,468,0.641
479,479,0.000
488,493,1.014
498,505,1.386
502,521,2.687
519,519,0.000
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,27,37.037
18,36,38.889
24,35,28.571
28,41,29.268
34,43,20.930
38,52,26.923
43,68,35.294
46,74,35.135
