seq_len,total,ratio
11,11,0.000
13,28,46.429
17,31,45.161
18,40,45.000
24,32,25.000
28,39,28.205
34,45,24.444
39,53,26.415
44,69,36.232
46,67,26.866
50,70,21.429
54,66,13.636
57,74,18.919
61,73,16.438
66,74,10.811
71,92,22.826
75,84,10.714
79,96,17.708
83,102,18.627
88,107,17.757
93,120,22.500
97,122,19.672
106,121,12.397
110,122,7.377
112,128,10.156
116,128,7.031
123,130,5.385
128,142,9.859
134,148,9.459
136,157,11.465
140,159,11.321
143,162,9.877
146,162,8.642
149,160,5.625
151,164,4.878
155,169,8.284
159,171,6.433
163,183,10.383
166,184,7.609
171,184,7.065
176,190,7.368
177,199,8.543
182,197,7.614
184,201,5.970
189,201,5.970
193,209,6.699
197,215,8.372
200,216,6.481
205,226,9.292
209,228,8.333
214,238,9.664
219,244,10.246
224,253,11.462
228,262,12.595
232,256,8.984
235,267,11.610
237,263,8.745
242,271,10.701
250,271,7.749
256,273,6.227
258,289,10.035
265,281,5.694
269,300,10.000
seq_len,total,ratio
11,11,0.000
16,33,51.515
20,27,25.926
22,34,26.471
26,34,20.588
32,46,30.435
37,56,33.929
39,64,34.375
42,64,28.125
48,70,31.429
53,68,22.059
58,68,11.765
63,71,9.859
66,85,20.000
72,86,16.279
77,101,23.762
82,89,7.865
87,102,13.725
96,110,12.727
102,114,9.649
104,122,9.836
106,121,10.744
107,123,10.569
109,121,8.264
112,129,11.628
116,137,14.599
117,134,8.955
121,138,12.319
125,145,12.414
132,146,9.589
137,154,11.039
142,163,12.883
149,164,9.146
155,166,6.627
160,174,8.046
166,181,8.287
172,187,8.021
184,198,7.071
188,207,9.179
191,218,11.468
195,210,4.286
196,212,5.189
199,213,4.695
203,225,9.333
205,222,5.856
209,224,6.250
214,230,6.522
218,239,7.531
220,232,2.586
221,237,3.797
227,237,4.219
232,246,5.691
237,256,7.031
246,262,6.107
250,270,6.667
254,275,7.273
259,271,4.428
260,279,5.735
262,283,6.007
269,278,3.237
273,284,3.873
278,290,4.138
283,299,5.351
287,304,4.276
290,306,4.575
298,304,1.974
302,311,2.894
303,325,5.538
304,318,3.145
309,328,5.793
311,336,6.250
316,329,3.951
318,344,6.395
321,340,5.000
326,350,6.857
329,355,7.042
334,361,7.479
337,366,6.831
338,362,4.972
345,366,5.738
347,378,7.672
351,379,7.388
357,381,6.299
363,388,5.928
368,390,5.641
369,391,3.581
373,405,7.901
378,405,5.185
384,405,5.185
386,419,6.921
391,418,6.459
397,426,6.808
402,426,4.225
408,431,5.104
412,430,4.186
417,442,5.656
419,446,4.933
428,453,5.519
434,461,5.857
437,465,4.946
441,468,5.556
448,474,5.485
453,475,4.000
454,475,2.737
459,479,4.175
463,490,5.510
467,492,5.081
472,500,5.600
476,505,5.743
482,511,5.675
483,520,6.346
487,515,5.049
490,516,4.264
495,514,3.502
499,527,5.123
505,527,4.175
507,539,5.566
510,534,3.558
514,541,4.621
seq_len,total,ratio
11,11,0.000
15,33,51.515
20,36,44.444
25,35,28.571
31,49,36.735
37,56,32.143
38,55,20.000
44,52,15.385
48,60,20.000
54,68,20.588
59,80,25.000
65,81,19.753
70,84,16.667
76,89,14.607
81,98,17.347
82,97,11.340
85,96,10.417
89,105,15.238
95,111,14.414
98,122,18.033
102,124,17.742
106,127,16.535
109,132,15.909
111,142,19.014
115,135,14.815
119,136,12.500
123,142,11.972
128,150,13.333
133,141,5.674
140,153,8.497
144,154,5.844
145,158,5.696
149,167,10.778
151,171,10.526
156,176,11.364
161,180,10.556
167,184,9.239
171,190,10.000
173,201,12.935
178,206,13.592
181,208,12.019
184,214,13.551
189,223,15.247
191,226,11.947
197,223,11.211
203,224,9.375
206,236,11.864
211,233,9.442
215,237,8.861
221,237,6.751
225,244,6.967
226,250,8.400
230,245,6.122
242,251,3.586
259,259,0.000
276,276,0.000
284,290,2.069
287,303,4.950
291,304,3.947
295,310,4.516
301,316,4.747
305,328,6.707
310,328,4.573
313,332,5.422
321,327,1.835
325,335,2.687
330,344,4.070
341,348,2.011
353,358,1.397
370,370,0.000
387,387,0.000
391,407,3.194
397,406,1.970
401,414,2.899
405,420,3.571
408,427,3.747
412,421,2.138
429,429,0.000
444,446,0.224
461,461,0.000
468,478,2.092
485,485,0.000
502,502,0.000
519,519,0.000
seq_len,total,ratio
11,11,0.000
15,22,31.818
17,36,44.444
19,38,42.105
20,35,28.571
25,39,35.897
31,47,34.043
37,54,31.481
44,61,27.869
47,58,15.517
51,70,27.143
56,63,11.111
59,83,25.301
63,78,17.949
67,79,15.190
69,80,10.000
73,85,12.941
74,92,15.217
77,93,13.978
80,98,16.327
83,97,12.371
86,105,16.190
89,100,10.000
93,104,9.615
95,110,10.909
99,120,15.833
106,116,8.621
112,128,10.938
116,128,9.375
121,136,11.029
125,140,10.714
129,148,12.162
136,148,8.108
141,161,12.422
146,171,14.620
150,178,15.730
151,186,16.667
153,192,18.229
154,187,15.508
155,187,14.973
160,187,14.439
177,187,5.348
194,194,0.000
211,211,0.000
228,228,0.000
245,245,0.000
262,262,0.000
279,279,0.000
296,296,0.000
313,313,0.000
330,330,0.000
347,347,0.000
364,364,0.000
381,381,0.000
398,398,0.000
415,415,0.000
432,432,0.000
449,449,0.000
466,466,0.000
483,483,0.000
500,500,0.000
517,517,0.000
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,27,37.037
22,41,46.341
27,40,27.500
36,43,16.279
38,56,28.571
42,57,21.053
47,64,23.438
49,60,13.333
51,65,18.462
57,65,12.308
63,74,14.865
65,80,12.500
70,82,14.634
74,93,19.355
79,97,17.526
83,100,16.000
85,98,9.184
89,104,13.462
91,118,21.186
94,106,9.434
95,113,11.504
100,112,10.714
103,126,17.460
109,120,9.167
114,133,14.286
118,135,11.852
121,148,16.892
129,141,8.511
134,150,10.667
146,152,3.947
152,166,8.434
156,177,10.734
157,179,10.056
158,178,8.989
163,175,6.857
170,176,3.409
177,186,4.839
179,200,7.000
182,198,7.576
185,205,8.780
190,202,4.950
193,208,6.250
198,207,4.348
200,224,9.375
204,221,7.240
208,221,5.430
212,225,5.333
217,232,6.034
221,243,8.230
226,240,5.417
231,245,4.490
236,249,4.819
238,249,2.410
242,252,3.968
247,262,5.725
253,269,5.576
256,269,3.346
259,277,5.415
264,275,4.000
265,281,4.626
270,283,4.240
277,290,4.483
282,303,6.931
285,311,8.039
289,308,5.844
291,312,5.769
295,313,5.751
304,315,3.492
312,322,3.106
317,339,5.900
320,334,3.593
322,338,2.071
327,337,2.967
330,351,5.698
334,352,5.114
338,362,6.630
344,368,6.522
348,377,7.692
354,386,8.290
359,392,7.653
363,391,6.394
365,386,3.886
373,392,4.847
380,394,3.553
385,402,4.229
388,414,5.556
392,417,5.516
399,415,3.614
400,413,1.695
401,415,2.410
407,423,3.783
408,424,2.830
410,435,5.057
412,427,2.342
413,429,1.399
414,430,2.558
415,432,3.009
419,435,3.218
423,438,3.196
427,440,2.955
436,454,3.965
440,454,2.863
442,465,4.301
