seq_len,total,ratio
11,11,0.000
15,25,40.000
19,37,48.649
22,51,52.941
23,38,28.947
29,38,23.684
34,48,29.167
38,49,22.449
43,58,25.862
48,73,34.247
53,79,32.911
58,87,33.333
61,88,29.545
65,96,32.292
69,100,30.000
71,101,25.743
77,103,24.272
81,106,21.698
85,104,18.269
89,113,21.239
94,121,21.488
95,114,14.035
98,118,11.864
100,120,14.167
108,121,10.744
112,135,16.296
114,134,12.687
117,141,15.603
118,131,6.870
119,132,7.576
121,138,9.420
124,146,14.384
125,146,11.644
131,148,11.486
132,157,13.376
134,155,11.613
139,161,13.665
143,163,11.656
146,172,13.953
149,175,14.286
155,172,9.884
158,179,10.615
163,178,8.427
169,186,9.140
174,191,8.901
179,205,12.683
182,206,9.709
186,208,9.135
193,207,6.763
196,217,9.217
197,220,8.182
205,222,7.658
206,223,4.036
212,232,8.621
216,237,7.173
224,238,5.882
229,243,4.938
235,246,4.065
241,254,5.118
246,258,1.938
248,264,3.030
250,265,4.151
255,271,5.904
259,277,4.693
271,276,1.812
274,289,4.498
281,294,4.422
288,305,5.574
291,313,6.070
293,313,3.834
299,316,5.380
303,324,5.864
309,327,5.505
313,328,4.268
314,336,5.357
317,339,6.195
321,336,4.464
323,343,4.665
326,344,4.651
330,349,4.871
331,347,3.170
339,347,2.305
343,357,3.922
346,371,5.930
350,365,4.110
353,367,2.180
358,370,1.622
362,378,3.439
368,375,1.600
374,383,2.350
383,390,1.795
394,400,1.500
411,411,0.000
428,428,0.000
445,445,0.000
455,459,0.871
461,471,2.123
478,478,0.000
495,495,0.000
512,512,0.000
seq_len,total,ratio
11,11,0.000
14,25,40.000
16,33,45.455
18,31,32.258
22,33,33.333
23,42,35.714
24,42,35.714
30,41,26.829
35,55,36.364
39,64,37.500
41,67,35.821
45,66,31.818
51,73,30.137
56,83,32.530
57,92,33.696
61,95,34.737
65,94,30.851
67,109,35.780
72,107,32.710
77,108,28.704
79,108,23.148
80,109,23.853
86,111,22.523
89,119,24.370
95,124,22.581
96,120,17.500
98,119,14.286
102,125,18.400
104,130,16.923
108,141,22.695
111,141,20.567
116,141,17.730
121,143,15.385
123,157,19.745
131,143,8.392
140,150,6.667
146,166,12.048
151,172,12.209
157,179,12.291
162,194,16.495
166,199,15.075
167,195,11.795
168,195,11.795
173,194,10.825
177,199,10.553
182,202,9.406
187,200,6.500
190,218,12.385
194,223,12.556
196,221,9.955
198,231,12.987
202,226,10.177
207,233,11.159
209,235,8.936
215,234,7.692
221,237,6.751
224,250,9.200
228,249,8.434
230,255,8.235
235,257,8.560
237,259,7.722
242,267,9.363
248,271,8.487
252,285,11.228
257,285,9.825
262,287,8.711
267,294,9.184
271,302,9.934
277,305,9.180
278,314,9.873
283,315,10.159
288,319,9.404
290,329,10.942
296,322,8.075
298,335,10.448
303,332,8.735
309,334,7.485
313,344,9.012
315,346,8.092
321,348,7.471
324,364,10.440
329,355,7.324
339,357,4.762
340,362,4.696
341,362,3.867
346,366,5.464
351,373,5.898
358,373,4.021
360,382,5.236
366,385,4.935
367,394,5.838
369,392,5.102
373,400,6.500
374,398,5.025
379,397,4.534
383,407,5.897
384,416,6.490
394,407,3.194
398,417,4.317
403,419,3.819
407,436,6.422
411,439,6.378
415,455,8.571
421,448,6.027
426,454,6.167
427,455,4.835
432,463,6.695
437,463,5.616
441,473,6.765
445,474,6.118
447,474,4.641
451,490,7.755
455,489,6.953
457,504,8.532
461,499,7.615
463,503,7.356
470,504,6.746
474,513,7.212
478,511,6.262
482,512,5.859
483,513,4.288
485,522,6.130
488,525,6.857
492,530,6.981
496,536,7.463
499,545,8.073
502,540,6.852
507,546,7.143
513,560,8.393
seq_len,total,ratio
11,11,0.000
15,21,28.571
20,40,50.000
25,42,40.476
29,53,41.509
32,50,30.000
37,50,24.000
41,54,20.370
46,58,20.690
52,65,20.000
53,72,19.444
58,77,23.377
62,80,22.500
69,85,18.824
74,100,26.000
82,100,18.000
88,113,22.124
93,121,22.314
96,125,21.600
103,119,13.445
105,130,16.923
110,126,12.698
114,141,19.149
115,149,20.134
122,147,16.327
127,142,10.563
134,148,9.459
141,159,11.321
144,170,14.706
149,179,16.760
150,179,12.849
153,186,14.516
159,194,17.526
162,198,17.172
168,190,11.579
173,202,14.356
177,203,12.808
182,217,16.129
186,223,16.592
191,231,17.316
194,239,17.573
199,238,15.966
203,237,13.924
206,234,10.256
211,238,11.345
217,239,9.205
219,244,9.016
221,255,12.157
227,255,10.980
233,260,10.385
238,262,8.779
242,271,9.963
247,272,9.191
251,275,8.364
253,284,9.859
258,281,7.829
264,282,6.383
268,295,9.153
269,304,10.197
270,296,7.432
276,296,6.081
277,296,5.405
279,302,6.291
283,302,6.291
287,316,8.861
296,307,2.606
299,318,5.346
300,316,3.797
301,316,3.165
302,315,2.857
303,320,3.750
307,321,4.361
312,328,4.878
317,335,5.373
322,341,5.572
327,342,4.386
333,348,4.310
339,357,4.762
349,359,2.786
357,372,4.032
368,373,1.340
378,381,0.787
383,390,1.795
389,402,3.234
395,408,3.186
401,417,3.837
407,426,4.460
412,427,3.513
417,428,2.570
423,435,2.759
429,443,3.160
435,451,3.548
441,452,2.434
447,460,2.826
453,467,2.998
459,468,1.923
465,475,2.105
471,482,2.282
