seq_len,total,ratio
11,11,0.000
15,21,28.571
19,28,32.143
22,30,26.667
30,48,37.500
34,48,29.167
35,49,28.571
36,50,28.000
37,51,27.451
40,58,31.034
46,70,34.286
51,87,41.379
56,95,41.053
62,95,34.737
63,96,34.375
64,97,34.021
65,98,33.673
66,99,33.333
69,104,33.654
72,111,35.135
76,115,33.913
80,122,34.426
81,123,34.146
85,127,33.071
86,128,32.812
87,129,32.558
90,132,31.818
94,144,34.722
98,149,34.228
100,149,32.886
104,166,37.349
105,166,36.747
112,170,34.118
seq_len,total,ratio
11,11,0.000
15,26,42.308
17,26,34.615
21,28,25.000
22,29,24.138
26,34,23.529
31,43,27.907
37,54,31.481
42,71,40.845
47,83,43.373
50,83,39.759
56,93,39.785
60,95,36.842
64,95,32.632
68,106,35.849
73,112,34.821
74,113,34.513
78,123,36.585
82,138,40.580
87,144,39.583
89,147,39.456
93,158,41.139
98,171,42.690
100,171,41.520
107,190,43.684
109,190,42.632
110,190,42.105
113,190,40.526
116,195,40.513
120,204,41.176
125,217,42.396
126,217,41.935
130,230,43.478
134,230,41.739
136,232,41.379
141,238,40.756
146,255,42.745
150,255,41.176
153,255,40.000
158,261,39.464
162,273,40.659
164,273,39.927
166,273,39.194
169,277,38.989
171,280,38.929
172,281,38.790
177,302,41.391
181,302,40.066
187,315,40.635
192,320,40.000
194,320,39.375
198,324,38.889
203,342,40.643
205,342,40.058
206,342,39.766
210,347,39.481
215,361,40.443
217,361,39.889
219,363,39.669
223,376,40.691
228,388,41.237
233,393,40.712
237,404,41.337
238,404,41.089
244,404,39.604
246,408,39.706
254,423,39.953
259,434,40.323
264,444,40.541
272,450,39.556
278,469,40.725
283,469,39.659
289,487,40.657
292,487,40.041
295,491,39.919
300,507,40.828
306,510,40.000
308,512,39.844
310,514,39.689
312,516,39.535
314,519,39.499
320,533,39.962
325,541,39.926
330,547,39.671
331,547,39.488
336,559,39.893
341,565,39.646
346,578,40.138
350,578,39.446
358,590,39.322
365,604,39.570
370,617,40.032
371,617,39.870
377,627,39.872
381,636,40.094
386,639,39.593
392,661,40.696
395,661,40.242
399,661,39.637
402,668,39.820
404,668,39.521
408,676,39.645
412,688,40.116
416,693,39.971
425,713,40.393
431,718,39.972
440,734,40.054
442,734,39.782
448,746,39.946
453,753,39.841
459,761,39.685
460,761,39.553
466,768,39.323
471,781,39.693
475,792,40.025
481,794,39.421
486,814,40.295
490,822,40.389
491,822,40.268
497,828,39.976
502,842,40.380
504,842,40.143
507,843,39.858
508,844,39.810
515,861,40.186
seq_len,total,ratio
11,11,0.000
15,23,34.783
19,29,34.483
24,31,22.581
29,48,39.583
34,48,29.167
39,56,30.357
43,65,33.846
46,65,29.231
50,74,32.432
53,74,28.378
58,80,27.500
61,86,29.070
66,106,37.736
70,106,33.962
73,106,31.132
74,107,30.841
79,113,30.088
83,130,36.154
88,131,32.824
90,133,32.331
94,142,33.803
98,146,32.877
104,165,36.970
107,166,35.542
112,177,36.723
116,183,36.612
117,183,36.066
119,183,34.973
120,184,34.783
121,185,34.595
124,190,34.737
129,205,37.073
135,216,37.500
137,216,36.574
142,217,34.562
146,231,36.797
148,231,35.931
153,231,33.766
155,235,34.043
160,253,36.759
165,261,36.782
168,262,35.878
172,273,36.996
178,285,37.544
183,290,36.897
187,299,37.458
191,308,37.987
193,308,37.338
196,312,37.179
204,321,36.449
208,335,37.910
210,335,37.313
214,347,38.329
220,361,39.058
226,361,37.396
233,380,38.684
238,392,39.286
240,392,38.776
246,408,39.706
252,414,39.130
256,419,38.902
259,422,38.626
263,428,38.551
265,432,38.657
269,443,39.278
274,450,39.111
279,451,38.137
285,460,38.043
290,475,38.947
300,489,38.650
301,489,38.446
306,501,38.922
310,502,38.247
316,517,38.878
322,529,39.130
325,529,38.563
331,539,38.590
336,548,38.686
340,553,38.517
344,567,39.330
346,567,38.977
350,571,38.704
352,573,38.569
354,577,38.648
359,600,40.167
360,600,40.000
365,602,39.369
366,602,39.203
368,602,38.870
372,618,39.806
376,618,39.159
380,624,39.103
386,638,39.498
394,653,39.663
396,653,39.357
398,653,39.051
401,653,38.591
405,658,38.450
407,660,38.333
410,667,38.531
414,688,39.826
420,689,39.042
427,703,39.260
435,721,39.667
439,725,39.448
442,729,39.369
444,731,39.261
446,735,39.320
451,753,40.106
459,753,39.044
464,758,38.786
467,763,38.794
473,776,39.046
479,788,39.213
484,795,39.119
487,796,38.819
489,799,38.798
498,815,38.896
499,815,38.773
501,817,38.678
508,834,39.089
513,852,39.789
seq_len,total,ratio
11,11,0.000
13,14,7.143
17,28,39.286
20,28,28.571
29,41,29.268
32,45,28.889
35,49,28.571
40,65,38.462
44,70,37.143
48,70,31.429
