seq_len,total,ratio
11,11,0.000
13,16,18.750
17,32,46.875
24,34,29.412
30,35,14.286
34,39,12.821
36,41,12.195
41,46,10.870
45,62,27.419
51,69,26.087
57,75,24.000
59,75,21.333
65,81,19.753
67,83,19.277
71,93,23.656
73,95,23.158
77,107,28.037
78,107,27.103
84,118,28.814
85,118,27.966
91,126,27.778
96,129,25.581
102,139,26.619
107,139,23.022
108,139,22.302
113,156,27.564
118,156,24.359
123,166,25.904
126,166,24.096
127,166,23.494
131,180,27.222
132,180,26.667
134,180,25.556
138,180,23.333
141,180,21.667
145,180,19.444
149,194,23.196
152,194,21.649
157,209,24.880
163,209,22.010
169,215,21.395
173,220,21.364
178,227,21.586
181,227,20.264
182,228,20.175
189,243,22.222
194,248,21.774
198,258,23.256
199,258,22.868
200,258,22.481
201,258,22.093
202,258,21.705
203,258,21.318
204,258,20.930
209,263,20.532
214,268,20.149
222,279,20.430
228,289,21.107
233,294,20.748
238,299,20.401
243,304,20.066
260,321,19.003
277,338,18.047
294,355,17.183
311,372,16.398
328,389,15.681
345,406,15.025
362,423,14.421
379,440,13.864
396,457,13.348
413,474,12.869
430,491,12.424
447,508,12.008
464,525,11.619
481,542,11.255
498,559,10.912
515,576,10.590
seq_len,total,ratio
11,11,0.000
12,12,0.000
17,31,45.161
21,34,38.235
25,37,32.432
30,38,21.053
35,51,31.373
41,53,22.642
48,59,18.644
53,64,17.188
55,66,16.667
57,68,16.176
60,71,15.493
61,72,15.278
67,88,23.864
72,98,26.531
74,98,24.490
76,98,22.449
79,102,22.549
80,103,22.330
85,113,24.779
90,124,27.419
96,124,22.581
103,141,26.950
110,141,21.986
116,155,25.161
seq_len,total,ratio
11,11,0.000
13,16,18.750
17,30,43.333
24,30,20.000
31,37,16.216
34,40,15.000
39,45,13.333
41,47,12.766
48,62,22.581
55,62,11.290
60,82,26.829
67,84,20.238
71,84,15.476
75,95,21.053
79,100,21.000
87,104,16.346
94,111,15.315
99,119,16.807
101,124,18.548
104,127,18.110
109,138,21.014
112,142,21.127
114,144,20.833
122,167,26.946
125,167,25.150
130,167,22.156
135,179,24.581
138,179,22.905
145,182,20.330
146,183,20.219
151,188,19.681
152,189,19.577
160,197,18.782
164,212,22.642
165,212,22.170
169,212,20.283
173,223,22.422
178,234,23.932
184,234,21.368
188,234,19.658
193,246,21.545
194,246,21.138
198,247,19.838
203,256,20.703
207,262,20.992
213,274,22.263
219,280,21.786
230,287,19.861
235,299,21.405
241,311,22.508
243,311,21.865
248,317,21.767
251,323,22.291
252,324,22.222
259,338,23.373
262,338,22.485
265,338,21.598
268,341,21.408
270,343,21.283
