seq_len,total,ratio
11,11,0.000
14,20,30.000
16,20,20.000
19,37,48.649
24,38,36.842
37,45,17.778
39,50,22.000
43,63,31.746
47,66,28.788
49,66,25.758
52,69,24.638
54,79,31.646
59,79,25.316
60,80,25.000
63,90,30.000
66,91,27.473
69,93,25.806
76,100,24.000
83,112,25.893
88,120,26.667
95,133,28.571
101,143,29.371
102,143,28.671
107,153,30.065
108,153,29.412
114,164,30.488
118,164,28.049
124,177,29.944
130,177,26.554
136,191,28.796
138,191,27.749
144,191,24.607
148,212,30.189
153,217,29.493
163,224,27.232
168,230,26.957
169,231,26.840
170,232,26.724
172,234,26.496
173,235,26.383
177,248,28.629
180,248,27.419
184,255,27.843
185,255,27.451
191,272,29.779
196,279,29.749
200,282,29.078
206,283,27.208
213,294,27.551
216,297,27.273
226,312,27.564
232,319,27.273
242,329,26.444
248,341,27.273
261,353,26.062
273,369,26.016
286,388,26.289
295,397,25.693
304,411,26.034
316,422,25.118
329,439,25.057
340,450,24.444
344,461,25.380
352,462,23.810
360,470,23.404
364,474,23.207
373,483,22.774
380,496,23.387
389,499,22.044
399,516,22.674
410,520,21.154
416,532,21.805
428,538,20.446
441,556,20.683
449,564,20.390
464,579,19.862
472,597,20.938
481,597,19.430
496,612,18.954
508,624,18.590
512,635,19.370
seq_len,total,ratio
11,11,0.000
13,16,18.750
17,32,46.875
19,32,40.625
35,44,20.455
41,50,18.000
47,63,25.397
52,68,23.529
56,68,17.647
61,73,16.438
66,82,19.512
71,101,29.703
76,101,24.752
79,101,21.782
87,114,23.684
88,114,22.807
94,129,27.132
95,129,26.357
103,129,20.155
107,146,26.712
108,146,26.027
112,146,23.288
117,155,24.516
122,163,25.153
127,173,26.590
128,173,26.012
131,176,25.568
135,186,27.419
136,186,26.882
142,197,27.919
143,197,27.411
147,197,25.381
148,198,25.253
154,204,24.510
157,207,24.155
159,209,23.923
162,212,23.585
164,214,23.364
165,215,23.256
170,224,24.107
175,236,25.847
177,236,25.000
179,236,24.153
182,250,27.200
184,250,26.400
185,250,26.000
188,254,25.984
190,262,27.481
192,262,26.718
196,270,27.407
202,276,26.812
207,287,27.875
213,294,27.551
215,301,28.571
218,301,27.575
221,307,28.013
225,314,28.344
233,325,28.308
239,345,30.725
244,350,30.286
252,365,30.959
253,365,30.685
257,376,31.649
258,376,31.383
259,376,31.117
260,376,30.851
261,376,30.585
266,386,31.088
272,401,32.170
273,401,31.920
277,406,31.773
280,412,32.039
285,427,33.255
290,437,33.638
293,437,32.952
295,442,33.258
299,446,32.960
303,465,34.839
308,467,34.047
315,467,32.548
319,478,33.264
325,495,34.343
331,495,33.131
333,501,33.533
