seq_len,total,ratio
11,11,0.000
13,16,18.750
17,28,39.286
19,30,36.667
24,43,44.186
29,56,48.214
30,57,47.368
35,62,43.548
40,80,50.000
45,91,50.549
50,100,50.000
56,109,48.624
59,112,47.321
61,114,46.491
63,116,45.690
69,122,43.443
75,131,42.748
81,140,42.143
86,153,43.791
90,167,46.108
92,177,48.023
96,181,46.961
104,204,49.020
105,205,48.780
107,207,48.309
113,229,50.655
118,229,48.472
121,232,47.845
122,233,47.639
125,239,47.699
128,246,47.967
130,248,47.581
134,256,47.656
138,273,49.451
145,293,50.512
152,312,51.282
156,316,50.633
161,334,51.796
165,351,52.991
168,356,52.809
173,375,53.867
175,375,53.333
177,377,53.050
181,389,53.470
184,392,53.061
192,413,53.511
193,413,53.269
197,423,53.428
201,439,54.214
204,455,55.165
210,466,54.936
214,475,54.947
218,479,54.489
221,485,54.433
227,500,54.600
232,521,55.470
238,522,54.406
239,523,54.302
242,526,53.992
247,543,54.512
251,547,54.113
255,551,53.721
266,569,53.251
273,581,53.012
278,597,53.434
286,619,53.796
290,636,54.403
294,640,54.062
302,648,53.395
306,657,53.425
310,661,53.101
313,668,53.144
314,669,53.064
316,675,53.185
318,686,53.644
322,690,53.333
325,700,53.571
330,710,53.521
333,713,53.296
339,729,53.498
340,730,53.425
343,733,53.206
349,749,53.405
350,750,53.333
353,753,53.121
358,777,53.925
359,778,53.856
361,780,53.718
363,782,53.581
369,792,53.409
373,807,53.779
377,817,53.856
381,829,54.041
385,833,53.782
387,835,53.653
393,841,53.270
398,846,52.955
402,850,52.706
405,853,52.521
407,855,52.398
411,859,52.154
418,869,51.899
422,877,51.881
427,895,52.291
430,895,51.955
435,900,51.667
439,904,51.438
447,922,51.518
451,926,51.296
457,932,50.966
460,935,50.802
471,951,50.473
479,966,50.414
488,975,49.949
504,992,49.194
521,1009,48.365
seq_len,total,ratio
11,11,0.000
13,16,18.750
17,32,46.875
18,33,45.455
24,39,38.462
28,43,34.884
34,49,30.612
39,67,41.791
40,68,41.176
44,72,38.889
47,78,39.744
49,84,41.667
50,85,41.176
54,92,41.304
59,103,42.718
61,105,41.905
64,116,44.828
69,133,48.120
73,137,46.715
74,138,46.377
76,140,45.714
80,160,50.000
84,175,52.000
90,194,53.608
94,194,51.546
97,197,50.761
99,203,51.232
101,205,50.732
107,215,50.233
112,227,50.661
seq_len,total,ratio
11,11,0.000
13,16,18.750
17,32,46.875
21,36,41.667
26,49,46.939
31,60,48.333
35,74,52.703
38,77,50.649
41,80,48.750
46,101,54.455
48,103,53.398
54,109,50.459
57,112,49.107
58,113,48.673
63,131,51.908
68,143,52.448
