seq_len,total,ratio
11,11,0.000
13,14,7.143
17,32,46.875
18,33,45.455
24,45,46.667
28,55,49.091
34,71,52.113
39,49,20.408
44,72,38.889
46,74,37.838
50,79,36.709
54,56,3.571
57,59,3.390
61,75,18.667
66,88,25.000
71,109,34.862
75,122,38.525
79,91,13.187
83,109,23.853
88,123,28.455
93,144,35.417
97,102,4.902
106,116,8.621
110,120,8.333
112,122,8.197
116,128,9.375
123,141,12.766
128,156,17.949
134,168,20.238
136,170,20.000
140,180,22.222
143,183,21.858
146,146,0.000
149,149,0.000
151,151,0.000
155,168,7.738
159,177,10.169
163,188,13.298
166,191,13.089
171,206,16.990
176,222,20.721
177,223,20.628
182,240,24.167
184,184,0.000
189,198,4.545
193,203,4.926
197,220,10.455
200,224,10.714
205,240,14.583
209,253,17.391
214,218,1.835
219,237,7.595
224,253,11.462
228,261,12.644
232,267,13.109
235,275,14.545
237,279,15.054
242,257,5.837
250,270,7.407
256,284,9.859
258,288,10.417
265,303,12.541
269,313,14.058
seq_len,total,ratio
11,11,0.000
16,33,51.515
20,44,54.545
22,46,52.174
26,27,3.704
32,46,30.435
37,63,41.270
39,39,0.000
42,42,0.000
48,66,27.273
53,86,38.372
58,92,36.957
63,66,4.545
66,71,7.042
72,91,20.879
77,114,32.456
82,126,34.921
87,90,3.333
96,113,15.044
102,125,18.400
104,127,18.110
106,131,19.084
107,132,18.939
109,135,19.259
112,142,21.127
116,152,23.684
117,117,0.000
121,134,9.701
125,138,9.420
132,158,16.456
137,170,19.412
142,184,22.826
149,198,24.747
155,161,3.727
160,173,7.514
166,186,10.753
172,200,14.000
184,222,17.117
188,236,20.339
191,241,20.747
195,195,0.000
196,196,0.000
199,200,0.500
203,210,3.333
205,212,3.302
209,220,5.000
214,231,7.359
218,235,7.234
220,237,7.173
221,238,7.143
227,254,10.630
232,268,13.433
237,278,14.748
246,257,4.280
250,263,4.943
254,271,6.273
259,286,9.441
260,287,9.408
262,289,9.343
269,303,11.221
273,313,12.780
278,325,14.462
283,342,17.251
287,346,17.052
290,291,0.344
298,303,1.650
302,314,3.822
303,315,3.810
304,316,3.797
309,337,8.309
311,339,8.260
316,353,10.482
318,355,10.423
321,360,10.833
326,384,15.104
329,396,16.919
334,416,19.712
337,337,0.000
338,338,0.000
345,357,3.361
347,362,4.144
351,380,7.632
357,396,9.848
363,404,10.149
368,421,12.589
369,422,12.559
373,442,15.611
378,447,15.436
384,394,2.538
386,396,2.525
391,416,6.010
397,439,9.567
402,444,9.459
408,455,10.330
412,468,11.966
417,487,14.374
419,489,14.315
428,509,15.914
434,451,3.769
437,454,3.744
441,465,5.161
448,484,7.438
453,489,7.362
454,490,7.347
459,507,9.467
463,522,11.303
467,534,12.547
472,549,14.026
476,563,15.453
482,583,17.324
483,483,0.000
487,488,0.205
490,492,0.407
495,504,1.786
499,518,3.668
505,535,5.607
507,537,5.587
510,540,5.556
514,545,5.688
seq_len,total,ratio
11,11,0.000
15,24,37.500
20,42,52.381
25,57,56.140
31,77,59.740
37,45,17.778
38,46,17.391
44,58,24.138
48,70,31.429
54,85,36.471
59,93,36.559
65,75,13.333
70,89,21.348
76,103,26.214
81,118,31.356
82,119,31.092
85,89,4.494
89,106,16.038
95,127,25.197
98,100,2.000
102,117,12.821
106,132,19.697
109,136,19.853
111,138,19.565
115,151,23.841
119,161,26.087
123,124,0.806
