seq_len,total,ratio
11,11,0.000
15,25,40.000
19,41,53.659
22,45,51.111
23,46,50.000
29,59,50.847
34,73,53.425
38,83,54.217
43,100,57.000
48,123,60.976
53,140,62.143
58,157,63.057
61,161,62.112
65,174,62.644
69,181,61.878
71,183,61.202
77,195,60.513
81,203,60.099
85,215,60.465
89,229,61.135
94,243,61.317
95,244,61.066
98,247,60.324
100,249,59.839
108,269,59.851
112,280,60.000
114,282,59.574
117,286,59.091
118,287,58.885
119,288,58.681
121,290,58.276
124,303,59.076
125,304,58.882
131,322,59.317
132,323,59.133
134,325,58.769
139,342,59.357
143,353,59.490
146,358,59.218
149,367,59.401
155,381,59.318
158,385,58.961
163,397,58.942
169,412,58.981
174,428,59.346
179,448,60.045
182,451,59.645
186,455,59.121
193,472,59.110
196,480,59.167
197,481,59.044
205,500,59.000
206,501,58.882
212,517,58.994
216,523,58.700
224,540,58.519
229,548,58.212
235,560,58.036
241,577,58.232
246,582,57.732
248,584,57.534
250,586,57.338
255,606,57.921
259,610,57.541
271,625,56.640
274,630,56.508
281,649,56.703
288,667,56.822
291,672,56.696
293,674,56.528
299,692,56.792
303,698,56.590
309,715,56.783
313,720,56.528
314,721,56.449
317,727,56.396
321,738,56.504
323,740,56.351
326,746,56.300
330,754,56.233
331,755,56.159
339,771,56.031
343,785,56.306
346,788,56.091
350,800,56.250
353,804,56.095
358,809,55.748
362,815,55.583
368,824,55.340
374,839,55.423
383,853,55.100
394,869,54.661
411,886,53.612
428,903,52.602
445,920,51.630
455,934,51.285
461,949,51.423
478,966,50.518
495,983,49.644
512,1000,48.800
seq_len,total,ratio
11,11,0.000
14,20,30.000
16,23,30.435
18,25,28.000
22,39,43.590
23,40,42.500
24,41,41.463
30,56,46.429
35,77,54.545
39,86,54.651
41,90,54.444
45,104,56.731
51,121,57.851
56,138,59.420
57,139,58.993
61,148,58.784
65,161,59.627
67,163,58.896
72,183,60.656
77,200,61.500
79,202,60.891
80,203,60.591
86,221,61.086
89,231,61.472
95,243,60.905
96,244,60.656
98,246,60.163
102,261,60.920
104,263,60.456
108,277,61.011
111,282,60.638
116,302,61.589
121,315,61.587
123,317,61.199
131,332,60.542
140,348,59.770
146,368,60.326
151,381,60.367
157,398,60.553
162,419,61.337
166,423,60.757
167,424,60.613
168,425,60.471
173,435,60.230
177,442,59.955
182,448,59.375
187,462,59.524
190,475,60.000
194,489,60.327
196,491,60.081
198,493,59.838
202,500,59.600
207,520,60.192
209,522,59.962
215,531,59.510
221,548,59.672
224,551,59.347
228,566,59.717
230,568,59.507
235,586,59.898
237,589,59.762
242,605,60.000
248,619,59.935
252,629,59.936
257,646,60.217
262,662,60.423
267,681,60.793
271,687,60.553
277,703,60.597
278,704,60.511
283,721,60.749
288,733,60.709
290,735,60.544
296,750,60.533
298,752,60.372
303,768,60.547
309,783,60.536
313,797,60.728
315,799,60.576
321,811,60.419
324,815,60.245
329,830,60.361
339,840,59.643
340,841,59.572
341,842,59.501
346,858,59.674
351,875,59.886
358,892,59.865
360,894,59.732
366,914,59.956
367,915,59.891
369,918,59.804
373,929,59.849
374,930,59.785
379,946,59.937
383,960,60.104
384,961,60.042
394,977,59.672
398,986,59.635
403,999,59.660
407,1014,59.862
411,1034,60.251
415,1049,60.439
421,1063,60.395
426,1084,60.701
427,1085,60.645
432,1102,60.799
437,1117,60.877
441,1131,61.008
445,1142,61.033
447,1144,60.927
451,1160,61.121
455,1178,61.375
457,1180,61.271
461,1193,61.358
463,1196,61.288
470,1214,61.285
474,1220,61.148
478,1230,61.138
482,1242,61.192
483,1243,61.142
485,1246,61.075
488,1254,61.085
492,1270,61.260
496,1285,61.401
499,1288,61.258
502,1297,61.295
507,1311,61.327
513,1331,61.458
seq_len,total,ratio
11,11,0.000
15,21,28.571
20,43,53.488
25,56,55.357
29,64,54.688
32,68,52.941
37,78,52.564
41,83,50.602
46,96,52.083
52,111,53.153
53,112,52.679
58,123,52.846
62,140,55.714
69,158,56.329
74,180,58.889
82,195,57.949
88,214,58.879
93,225,58.667
96,231,58.442
103,245,57.959
105,248,57.661
110,263,58.175
114,283,59.717
115,284,59.507
122,297,58.923
127,308,58.766
134,324,58.642
141,342,58.772
144,350,58.857
149,370,59.730
150,371,59.569
153,374,59.091
159,388,59.021
162,391,58.568
168,409,58.924
173,428,59.579
177,439,59.681
182,461,60.521
186,478,61.088
191,497,61.569
194,501,61.277
199,512,61.133
203,521,61.036
206,525,60.762
211,537,60.708
217,549,60.474
219,551,60.254
221,554,60.108
227,578,60.727
233,599,61.102
238,609,60.920
242,615,60.650
247,634,61.041
251,642,60.903
253,645,60.775
258,653,60.490
264,666,60.360
268,683,60.761
269,684,60.673
270,685,60.584
276,691,60.058
277,692,59.971
279,694,59.798
283,713,60.309
287,723,60.304
296,732,59.563
299,736,59.375
300,737,59.294
301,738,59.214
302,739,59.134
303,740,59.054
307,757,59.445
312,771,59.533
317,784,59.566
322,802,59.850
327,814,59.828
333,827,59.734
339,841,59.691
349,858,59.324
357,881,59.478
368,896,58.929
378,909,58.416
383,921,58.415
389,937,58.485
395,950,58.421
401,967,58.532
407,983,58.596
412,995,58.593
417,1008,58.631
423,1022,58.611
429,1037,58.631
435,1052,58.650
441,1066,58.630
447,1081,58.649
