n_past_tgt,decode_time_ms,do_defrag
97,16.526,0
101,22.909,0
103,9.677,0
106,9.588,0
108,9.163,0
109,17.931,0
114,11.506,0
118,12.266,0
123,11.851,0
125,10.556,0
129,10.087,0
134,11.582,0
138,9.989,0
143,12.011,0
146,19.050,0
149,10.407,0
154,11.500,0
161,11.630,0
163,10.557,0
165,10.233,0
169,10.680,0
174,10.733,0
177,10.192,0
182,12.252,0
186,10.557,0
191,11.549,0
194,11.466,0
197,10.692,0
203,10.385,0
205,9.576,0
207,9.372,0
213,10.320,0
217,10.662,0
219,10.736,0
225,10.238,0
227,9.927,0
229,9.855,0
231,9.552,0
234,10.622,0
238,8.806,0
240,8.802,0
245,10.888,0
251,9.650,0
256,10.567,0
258,10.399,0
264,11.799,0
269,11.024,0
276,12.059,0
279,12.095,0
284,11.626,0
286,11.442,0
292,12.060,0
294,10.682,0
298,9.534,0
301,10.363,0
305,10.208,0
310,11.405,0
311,10.386,0
312,10.009,0
316,9.923,0
320,11.630,0
325,11.209,0
331,10.793,0
338,11.727,0
341,10.774,0
347,12.985,0
354,11.458,0
356,10.713,0
361,10.772,0
364,10.310,0
370,12.261,0
375,13.393,0
379,12.133,0
380,11.597,0
386,11.582,0
392,10.337,0
398,10.784,0
402,10.360,0
406,10.826,0
410,10.353,0
413,11.777,0
418,12.152,0
419,11.614,0
424,9.605,0
430,11.532,0
432,10.705,0
438,10.406,0
439,10.253,0
443,10.373,0
444,10.482,0
448,10.096,0
451,9.669,0
453,8.948,0
454,8.694,0
456,8.639,0
460,10.339,0
463,9.749,0
468,11.621,0
471,10.866,0
474,9.621,0
478,10.648,0
482,11.583,0
486,10.706,0
488,10.283,0
492,11.666,0
496,10.870,0
500,10.568,0
505,12.429,0
508,12.318,0
515,10.774,0
521,10.894,0
525,10.536,0
530,11.838,0
535,12.200,0
539,13.081,0
541,12.027,0
547,12.234,0
554,14.099,0
559,12.738,0
561,11.664,0
567,12.263,0
576,10.801,0
578,10.472,0
582,10.019,0
588,11.677,0
589,10.713,0
593,11.754,0
597,11.840,0
601,12.238,0
606,13.036,0
612,10.289,0
620,11.605,0
629,11.679,0
636,12.161,0
653,8.852,0
664,10.905,0
671,10.276,0
686,10.831,0
689,8.974,0
690,8.952,0
695,10.364,0
697,8.951,0
706,11.604,0
718,12.298,0
723,10.424,0
733,11.761,0
737,9.610,0
743,10.323,0
746,10.086,0
760,9.953,0
768,11.824,0
770,10.940,0
772,10.500,0
774,10.524,0
781,11.009,0
784,10.329,0
791,8.999,0
