n_past_tgt,decode_time_ms,do_defrag
97,14.353,0
103,16.055,0
106,17.952,0
111,8.592,0
116,8.456,0
121,8.641,0
128,8.407,0
133,8.509,0
137,8.617,0
142,8.460,0
146,8.608,0
151,8.485,0
155,8.665,0
160,8.495,0
164,8.947,0
169,8.360,0
172,8.464,0
177,8.401,0
179,8.432,0
181,8.415,0
186,8.418,0
190,8.518,0
196,8.605,0
200,8.357,0
204,8.578,0
205,8.528,0
207,8.508,0
213,8.451,0
215,8.453,0
219,8.496,0
223,8.680,0
226,8.471,0
232,8.617,0
238,8.644,0
244,8.415,0
250,8.754,0
252,8.518,0
259,8.550,0
266,8.677,0
272,8.627,0
278,8.588,0
286,8.651,0
292,8.524,0
296,8.584,0
300,8.509,0
303,8.452,0
304,8.654,0
307,9.316,0
311,8.721,0
316,8.656,0
320,8.549,0
322,8.661,0
323,8.660,0
327,8.531,0
335,8.690,0
336,8.542,0
339,8.681,0
344,8.652,0
346,8.684,0
347,8.899,0
352,8.604,0
356,8.469,0
360,8.542,0
362,8.675,0
366,8.760,0
368,8.582,0
373,8.599,0
378,8.565,0
379,8.701,0
382,8.653,0
386,8.521,0
390,8.570,0
395,8.737,0
401,8.723,0
405,8.716,0
411,8.633,0
415,8.780,0
416,8.605,0
417,8.589,0
420,8.574,0
424,8.748,0
426,8.742,0
430,8.677,0
438,8.619,0
442,8.668,0
444,8.581,0
445,8.671,0
451,9.022,0
455,8.741,0
457,8.794,0
460,8.583,0
462,8.688,0
467,8.589,0
473,8.745,0
478,8.670,0
483,8.710,0
490,8.775,0
499,8.623,0
503,8.613,0
510,8.795,0
519,8.725,0
523,8.757,0
528,8.817,0
531,8.657,0
537,8.674,0
543,8.803,0
548,8.777,0
558,8.682,0
566,8.827,0
572,8.815,0
576,8.754,0
578,8.876,0
580,8.837,0
581,8.668,0
582,8.869,0
584,8.719,0
586,8.891,0
596,8.731,0
602,8.714,0
606,8.846,0
609,8.755,0
615,8.785,0
620,8.970,0
627,8.724,0
630,8.915,0
635,8.692,0
639,8.833,0
645,8.924,0
646,8.814,0
650,8.830,0
655,8.775,0
660,9.230,0
662,8.868,0
667,8.943,0
672,8.773,0
675,8.882,0
681,9.019,0
692,8.814,0
697,8.857,0
699,8.798,0
703,8.838,0
708,8.877,0
711,8.765,0
714,8.876,0
717,8.791,0
723,8.923,0
728,8.882,0
733,8.957,0
737,9.073,0
743,8.898,0
747,8.838,0
754,8.909,0
756,8.830,0
764,8.924,0
769,8.937,0
776,8.950,0
780,9.020,0
782,8.885,0
790,8.905,0
796,8.927,0
