seq_len,total,ratio
4,4,0.000
8,22,59.091
9,25,0.000
26,27,3.704
29,47,31.915
32,40,15.000
37,54,31.481
41,60,31.667
46,67,31.343
50,76,34.211
57,88,35.227
64,88,23.864
68,88,21.591
71,89,17.978
75,94,20.213
80,102,21.569
85,108,21.296
90,120,24.167
96,116,14.655
100,119,15.966
108,121,10.744
111,134,16.418
112,138,15.942
118,140,15.000
124,139,10.791
129,154,16.234
134,157,14.650
139,158,10.759
141,171,15.789
146,166,12.048
152,169,9.467
157,177,10.734
161,180,9.444
163,190,12.632
168,188,10.638
169,196,11.735
176,202,12.871
179,204,11.275
188,203,7.389
195,204,4.412
200,211,5.213
202,217,3.226
203,220,6.364
208,222,6.306
213,230,7.391
218,231,5.628
222,236,3.814
225,247,7.287
230,239,3.766
236,251,5.578
242,256,5.469
247,271,8.856
248,272,7.721
249,272,6.985
253,275,7.636
258,274,5.839
267,277,3.610
269,294,7.483
275,295,6.780
282,295,3.729
290,304,4.605
295,314,6.051
299,321,6.854
305,334,8.683
308,335,7.164
311,336,6.548
313,343,7.580
319,338,5.621
323,347,6.916
330,350,5.714
336,351,3.134
339,359,5.014
344,362,4.972
350,364,3.846
354,375,5.600
360,382,5.236
364,386,5.699
369,399,7.519
374,400,6.500
375,401,5.736
379,408,6.863
381,402,3.980
388,407,4.177
393,405,2.963
397,423,5.674
402,424,4.953
407,426,4.460
411,428,3.972
413,438,4.795
418,443,5.418
420,444,4.730
425,451,5.765
429,459,6.318
430,458,4.803
435,460,5.435
439,470,6.383
442,471,5.732
445,479,6.889
450,484,7.025
455,485,6.186
460,491,6.314
464,503,7.753
469,504,6.944
474,509,6.876
480,522,8.046
482,524,7.634
485,538,9.480
487,529,6.994
489,528,6.818
496,532,6.767
503,545,7.706
504,554,8.303
seq_len,total,ratio
4,4,0.000
7,25,64.000
13,21,38.095
17,30,40.000
23,36,33.333
27,38,21.053
29,45,31.111
36,43,16.279
40,56,28.571
46,62,22.581
47,64,20.312
50,68,25.000
56,70,20.000
seq_len,total,ratio
4,4,0.000
6,24,62.500
10,23,43.478
16,28,42.857
21,37,37.838
25,35,28.571
seq_len,total,ratio
4,4,0.000
7,24,62.500
13,21,38.095
17,30,40.000
21,41,41.463
28,37,21.622
36,47,21.277
seq_len,total,ratio
11,11,0.000
13,22,31.818
17,27,37.037
22,40,45.000
27,49,42.857
31,44,25.000
35,54,35.185
38,61,34.426
44,70,37.143
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,31,45.161
19,36,38.889
35,37,5.405
39,52,25.000
45,58,22.414
seq_len,total,ratio
11,11,0.000
13,22,31.818
17,29,41.379
21,36,38.889
26,42,38.095
32,47,31.915
37,50,26.000
44,61,27.869
seq_len,total,ratio
11,11,0.000
13,22,31.818
17,28,39.286
22,39,43.590
34,42,14.286
37,53,24.528
40,56,21.429
41,57,21.053
seq_len,total,ratio
11,11,0.000
15,28,46.429
19,43,55.814
21,45,46.667
23,44,36.364
37,43,13.953
