seq_len,total,ratio
97,97,0.000
102,119,14.286
104,134,19.403
109,124,12.097
113,137,17.518
118,140,15.714
122,151,19.205
128,157,18.471
132,164,16.463
137,158,13.291
138,166,15.060
142,167,14.970
147,177,16.384
151,171,8.772
158,176,10.227
162,191,14.660
172,185,6.486
176,189,5.820
183,194,5.670
192,202,4.950
197,219,10.046
201,225,10.222
207,229,9.607
211,238,11.345
217,244,11.066
221,245,8.571
224,258,12.791
227,263,12.548
228,256,8.984
233,254,8.268
237,261,9.195
241,273,11.355
246,274,10.219
248,283,11.307
251,290,12.759
255,283,9.541
258,285,8.772
259,285,8.070
264,283,6.714
270,297,9.091
272,299,8.361
274,302,8.278
279,297,6.061
282,313,9.585
285,306,5.556
290,311,6.752
294,320,8.125
298,321,7.165
302,333,9.009
307,338,8.876
312,331,5.438
314,337,6.231
320,335,4.179
326,341,4.399
331,353,6.232
332,353,4.816
336,353,4.816
341,363,6.061
342,364,3.846
355,364,2.198
360,374,3.476
361,378,2.116
362,377,1.061
374,380,1.053
375,385,1.818
380,394,3.299
386,402,3.980
389,409,3.912
394,409,2.934
396,414,3.623
403,418,3.589
407,426,3.991
412,425,3.059
414,438,4.338
419,438,4.338
420,439,3.417
424,454,6.388
426,447,3.579
432,453,4.636
437,456,4.167
441,467,5.139
444,467,4.711
446,467,4.069
449,470,4.255
454,467,2.784
465,473,1.691
466,483,2.484
470,488,3.689
472,493,3.651
476,496,3.831
482,494,2.429
494,498,0.803
496,513,2.534
499,519,3.276
503,519,2.505
506,522,2.107
515,524,1.718
516,532,2.444
519,534,2.434
523,532,1.128
526,537,1.117
530,539,1.670
534,552,3.261
539,565,4.602
544,565,3.717
548,574,4.530
553,579,4.491
559,581,3.787
567,592,4.223
570,593,3.373
573,594,2.862
578,600,3.667
583,611,4.583
586,616,3.734
590,622,5.145
594,622,3.859
598,623,4.013
601,635,5.197
605,638,5.172
610,642,4.984
616,648,4.938
621,657,5.479
624,658,5.015
629,664,5.271
634,676,6.213
639,684,6.579
640,693,7.215
641,685,5.839
643,699,7.582
647,685,5.547
653,688,5.087
656,702,6.125
661,703,5.974
665,710,6.338
666,719,6.954
667,718,6.407
673,720,6.528
677,724,5.801
680,725,5.931
686,721,4.854
699,721,3.051
713,721,1.110
723,734,1.499
739,741,0.135
740,755,1.457
745,759,1.713
747,766,2.089
751,760,1.184
761,767,0.391
766,776,1.289
778,783,0.639
781,794,0.252
787,799,1.502
792,804,0.871
802,808,0.619
805,817,1.224
813,822,0.608
830,830,0.000
838,848,0.943
840,855,1.404
844,860,1.860
851,865,1.387
857,873,1.833
859,884,2.376
863,880,1.477
877,880,0.341
881,894,0.336
895,898,0.334
898,915,1.639
904,917,1.418
909,918,0.871
910,926,1.404
913,936,2.244
918,938,2.026
925,933,0.857
928,948,1.793
934,947,1.373
950,951,0.105
964,967,0.310
971,987,1.621
973,988,0.810
982,990,0.505
986,1001,1.299
991,998,0.701
999,1008,0.893
1004,1021,1.469
1012,1021,0.881
1016,1033,1.549
1017,1034,1.161
1025,1036,1.062
1031,1045,1.244
1038,1052,1.331
1042,1059,1.605
1043,1068,2.060
1050,1062,1.036
1055,1074,1.769
1057,1082,2.126
1061,1082,1.848
1070,1080,0.926
1072,1096,1.825
1076,1087,1.012
1082,1093,1.006
1087,1097,0.912
1092,1112,1.799
1097,1114,1.436
