seq_len,total,ratio
97,97,0.000
103,108,4.630
106,129,16.279
111,125,11.200
116,136,13.235
118,131,6.107
120,138,10.870
121,135,7.407
123,143,11.888
126,138,7.971
131,144,9.028
135,154,12.338
141,159,11.321
151,165,8.485
152,166,1.205
164,170,3.529
169,188,10.106
173,195,10.256
178,189,5.820
179,196,6.122
181,198,6.061
185,203,8.867
191,211,9.005
195,214,8.879
202,222,9.009
206,227,8.370
210,234,9.829
212,235,8.511
216,242,10.744
221,243,9.053
226,252,10.317
229,266,12.782
233,254,8.268
235,259,8.494
240,255,5.882
243,264,7.576
244,265,6.415
249,260,3.846
253,266,4.887
258,272,5.147
265,280,4.643
271,288,5.903
275,290,4.483
280,291,1.375
284,298,3.691
294,303,2.970
302,313,3.514
306,331,7.251
314,323,2.786
316,341,6.452
324,336,3.571
327,347,5.187
332,353,5.949
338,360,6.111
342,367,6.812
346,378,8.466
349,378,6.349
353,381,7.087
355,387,7.235
358,379,5.013
365,381,4.199
369,389,4.627
370,390,4.359
376,392,4.082
380,395,3.038
384,406,5.172
386,408,4.657
390,410,4.390
395,414,4.589
404,416,2.885
409,420,1.905
412,431,4.176
413,426,0.939
414,432,3.009
415,431,2.320
419,437,3.890
425,437,2.746
429,445,3.596
432,461,5.640
434,453,3.532
438,460,4.348
445,461,2.820
451,465,3.011
456,474,3.797
458,477,2.935
464,482,3.527
469,477,1.677
474,487,2.669
481,497,3.219
483,505,3.762
488,505,3.366
492,513,4.094
494,515,3.107
498,522,4.406
504,520,3.077
509,531,4.143
514,536,4.104
519,551,5.808
520,560,6.607
526,565,6.903
530,576,7.812
531,571,6.130
535,574,6.794
540,581,7.057
542,581,5.508
546,584,5.137
550,591,6.937
552,605,8.264
554,597,6.700
556,600,6.833
560,605,7.273
564,595,5.210
572,602,4.983
575,616,6.494
580,618,6.149
586,622,5.788
587,631,6.339
591,625,5.440
596,634,5.994
598,635,5.354
603,641,5.928
609,643,5.288
613,648,5.401
618,657,5.936
619,658,5.319
620,658,5.167
622,657,4.110
624,660,4.545
629,658,4.103
633,658,3.799
638,673,5.201
642,673,4.458
643,673,3.418
646,673,3.418
647,674,3.412
651,677,3.545
654,681,3.377
659,675,2.370
660,676,1.479
664,684,2.632
665,683,2.196
669,687,2.620
670,688,2.035
675,694,2.594
679,697,2.439
684,696,1.293
689,701,1.712
699,710,1.549
705,725,2.759
709,727,2.201
717,727,1.376
722,743,2.826
725,748,2.674
728,747,2.142
730,757,3.170
732,754,2.387
737,751,1.731
745,758,1.715
754,771,2.205
758,783,3.065
764,782,2.302
781,782,0.128
798,798,0.000
811,815,0.491
812,830,1.566
817,825,0.970
824,838,1.551
829,848,2.241
834,850,1.882
851,851,0.000
868,868,0.000
880,886,0.677
885,897,1.338
891,911,2.195
897,918,2.070
901,924,2.489
905,924,1.190
906,925,1.297
915,928,1.401
918,934,1.178
922,936,1.496
925,947,1.901
933,943,1.060
945,951,0.526
955,963,0.831
972,972,0.000
989,989,0.000
998,1007,0.894
1004,1019,1.472
1011,1029,1.749
1019,1030,1.068
1024,1042,1.536
1028,1045,1.053
1045,1045,0.000
1062,1062,0.000
1074,1078,0.278
1083,1089,0.551
1085,1100,1.000
1087,1098,0.820
1092,1098,0.546
1102,1108,0.542
