seq_len,total,ratio
97,97,0.000
103,108,4.630
106,129,16.279
111,125,11.200
116,140,15.714
122,136,9.559
126,141,10.638
130,142,8.451
135,156,13.462
141,157,10.191
143,166,12.048
147,163,9.202
151,171,11.696
152,180,12.778
156,176,11.364
160,190,15.789
161,190,13.684
171,190,10.000
175,201,12.935
179,201,9.453
181,203,8.867
183,206,9.709
185,210,10.000
187,204,6.863
192,215,8.837
196,216,8.796
198,224,10.268
199,221,8.145
204,215,5.116
208,227,8.370
212,235,9.362
218,233,6.438
223,244,8.607
227,248,8.468
228,257,9.728
236,260,9.231
238,275,12.000
239,261,6.897
240,261,6.897
242,266,7.143
243,268,8.209
244,261,4.981
247,264,5.303
251,261,3.831
255,270,5.556
257,277,6.498
260,278,6.115
263,288,7.639
269,281,4.270
270,288,4.861
276,290,4.483
278,297,5.387
283,292,3.082
289,305,5.246
294,315,6.667
295,321,6.854
296,322,6.832
303,323,6.192
311,329,4.863
318,333,4.505
322,349,7.163
327,345,5.217
331,356,6.742
335,361,6.925
342,359,4.735
347,374,7.219
348,375,5.600
353,375,5.867
354,388,7.732
357,388,6.959
358,380,3.947
363,385,5.714
365,397,7.305
370,404,8.416
376,404,6.931
381,417,8.393
387,414,6.522
391,420,6.429
395,424,6.132
397,416,2.885
399,426,5.164
406,415,2.169
411,426,3.286
412,426,2.347
417,436,4.358
424,442,4.072
429,445,2.472
433,452,4.204
435,462,5.411
441,467,5.567
447,482,7.054
450,490,7.959
457,486,5.556
462,490,5.510
463,483,3.106
472,484,2.479
475,490,1.837
486,490,0.816
494,502,1.594
498,517,3.675
510,517,1.354
516,535,3.551
517,544,4.228
519,538,2.602
525,543,3.315
527,551,3.811
535,548,2.372
540,558,3.226
546,566,3.534
552,575,4.000
553,576,3.125
559,590,5.254
564,592,4.730
567,606,6.271
571,610,6.393
579,610,5.082
582,610,3.934
587,610,3.770
589,621,4.831
593,618,3.722
601,610,0.000
602,617,0.486
606,619,2.100
614,623,1.284
623,635,1.890
630,645,2.016
638,649,0.924
645,656,1.677
650,670,2.985
654,682,3.812
659,685,3.796
664,685,2.628
670,685,2.190
674,697,3.300
676,702,3.134
687,697,1.435
691,712,2.669
693,710,0.986
701,714,1.541
706,720,1.944
709,730,2.466
714,731,2.326
715,737,2.035
722,739,2.300
723,753,3.453
728,748,2.674
734,754,2.387
737,757,2.378
739,755,1.854
742,759,1.713
746,760,1.184
748,764,0.916
753,765,1.307
758,770,1.558
762,781,2.305
770,785,1.911
776,795,2.390
777,803,2.740
783,808,3.094
784,809,2.596
789,809,2.472
794,811,2.096
803,816,1.593
804,828,2.174
810,835,2.994
818,838,2.267
829,838,0.835
833,844,1.066
850,850,0.000
867,867,0.000
880,886,0.564
882,899,1.557
889,904,1.659
899,911,1.098
900,912,0.329
901,912,0.548
906,920,1.413
912,917,0.545
915,933,1.715
919,931,1.289
921,939,1.704
923,941,1.594
927,945,1.481
932,943,1.166
946,947,0.106
954,962,0.624
962,974,1.129
972,981,0.917
980,989,0.910
983,1001,1.199
990,1002,1.198
996,1018,2.161
1003,1019,1.570
1007,1026,1.852
1016,1032,1.550
1021,1048,2.481
1028,1045,1.627
1032,1058,2.363
1037,1065,2.629
1038,1073,2.889
1040,1066,2.158
1045,1066,1.970
1053,1073,1.864
1060,1073,0.932
1066,1082,1.294
1071,1086,0.829
1086,1088,0.184
1103,1103,0.000
