seq_len,total,ratio
97,97,0.000
103,108,4.630
106,129,16.279
109,128,12.500
114,132,13.636
115,141,15.603
118,134,11.194
122,141,13.475
126,151,15.232
129,144,8.333
134,144,6.944
139,159,12.579
144,170,15.294
147,182,18.132
152,184,17.391
157,184,13.587
161,196,17.347
169,199,15.075
172,200,13.500
175,202,11.881
180,204,11.765
185,214,13.551
192,227,15.419
197,237,16.878
200,237,14.768
206,251,17.928
210,252,16.270
214,259,17.375
221,259,14.672
225,265,14.717
228,272,15.809
232,269,12.639
235,271,12.546
237,270,11.111
241,268,9.328
245,277,11.191
250,269,7.063
254,278,8.633
257,286,9.790
262,288,9.028
265,289,7.612
270,297,8.754
273,300,8.333
278,299,7.023
279,308,8.117
283,303,5.941
288,311,7.395
291,319,8.464
293,318,7.233
300,316,3.797
302,324,5.556
308,317,1.577
310,329,4.559
313,328,3.963
316,331,3.323
321,335,4.179
325,338,2.959
326,343,3.207
328,343,3.499
333,347,4.035
344,357,3.641
347,367,5.177
359,367,2.180
363,377,3.183
369,377,2.122
373,393,4.326
377,397,4.282
380,393,2.799
385,398,3.266
389,404,3.465
390,410,3.659
394,406,2.217
399,412,3.155
403,414,2.657
405,428,4.439
412,423,2.600
414,431,3.248
415,432,3.241
418,431,2.784
423,440,3.864
428,452,5.310
430,459,5.664
435,460,5.435
436,461,4.555
440,470,6.170
442,477,6.709
448,474,5.485
450,476,4.832
452,485,6.186
457,475,3.789
464,476,2.521
469,493,4.868
475,499,4.609
480,502,4.382
481,503,3.579
482,503,3.579
485,505,3.762
489,516,4.457
493,512,3.711
497,522,4.406
499,524,4.008
500,522,3.448
505,532,5.075
508,540,5.370
514,540,4.815
515,549,5.464
517,543,4.420
522,554,5.235
530,541,1.848
534,550,2.909
539,551,2.178
543,560,3.036
546,566,3.180
549,568,2.817
557,570,2.281
561,582,3.608
564,596,5.034
573,588,2.551
574,592,1.689
586,592,0.676
596,605,1.322
602,615,2.114
612,620,1.290
627,629,0.318
641,644,0.466
649,657,0.761
657,665,1.203
670,676,0.888
677,690,1.884
694,694,0.000
711,711,0.000
716,726,0.964
733,733,0.000
750,750,0.000
762,766,0.522
771,782,0.895
777,783,0.766
782,791,1.138
788,798,1.253
793,804,1.119
798,809,1.360
803,815,1.472
807,817,1.102
808,824,1.335
814,826,0.969
816,828,0.725
820,834,1.319
827,838,1.313
832,845,0.355
838,848,1.061
848,852,0.469
853,870,1.724
860,872,1.376
867,878,1.253
869,890,1.348
873,892,1.906
879,899,2.225
884,912,3.070
889,915,2.842
894,934,4.283
899,942,4.565
904,942,4.034
915,943,2.969
916,944,2.542
922,954,3.354
926,964,3.942
931,966,3.623
937,973,3.597
943,975,3.282
957,975,1.744
962,978,0.920
965,984,1.829
971,982,1.120
976,995,1.910
981,1002,1.896
987,996,0.703
993,1005,0.299
1000,1011,0.791
1008,1016,0.689
1013,1024,0.977
1020,1030,0.971
1021,1038,1.349
1025,1048,2.099
1029,1046,1.243
1033,1054,1.992
1040,1054,1.328
1042,1062,1.507
1047,1064,1.598
1055,1073,1.584
1058,1078,1.763
1063,1090,2.385
1066,1089,1.745
1070,1086,1.105
1071,1088,1.103
1077,1093,1.464
1081,1105,2.081
1086,1106,1.447
1088,1107,1.536
1095,1109,1.262
1100,1120,1.696
