seq_len,total,ratio
11,11,0.000
15,28,46.429
16,29,34.483
19,42,52.381
25,44,43.182
30,45,33.333
35,46,23.913
42,54,20.370
44,59,22.034
49,69,28.986
53,75,29.333
58,77,24.675
62,86,26.744
63,79,15.190
71,92,21.739
75,92,14.130
76,90,8.889
82,95,12.632
87,104,16.346
92,113,18.584
93,122,20.492
99,117,15.385
101,133,21.805
104,127,15.748
107,125,12.800
108,122,7.377
113,137,17.518
116,144,18.750
122,151,19.205
124,159,20.755
129,158,17.722
136,152,10.526
141,159,11.321
148,161,8.075
152,171,10.526
seq_len,total,ratio
11,11,0.000
13,22,31.818
17,27,37.037
18,36,38.889
24,35,28.571
28,41,29.268
34,43,20.930
35,50,24.000
36,51,21.569
40,53,24.528
44,69,33.333
51,70,24.286
56,70,20.000
61,73,13.699
64,85,22.353
70,89,21.348
74,91,16.484
77,105,25.714
81,99,18.182
85,107,19.626
91,106,14.151
96,119,19.328
99,120,15.833
101,123,13.821
105,129,18.605
109,136,19.853
115,144,20.139
118,151,19.868
122,155,21.290
127,156,18.590
132,169,21.893
137,180,23.889
140,180,20.556
148,184,19.565
149,192,20.312
153,187,18.182
158,194,18.041
164,197,16.751
168,210,19.524
174,206,15.049
175,210,15.238
176,202,11.386
seq_len,total,ratio
11,11,0.000
13,22,31.818
17,29,41.379
22,40,45.000
34,40,12.500
36,48,16.667
39,50,20.000
41,62,27.419
44,53,13.208
46,62,22.581
51,64,20.312
54,74,25.676
59,82,28.049
63,84,25.000
67,98,30.612
68,90,20.000
74,102,26.471
76,108,27.778
79,95,14.737
80,104,18.269
84,100,16.000
89,102,12.745
91,111,14.414
94,116,17.241
97,119,15.966
100,116,12.931
104,129,18.605
107,132,18.182
108,137,18.248
109,132,15.152
114,132,13.636
120,136,11.765
125,151,17.219
128,161,19.876
134,158,14.557
135,165,15.758
141,161,12.422
145,172,15.698
149,173,13.873
154,178,13.483
158,191,16.754
164,185,11.351
168,194,13.402
171,195,11.282
175,198,11.616
180,208,12.981
184,212,12.264
194,210,7.143
198,219,9.589
202,223,9.417
207,234,11.538
209,242,12.810
213,250,14.400
217,252,13.492
221,262,15.649
230,262,12.214
234,278,15.108
239,276,13.406
242,284,14.437
247,285,12.982
249,289,12.457
254,286,11.189
258,296,12.500
262,296,11.486
267,297,10.101
271,306,11.438
273,314,11.783
277,309,10.032
278,315,10.476
282,314,10.191
286,318,9.748
289,321,9.346
293,328,10.366
298,320,6.875
301,333,9.009
303,328,7.012
307,336,8.333
314,335,6.269
318,348,8.621
322,361,10.526
326,366,10.929
328,371,10.782
335,366,8.470
339,370,8.378
340,371,6.199
346,379,8.707
351,383,8.355
352,390,8.974
359,399,9.774
364,401,9.227
369,410,10.000
371,411,9.002
378,415,8.916
384,418,8.134
399,418,4.545
404,427,5.386
408,436,5.963
414,437,5.263
416,450,6.889
420,441,4.535
425,444,4.279
429,462,6.926
434,459,5.447
440,461,4.555
442,469,5.330
445,472,5.508
450,479,6.054
452,492,7.317
455,484,5.579
461,487,5.339
465,491,4.277
471,497,5.231
477,497,4.024
479,501,3.992
481,509,4.912
486,511,4.501
493,510,3.333
498,519,4.046
503,535,5.981
505,536,5.224
512,537,4.655
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,27,37.037
18,36,38.889
25,34,26.471
28,41,29.268
34,42,19.048
35,51,23.529
36,48,18.750
40,52,23.077
46,61,24.590
52,67,22.388
56,74,22.973
58,73,16.438
64,79,18.987
65,88,22.727
69,90,22.222
71,97,23.711
77,92,16.304
82,100,18.000
83,101,13.861
86,116,24.138
90,107,13.084
93,109,12.844
99,113,12.389
101,119,11.765
103,127,16.535
108,121,10.744
110,135,16.296
117,132,11.364
120,146,15.753
122,142,12.676
126,147,14.286
127,156,16.026
133,149,10.738
138,153,9.804
141,164,12.195
143,158,6.962
144,159,6.289
149,164,8.537
154,168,6.548
160,166,3.614
161,171,3.509
164,185,10.270
169,183,7.650
171,184,5.435
178,184,3.261
181,195,4.615
188,204,7.843
192,205,5.366
196,218,9.174
200,221,9.050
206,220,6.364
214,228,6.140
217,232,4.310
220,243,7.819
223,237,4.219
227,244,6.967
230,252,7.540
233,254,7.480
240,257,6.615
244,266,8.271
245,275,9.455
251,269,6.691
252,278,7.914
256,279,8.244
260,291,10.653
265,304,12.829
268,308,12.338
269,305,10.820
275,304,9.539
277,317,11.987
283,309,7.767
286,309,6.472
291,316,7.911
296,318,6.918
300,324,7.407
303,327,6.116
311,331,6.042
314,341,7.331
318,342,7.018
325,353,7.932
329,357,7.843
333,364,8.516
335,372,9.140
339,375,9.600
342,390,11.795
345,387,10.336
352,386,8.808
358,388,7.732
363,396,7.576
367,405,9.383
369,406,8.374
374,412,9.223
380,413,7.990
381,414,7.246
387,416,6.971
393,423,7.092
397,429,7.226
402,433,7.159
408,444,8.108
409,445,7.191
413,449,7.795
417,451,7.539
422,451,5.987
426,458,6.332
432,464,6.897
435,472,7.415
437,475,7.368
440,470,5.957
442,476,6.513
448,472,5.085
456,475,4.000
458,482,4.357
460,491,5.703
464,489,5.112
468,497,5.634
473,498,5.020
474,507,5.720
480,510,5.882
488,510,4.118
490,519,5.010
494,519,4.817
495,528,5.492
497,528,5.492
500,529,5.104
501,525,3.810
505,531,4.708
512,535,4.299
seq_len,total,ratio
11,11,0.000
14,25,40.000
18,36,50.000
