seq_len,total,ratio
97,97,0.000
103,108,4.630
106,120,10.833
111,127,12.598
117,131,10.687
118,135,7.407
122,137,8.759
127,141,9.929
132,153,13.725
135,159,14.465
139,164,14.634
143,166,12.048
146,172,13.953
151,176,13.636
156,178,12.360
162,184,11.957
166,190,12.105
171,194,11.856
175,206,15.049
180,216,16.667
181,225,17.778
184,220,15.455
186,225,15.556
192,228,15.789
197,244,19.262
203,253,19.763
205,256,17.578
212,253,16.206
216,256,15.625
220,263,15.970
224,261,14.176
231,273,15.385
240,273,12.088
244,286,14.685
249,293,15.017
255,300,14.667
259,297,12.458
261,302,12.914
265,301,11.960
271,314,13.376
276,319,13.480
281,325,13.538
284,329,13.070
285,333,13.213
289,327,11.621
293,328,10.671
296,332,9.940
301,342,11.111
309,331,6.647
313,340,7.941
315,353,9.915
316,341,5.865
319,352,8.523
326,352,7.386
330,354,6.780
336,365,7.671
339,370,7.838
341,368,6.522
345,372,6.989
351,380,7.632
353,381,6.562
356,391,8.440
361,389,6.941
365,390,6.154
371,392,5.102
375,392,3.316
382,395,3.291
387,406,3.448
390,410,4.390
391,406,2.956
399,410,2.195
405,418,3.110
411,423,2.837
416,432,3.704
420,448,5.580
422,446,3.812
429,446,3.587
437,450,2.889
445,459,2.614
450,466,3.433
454,467,2.570
456,473,2.326
457,472,0.424
464,475,2.105
476,483,1.449
481,494,2.429
489,498,0.803
495,506,2.174
500,513,1.170
506,520,2.692
513,526,2.091
515,533,1.876
518,535,2.243
522,536,1.679
527,536,1.679
528,540,1.111
533,543,1.842
542,548,1.095
547,561,2.496
554,566,1.413
568,570,0.175
571,585,0.513
573,588,0.680
578,591,1.692
595,595,0.000
604,612,1.307
610,622,0.482
611,627,0.000
625,628,0.318
630,640,1.562
633,647,0.000
636,648,1.698
638,654,1.682
642,656,1.677
648,660,1.667
654,665,1.654
658,671,1.490
662,676,1.923
668,683,1.757
673,687,1.456
675,694,2.017
681,691,1.158
684,702,2.137
689,703,1.991
695,716,2.933
699,718,2.646
703,724,2.486
706,723,2.075
709,729,2.606
713,734,2.861
717,737,2.035
724,735,1.497
730,745,2.013
733,757,2.906
738,753,1.992
741,763,2.621
743,762,2.100
746,760,1.579
747,762,1.181
752,765,1.699
756,774,2.326
760,780,2.564
761,788,2.792
766,795,3.522
768,794,2.645
772,795,2.767
773,793,1.639
779,789,1.267
783,796,1.633
787,810,2.840
792,817,3.060
796,826,3.632
800,831,3.730
