seq_len,total,ratio
97,97,0.000
103,108,4.630
106,124,12.903
110,129,13.178
114,131,12.977
117,145,17.931
121,140,13.571
125,146,14.384
128,148,12.838
131,156,15.385
135,155,9.032
136,151,5.960
137,155,8.387
145,163,11.043
150,169,11.243
151,170,9.412
156,184,15.217
159,187,14.439
163,194,15.979
169,202,16.337
177,212,16.509
178,221,18.100
181,217,16.129
186,217,14.286
190,229,17.031
194,237,17.300
198,231,14.286
200,243,16.461
203,238,12.605
206,242,13.223
210,241,12.863
215,247,12.955
216,247,9.312
221,256,13.672
222,257,10.895
227,266,14.662
232,275,15.636
236,278,15.108
238,280,14.286
244,292,16.438
247,292,14.726
250,295,14.915
251,301,15.282
255,302,15.232
261,303,13.861
263,318,16.667
267,307,13.029
272,317,14.196
280,317,11.356
290,318,8.805
294,327,9.174
299,332,9.940
304,348,12.644
313,348,10.057
315,353,9.065
316,349,8.596
320,351,8.547
326,356,8.427
329,363,8.540
333,365,8.219
342,362,5.525
348,362,2.762
353,373,5.362
356,384,6.771
360,381,5.512
362,386,4.663
373,384,2.865
382,392,1.786
386,400,3.500
390,413,5.085
392,403,1.489
398,408,2.451
404,412,1.699
408,428,4.439
412,429,3.963
418,431,3.016
421,444,4.279
425,439,3.189
431,442,2.489
437,452,3.097
441,456,3.289
443,468,4.915
448,462,2.814
454,469,2.345
456,479,3.758
458,474,2.743
465,474,1.899
467,486,3.498
473,479,1.253
475,493,3.043
476,488,1.639
480,492,2.439
485,500,3.000
489,510,3.725
496,504,0.992
498,517,2.901
502,512,1.953
507,522,2.874
511,538,4.833
515,538,4.275
521,545,4.404
526,555,5.225
528,556,4.317
534,559,4.472
538,567,5.115
539,576,5.729
540,576,5.729
544,576,5.382
546,578,5.017
550,568,2.289
553,577,3.986
556,576,2.431
557,574,1.916
558,578,2.941
563,575,2.087
568,585,2.735
569,583,1.887
574,591,2.707
578,597,2.848
579,595,1.681
581,602,2.990
583,599,2.337
586,603,2.322
590,604,2.318
591,613,2.936
595,609,2.299
599,619,3.231
seq_len,total,ratio
97,97,0.000
101,113,10.619
105,128,17.188
108,129,14.729
110,137,18.248
114,134,14.925
121,143,15.385
122,144,13.194
128,146,12.329
132,156,15.385
134,172,20.349
135,157,10.191
141,164,14.024
143,165,11.515
148,165,10.303
149,174,12.644
150,174,12.069
157,171,8.187
162,187,13.369
166,187,11.230
168,203,15.764
172,190,9.474
173,204,13.235
181,197,7.614
186,211,11.848
193,213,9.390
197,215,7.907
202,230,12.174
205,234,11.966
207,241,13.278
211,246,14.228
216,252,14.286
221,258,14.341
226,274,17.518
231,288,19.444
236,281,15.658
237,280,13.929
241,284,15.141
244,290,14.828
249,298,16.443
254,298,14.765
258,299,13.043
267,298,8.054
274,303,9.571
282,303,6.931
286,312,8.333
291,312,6.410
293,319,6.897
296,319,5.643
297,320,5.312
299,325,6.769
309,322,4.037
319,332,3.916
324,345,6.087
327,355,7.324
331,358,7.263
338,361,6.371
343,367,6.267
347,365,4.932
350,374,5.882
355,372,4.032
361,378,4.497
367,390,5.897
368,391,4.604
373,390,4.359
377,399,5.514
381,406,6.158
388,413,6.053
390,422,6.872
392,418,5.024
395,428,7.243
398,417,3.357
401,419,3.819
407,422,3.318
413,427,2.810
416,428,2.103
420,432,2.315
425,439,2.733
429,447,3.579
430,446,2.691
435,445,2.247
439,454,3.304
441,465,4.516
446,465,4.086
450,475,5.053
453,479,5.010
455,476,2.311
462,477,2.725
466,484,3.512
469,488,3.484
473,486,2.469
477,494,3.036
480,496,3.024
484,497,2.616
486,501,2.196
492,507,2.564
494,511,2.740
498,510,2.157
499,510,1.569
501,519,2.890
506,519,2.505
507,527,2.846
513,527,2.657
517,540,4.259
523,542,3.506
524,551,4.356
525,549,3.825
530,553,4.159
539,555,2.883
542,568,4.225
548,570,3.860
552,573,3.665
553,574,2.787
554,582,4.296
557,581,3.959
563,584,3.596
570,585,2.564
575,599,3.840
576,597,2.848
579,599,3.172
581,611,4.419
584,603,2.322
587,611,3.601
593,616,3.734
600,620,3.226
seq_len,total,ratio
97,97,0.000
100,117,11.966
103,115,8.696
107,123,13.008
113,129,12.403
115,139,15.108
117,140,14.286
121,139,12.230
123,143,12.587
124,142,8.451
129,148,12.162
133,148,9.459
135,158,12.658
141,155,9.032
143,156,7.051
147,170,13.529
153,176,13.068
160,179,10.615
164,189,13.228
166,201,15.920
170,204,16.667
172,208,15.865
176,204,13.235
181,212,14.623
183,218,15.138
187,214,12.617
191,223,14.350
192,224,12.946
197,226,12.832
202,237,14.768
203,238,13.025
207,245,15.510
211,259,17.761
213,259,16.602
215,246,11.382
217,258,14.729
221,254,12.205
227,249,8.835
231,260,11.154
236,271,12.915
240,283,14.841
245,283,13.428
249,284,11.972
254,286,11.189
257,302,14.570
262,299,12.375
268,312,13.782
275,307,10.423
280,316,11.392
283,332,14.458
285,325,11.692
290,331,11.782
291,324,8.642
296,334,11.377
300,340,10.588
304,336,9.226
309,337,8.309
313,344,7.558
318,343,6.997
323,348,6.897
327,345,4.058
337,355,5.070
346,361,3.878
351,362,2.762
355,375,4.533
360,378,4.762
362,379,1.847
365,387,4.910
371,384,2.865
375,389,3.085
382,393,2.799
390,399,2.256
398,410,2.927
401,422,4.739
406,422,3.791
407,430,4.419
413,433,4.619
416,444,5.631
422,448,5.804
424,448,4.464
427,451,4.878
434,454,4.405
438,469,6.397
443,466,4.936
447,471,4.883
451,477,5.031
455,480,5.000
463,479,3.340
466,483,1.863
470,492,4.472
476,500,4.600
478,503,4.573
481,503,3.777
482,500,2.400
485,507,4.142
486,509,3.340
493,511,3.523
496,521,4.607
499,522,4.023
504,531,5.085
507,531,3.955
509,532,3.759
513,537,4.469
514,545,4.954
518,546,4.945
523,539,2.968
525,551,4.356
527,543,2.394
531,553,3.978
536,563,4.618
539,562,3.737
544,561,3.030
549,564,2.660
552,573,3.490
557,586,4.949
560,597,5.863
565,587,3.748
566,595,4.202
seq_len,total,ratio
11,11,0.000
15,33,51.515
20,34,41.176
27,42,35.714
35,45,17.778
39,51,23.529
43,57,21.053
45,60,21.667
48,66,22.727
49,62,12.903
50,61,11.475
53,69,20.290
58,70,17.143
60,78,20.513
62,75,13.333
66,82,18.293
69,84,14.286
76,85,10.588
80,100,18.000
83,99,12.121
88,97,9.278
94,106,11.321
95,115,14.783
97,119,15.126
102,120,15.000
107,130,17.692
112,140,20.000
116,149,22.148
119,153,20.915
123,150,17.333
126,154,16.234
132,152,13.158
134,168,19.048
137,168,17.262
143,169,13.609
145,168,11.310
146,167,10.180
148,169,9.467
154,171,9.942
162,176,7.386
164,180,6.667
165,180,6.111
166,185,8.108
174,184,5.435
180,200,10.000
185,202,7.426
187,201,3.483
191,204,5.392
195,216,9.259
199,217,7.834
202,219,7.306
206,222,6.306
209,227,7.048
211,230,6.522
216,222,2.703
218,234,5.556
222,233,4.292
223,236,3.814
224,240,4.583
230,241,4.564
237,253,6.324
240,258,6.589
244,254,3.150
249,260,4.231
251,271,6.273
255,270,3.333
264,270,2.222
266,290,6.552
271,283,3.534
275,284,3.169
278,296,5.743
283,294,3.741
288,297,3.030
293,309,5.178
297,316,6.013
298,317,4.101
303,328,7.622
308,342,9.942
309,342,8.480
315,346,8.960
317,357,10.364
320,359,10.028
324,354,8.192
331,350,5.429
332,356,5.899
336,367,8.174
339,363,5.234
346,364,4.945
352,369,4.607
356,380,6.316
357,381,3.675
359,395,8.354
363,389,6.684
366,389,4.884
370,397,6.297
375,405,7.160
380,398,4.523
386,404,4.455
389,415,5.542
392,413,4.600
399,416,4.087
404,424,4.717
411,424,2.594
419,439,4.556
421,453,6.181
