seq_len,total,ratio
97,97,0.000
103,112,8.036
105,125,14.400
107,125,12.800
111,122,9.016
115,132,12.121
117,142,16.197
119,135,9.630
124,138,10.145
129,149,13.423
135,161,16.149
136,170,17.059
140,177,20.904
145,192,24.479
152,192,20.833
159,193,17.617
164,204,19.608
169,218,22.477
177,218,18.807
182,232,21.552
188,236,20.339
195,236,17.373
202,238,15.126
209,239,12.134
219,241,9.129
222,247,8.097
223,248,8.065
230,242,3.306
233,252,7.143
238,254,6.299
242,267,8.989
252,268,5.970
258,276,6.522
263,285,7.719
268,287,6.620
273,293,6.826
277,300,7.000
282,303,6.931
285,314,8.280
288,316,8.544
292,318,8.176
295,318,6.604
299,326,8.282
300,327,6.728
303,333,8.108
311,333,6.607
312,334,5.090
316,341,7.331
320,351,8.832
322,362,10.221
324,353,7.649
329,358,7.542
330,352,5.398
335,352,4.830
340,363,6.336
344,373,7.507
348,376,6.649
353,380,7.105
357,385,7.273
360,394,8.376
364,388,6.186
365,388,3.866
366,388,3.866
375,388,3.351
376,401,5.486
378,397,3.526
379,403,4.963
385,402,4.229
386,411,5.109
388,405,3.704
390,418,5.981
393,416,5.288
397,412,3.398
399,420,3.095
411,421,2.375
412,422,1.659
418,430,2.558
422,439,3.872
425,448,4.688
430,447,3.803
432,456,4.386
437,460,4.348
440,461,4.338
447,465,3.871
451,471,4.034
455,472,3.602
457,480,4.375
463,485,3.918
464,480,2.708
467,487,3.696
468,486,3.086
472,490,3.469
477,495,3.636
479,504,4.563
482,505,4.158
489,507,3.550
490,508,2.756
495,520,4.808
499,521,4.223
502,537,6.331
504,531,4.520
509,542,6.089
513,542,5.166
515,542,4.428
520,542,4.059
524,546,4.029
527,556,5.036
533,561,4.991
539,570,5.439
542,571,4.729
543,579,5.527
547,572,4.371
553,573,3.316
554,573,1.920
558,578,2.768
564,573,1.571
569,584,2.568
573,592,2.703
575,592,2.534
579,597,3.015
583,598,2.508
587,605,2.975
588,606,2.310
592,614,3.583
593,615,3.089
596,620,3.548
597,623,3.531
602,620,2.903
607,629,3.498
612,635,3.622
614,643,4.044
615,643,3.888
620,639,2.973
627,652,3.681
628,647,1.546
635,652,2.607
641,662,3.172
645,675,4.148
651,672,3.125
655,673,2.675
658,679,2.798
662,679,2.062
667,688,3.052
670,699,4.006
672,693,2.453
674,695,2.446
683,698,2.149
687,702,2.137
691,709,2.257
695,712,1.826
696,712,1.545
701,711,1.266
704,718,1.393
706,721,1.664
711,722,1.524
715,729,1.920
720,730,1.370
725,740,2.027
733,750,2.267
737,761,3.154
738,762,2.756
742,763,2.752
746,766,2.219
748,775,2.839
755,768,1.693
759,775,2.065
764,788,2.919
767,786,2.290
773,794,2.645
775,799,2.378
779,804,3.109
786,808,2.723
791,825,4.121
795,827,3.869
798,827,3.023
