seq_len,total,ratio
11,11,0.000
13,26,38.462
18,30,40.000
20,31,25.806
26,37,29.730
29,47,29.787
34,42,14.286
38,50,22.000
40,62,32.258
41,56,21.429
45,64,26.562
47,64,21.875
51,66,22.727
56,75,25.333
59,91,34.066
64,98,34.694
68,99,30.303
69,107,31.776
73,98,25.510
78,99,21.212
80,113,26.549
84,108,20.370
88,115,22.609
89,108,12.963
95,110,10.909
100,116,13.793
107,124,13.710
111,129,13.953
115,138,15.942
116,133,10.526
120,141,14.184
124,144,13.194
129,147,10.884
134,150,10.667
135,159,13.208
141,161,10.559
143,162,9.259
148,156,5.128
152,165,6.667
155,171,8.187
159,176,8.523
seq_len,total,ratio
11,11,0.000
14,21,28.571
19,31,38.710
21,46,47.826
25,38,34.211
37,49,24.490
43,58,25.862
44,64,21.875
49,71,30.986
53,78,28.205
54,72,20.833
59,84,28.571
62,82,21.951
67,83,19.277
69,93,21.505
75,93,19.355
76,102,21.569
79,102,21.569
84,100,16.000
87,109,18.349
89,115,18.261
91,120,21.667
94,115,17.391
97,125,20.800
103,123,16.260
107,128,14.844
111,138,19.565
115,145,20.000
116,139,13.669
120,139,12.950
122,144,12.500
126,145,11.034
127,144,9.028
128,139,4.317
133,143,4.196
138,148,6.757
144,159,9.434
147,170,12.941
148,173,12.139
155,168,7.738
158,178,10.112
164,173,5.202
168,183,7.104
173,188,7.979
179,189,5.291
182,202,9.406
188,204,7.843
192,212,9.434
198,220,10.000
204,226,9.735
207,232,9.914
216,228,4.386
220,233,5.150
225,241,6.639
229,244,6.148
231,258,8.527
235,262,9.542
240,255,5.882
248,269,7.807
251,275,8.364
257,277,7.220
258,283,7.774
261,285,7.018
269,284,5.282
274,294,6.463
277,299,6.689
282,301,5.648
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,27,37.037
18,36,38.889
25,34,26.471
28,42,30.952
34,46,26.087
35,54,27.778
36,54,25.926
40,59,32.203
45,62,27.419
46,67,25.373
50,68,20.588
52,73,23.288
53,71,18.310
59,72,18.056
63,75,16.000
66,87,21.839
70,89,20.225
75,95,21.053
79,104,24.038
82,112,25.893
85,115,25.217
90,123,26.829
96,132,27.273
101,135,25.185
105,147,27.891
111,144,22.917
117,150,22.000
119,164,26.220
124,162,23.457
127,164,21.951
135,162,16.667
140,163,14.110
142,182,20.330
147,177,16.949
153,191,19.895
160,191,16.230
167,191,12.565
172,199,13.568
177,200,11.500
182,207,12.077
185,217,14.286
190,228,16.667
192,232,16.379
197,236,16.525
203,236,13.983
209,237,11.814
214,240,10.833
221,244,9.426
224,258,12.403
228,262,11.832
232,256,8.594
234,264,10.227
238,257,6.226
244,265,7.925
253,273,7.326
261,274,4.745
266,282,5.674
272,287,5.226
286,290,1.379
294,305,3.607
299,321,6.854
307,322,4.348
324,324,0.000
336,339,0.885
353,353,0.000
370,370,0.000
387,387,0.000
404,404,0.000
421,421,0.000
438,438,0.000
455,455,0.000
472,472,0.000
489,489,0.000
506,506,0.000
523,523,0.000
seq_len,total,ratio
11,11,0.000
14,26,42.308
15,29,37.931
20,36,44.444
22,45,44.444
26,40,32.500
32,48,33.333
34,56,35.714
40,56,26.786
47,65,27.692
52,79,34.177
56,80,30.000
61,86,29.070
65,102,35.294
68,100,31.000
72,103,29.126
77,108,28.704
82,110,25.455
87,118,26.271
90,130,29.231
93,124,24.194
97,122,19.672
99,126,19.841
108,127,14.961
113,137,17.518
117,145,19.310
121,149,18.792
122,156,19.872
128,162,20.988
133,169,20.710
139,164,15.244
144,171,15.789
146,185,20.000
150,182,17.582
155,195,20.513
160,200,20.000
168,204,17.647
173,211,18.009
174,220,19.545
177,217,17.512
183,223,17.489
186,226,16.814
188,227,15.859
192,228,15.789
196,229,14.410
200,231,12.121
207,237,12.658
208,238,11.345
213,240,11.250
seq_len,total,ratio
11,11,0.000
15,21,28.571
20,36,44.444
24,43,44.186
28,48,39.583
36,46,21.739
41,62,33.871
46,73,35.616
50,77,35.065
52,78,26.923
55,83,32.530
59,90,33.333
61,88,26.136
63,90,27.778
68,95,27.368
69,88,17.045
72,97,24.742
75,101,24.752
78,108,26.852
82,113,26.549
86,115,24.348
88,115,17.391
94,112,16.071
101,121,16.529
103,136,22.794
110,132,16.667
114,139,16.547
120,138,13.043
125,153,16.340
127,147,12.245
134,154,12.987
140,156,9.615
147,168,12.500
153,168,8.929
155,169,5.917
159,174,6.322
165,181,8.287
169,189,10.053
170,188,4.787
175,191,6.283
180,197,8.629
186,204,8.333
191,206,7.282
202,207,2.415
205,225,8.000
210,217,3.226
215,228,5.702
219,240,8.750
224,248,9.677
231,262,11.832
235,262,9.160
239,262,8.779
240,270,9.630
242,263,6.844
247,271,8.856
252,280,10.000
258,281,8.185
263,285,7.719
267,294,8.844
275,295,6.780
277,309,9.709
278,304,7.566
282,307,8.143
286,318,10.063
288,333,12.312
290,328,10.061
292,323,8.669
294,326,9.202
298,332,10.241
302,335,9.851
307,349,12.034
308,349,10.602
313,353,11.331
318,365,12.603
322,368,11.957
324,362,9.669
330,363,9.091
335,368,8.696
339,364,6.319
344,368,6.522
353,371,4.852
358,372,3.763
364,385,5.455
368,389,5.141
372,397,5.793
378,392,3.571
383,399,4.010
384,400,3.000
394,406,2.956
397,411,2.920
400,415,3.133
407,419,2.625
413,426,3.052
415,434,2.995
421,443,4.966
428,445,3.820
436,449,2.895
439,454,2.643
443,465,4.086
445,463,3.240
450,463,2.808
451,464,1.724
453,472,3.390
455,479,4.175
460,474,2.954
465,485,3.918
469,497,5.433
471,496,4.435
476,493,3.448
478,502,4.183
480,509,4.912
487,499,2.405
492,515,4.466
496,516,3.876
501,526,4.753
507,537,5.587
508,546,6.410
509,546,6.044
513,552,7.065
seq_len,total,ratio
11,11,0.000
14,21,28.571
19,31,38.710
24,36,27.778
33,42,21.429
36,54,29.630
42,59,27.119
49,58,15.517
56,65,13.846
61,81,24.691
66,85,22.353
73,91,19.780
80,95,15.789
86,109,21.101
88,115,20.000
93,115,19.130
98,131,24.427
100,132,21.970
101,130,19.231
103,137,22.628
105,131,18.321
107,124,11.290
110,130,14.615
111,129,11.628
117,130,10.000
120,140,12.143
123,141,11.348
129,146,11.644
136,159,14.465
137,160,11.250
139,161,11.180
144,165,12.727
147,167,9.581
152,176,13.636
158,178,11.236
166,179,7.263
169,185,7.568
177,188,4.787
181,189,4.233
185,198,6.566
187,205,6.829
192,209,7.656
196,216,9.259
199,218,7.339
207,217,4.147
217,227,4.405
219,241,7.469
220,236,5.085
221,235,4.255
225,237,5.063
231,244,4.918
233,246,4.065
237,260,8.462
241,259,6.950
246,266,7.519
251,267,4.120
257,275,6.545
262,280,6.071
269,279,2.151
272,286,4.196
277,292,5.137
279,299,5.017
280,293,3.413
284,303,5.941
290,306,5.229
293,316,6.962
299,323,7.430
303,331,8.459
314,339,7.375
316,341,6.452
319,342,6.140
324,345,5.797
326,350,6.286
330,347,4.611
334,356,5.899
338,354,4.520
342,364,5.769
347,371,6.199
350,372,5.376
353,376,5.053
357,379,5.541
361,389,6.941
364,384,4.948
368,389,4.884
371,386,2.591
378,392,3.571
384,404,4.703
391,403,2.978
395,415,4.337
401,420,4.524
406,429,5.361
410,433,5.312
413,443,6.546
417,445,6.292
422,447,5.593
426,457,6.783
428,459,6.100
433,459,5.664
441,471,6.369
443,481,7.069
445,472,5.085
448,486,7.407
453,483,6.211
454,484,5.372
456,486,5.350
461,486,5.144
467,487,4.107
469,502,5.976
474,500,5.200
478,513,6.823
480,513,6.043
486,514,5.447
495,520,4.808
