seq_len,total,ratio
4,4,0.000
8,18,55.556
9,19,52.632
26,37,29.730
29,40,27.500
32,43,25.581
37,65,43.077
41,81,49.383
46,96,52.083
50,109,54.128
57,128,55.469
64,135,52.593
68,143,52.448
71,146,51.370
75,161,53.416
80,176,54.545
85,192,55.729
90,203,55.665
96,209,54.067
100,220,54.545
108,232,53.448
111,241,53.942
112,242,53.719
118,254,53.543
124,268,53.731
129,287,55.052
134,303,55.776
139,311,55.305
141,313,54.952
146,327,55.352
152,338,55.030
157,350,55.143
161,356,54.775
163,358,54.469
168,375,55.200
169,376,55.053
176,397,55.668
179,404,55.693
188,417,54.916
195,429,54.545
200,441,54.649
202,443,54.402
203,444,54.279
208,460,54.783
213,474,55.063
218,486,55.144
222,490,54.694
225,493,54.361
230,506,54.545
236,519,54.528
242,535,54.766
247,558,55.735
248,559,55.635
249,560,55.536
253,567,55.379
258,581,55.594
267,597,55.276
269,600,55.167
275,618,55.502
282,627,55.024
290,643,54.899
295,658,55.167
299,669,55.306
305,692,55.925
308,696,55.747
311,700,55.571
313,702,55.413
319,718,55.571
323,731,55.814
330,748,55.882
336,754,55.438
339,758,55.277
344,776,55.670
350,789,55.640
354,804,55.970
360,811,55.610
364,827,55.985
369,846,56.383
374,863,56.663
375,864,56.597
379,874,56.636
381,877,56.556
388,884,56.109
393,895,56.089
397,903,56.035
402,916,56.114
407,933,56.377
411,945,56.508
413,947,56.389
418,959,56.413
420,962,56.341
425,981,56.677
429,993,56.798
430,994,56.740
435,1011,56.973
439,1020,56.961
442,1025,56.878
445,1036,57.046
450,1056,57.386
455,1067,57.357
460,1083,57.525
464,1099,57.780
469,1115,57.937
474,1134,58.201
480,1153,58.369
482,1155,58.268
485,1161,58.226
487,1163,58.126
489,1165,58.026
496,1183,58.073
503,1205,58.257
504,1206,58.209
seq_len,total,ratio
4,4,0.000
7,8,12.500
13,22,40.909
17,30,43.333
23,43,46.512
27,47,42.553
29,49,40.816
36,63,42.857
40,80,50.000
46,86,46.512
47,87,45.977
50,94,46.809
56,109,48.624
seq_len,total,ratio
4,4,0.000
6,6,0.000
10,10,0.000
16,28,42.857
21,34,38.235
25,45,44.444
seq_len,total,ratio
4,4,0.000
7,8,12.500
13,22,40.909
17,30,43.333
21,34,38.235
28,44,36.364
36,59,38.983
seq_len,total,ratio
11,11,0.000
13,14,7.143
17,28,39.286
22,47,53.191
27,56,51.786
31,60,48.333
35,78,55.128
38,83,54.217
44,106,58.491
seq_len,total,ratio
11,11,0.000
13,14,7.143
17,32,46.875
19,35,45.714
35,53,33.962
39,69,43.478
45,82,45.122
seq_len,total,ratio
11,11,0.000
13,14,7.143
17,30,43.333
21,37,43.243
26,54,51.852
32,72,55.556
37,85,56.471
44,102,56.863
seq_len,total,ratio
11,11,0.000
13,14,7.143
17,29,41.379
22,46,52.174
34,58,41.379
37,62,40.323
40,65,38.462
41,66,37.879
seq_len,total,ratio
11,11,0.000
15,28,46.429
19,48,60.417
21,50,58.000
23,52,55.769
37,68,45.588
