seq_len,total,ratio
97,97,0.000
102,118,13.559
104,118,11.864
109,122,10.656
113,122,7.377
118,125,5.600
122,128,4.688
128,139,7.914
132,139,5.036
137,139,1.439
138,139,0.719
142,145,2.069
147,151,2.649
151,151,0.000
158,164,3.659
162,179,9.497
172,179,3.911
176,179,1.676
183,183,0.000
192,192,0.000
197,204,3.431
201,212,5.189
207,212,2.358
211,212,0.472
217,227,4.405
221,227,2.643
224,237,5.485
227,237,4.219
228,237,3.797
233,244,4.508
237,244,2.869
241,249,3.213
246,249,1.205
248,249,0.402
251,251,0.000
255,259,1.544
258,259,0.386
259,259,0.000
264,275,4.000
270,285,5.263
272,285,4.561
274,285,3.860
279,285,2.105
282,299,5.686
285,299,4.682
290,299,3.010
294,299,1.672
298,299,0.334
302,310,2.581
307,322,4.658
312,322,3.106
314,323,2.786
320,323,0.929
326,333,2.102
331,340,2.647
332,340,2.353
336,343,2.041
341,345,1.159
342,345,0.870
355,355,0.000
360,366,1.639
361,366,1.366
362,366,1.093
374,374,0.000
375,375,0.000
380,389,2.314
386,402,3.980
389,402,3.234
394,402,1.990
396,402,1.493
403,415,2.892
407,415,1.928
412,416,0.962
414,416,0.481
419,430,2.558
420,430,2.326
424,440,3.636
426,440,3.182
432,441,2.041
437,441,0.907
441,441,0.000
444,450,1.333
446,450,0.889
449,450,0.222
454,454,0.000
465,465,0.000
466,466,0.000
470,478,1.674
472,478,1.255
476,478,0.418
482,491,1.833
494,494,0.000
496,501,0.998
499,503,0.795
503,503,0.000
506,513,1.365
515,526,2.091
516,526,1.901
519,526,1.331
523,526,0.570
526,526,0.000
530,542,2.214
534,543,1.657
539,550,2.000
544,554,1.805
548,554,1.083
553,554,0.181
559,563,0.710
567,572,0.874
570,572,0.350
573,573,0.000
578,591,2.200
583,591,1.354
586,591,0.846
590,596,1.007
594,596,0.336
598,598,0.000
601,609,1.314
605,615,1.626
610,620,1.613
616,629,2.067
621,629,1.272
624,629,0.795
629,646,2.632
634,650,2.462
639,652,1.994
640,652,1.840
641,652,1.687
643,652,1.380
647,652,0.767
653,670,2.537
656,670,2.090
661,670,1.343
665,674,1.335
666,674,1.187
667,674,1.039
673,676,0.444
677,677,0.000
680,687,1.019
686,687,0.146
699,704,0.710
713,713,0.000
723,723,0.000
739,739,0.000
740,740,0.000
745,757,1.585
747,757,1.321
751,757,0.793
761,761,0.000
766,781,1.921
778,781,0.384
781,781,0.000
787,792,0.631
792,792,0.000
802,805,0.373
805,809,0.494
813,813,0.000
830,830,0.000
838,841,0.357
840,841,0.119
844,858,1.632
851,859,0.931
857,871,1.607
859,871,1.378
863,871,0.918
877,877,0.000
881,881,0.000
895,895,0.000
898,898,0.000
904,913,0.986
909,913,0.438
910,913,0.329
913,921,0.869
918,931,1.396
925,931,0.644
928,931,0.322
934,938,0.426
950,951,0.105
964,967,0.310
971,986,1.521
973,986,1.318
982,986,0.406
986,986,0.000
991,991,0.000
999,1003,0.399
1004,1009,0.496
1012,1012,0.000
1016,1024,0.781
1017,1024,0.684
1025,1030,0.485
1031,1041,0.961
1038,1052,1.331
1042,1056,1.326
1043,1056,1.231
1050,1056,0.568
1055,1062,0.659
1057,1062,0.471
1061,1062,0.094
1070,1070,0.000
1072,1072,0.000
1076,1087,1.012
1082,1088,0.551
1087,1097,0.912
1092,1099,0.637
1097,1102,0.454
