seq_len,total,ratio
97,97,0.000
99,105,5.714
105,116,9.483
106,116,8.621
107,116,7.759
109,116,6.034
115,124,7.258
116,124,6.452
118,124,4.839
123,126,2.381
129,142,9.155
130,142,8.451
132,142,7.042
134,142,5.634
138,150,8.000
141,152,7.237
144,154,6.494
147,156,5.769
153,175,12.571
154,175,12.000
155,175,11.429
161,175,8.000
166,183,9.290
175,187,6.417
182,197,7.614
188,200,6.000
198,206,3.883
204,227,10.132
206,227,9.251
207,227,8.811
210,234,10.256
212,234,9.402
215,234,8.120
218,235,7.234
223,238,6.303
226,244,7.377
230,252,8.730
233,256,8.984
238,256,7.031
241,256,5.859
244,257,5.058
253,266,4.887
258,274,5.839
262,275,4.727
267,286,6.643
269,286,5.944
270,286,5.594
275,288,4.514
281,294,4.422
282,295,4.407
287,307,6.515
293,307,4.560
295,313,5.751
299,328,8.841
302,328,7.927
304,328,7.317
309,335,7.761
313,335,6.567
319,339,5.900
321,339,5.310
326,358,8.939
331,358,7.542
337,365,7.671
339,365,7.123
344,372,7.527
347,372,6.720
352,372,5.376
360,380,5.263
366,390,6.154
371,408,9.069
375,412,8.981
380,414,8.213
385,423,8.983
391,423,7.565
397,423,6.147
402,441,8.844
408,441,7.483
411,441,6.803
415,452,8.186
420,452,7.080
421,452,6.858
424,458,7.424
427,458,6.769
432,472,8.475
436,472,7.627
441,479,7.933
443,479,7.516
446,479,6.889
450,491,8.350
452,491,7.943
456,496,8.065
461,496,7.056
465,496,6.250
469,500,6.200
473,517,8.511
475,517,8.124
480,517,7.157
483,517,6.576
487,521,6.526
488,521,6.334
494,536,7.836
499,536,6.903
501,540,7.222
502,540,7.037
505,550,8.182
519,553,6.148
521,555,6.126
522,556,6.115
526,563,6.572
530,577,8.146
534,581,8.090
539,581,7.229
542,587,7.666
548,587,6.644
565,601,5.990
582,618,5.825
599,635,5.669
616,652,5.521
633,669,5.381
650,686,5.248
666,707,5.799
671,715,6.154
676,728,7.143
681,728,6.456
686,735,6.667
694,738,5.962
695,738,5.827
698,738,5.420
711,751,5.326
713,751,5.060
724,762,4.987
729,767,4.954
738,784,5.867
747,792,5.682
751,792,5.177
756,802,5.736
760,802,5.237
764,809,5.562
767,811,5.425
769,811,5.179
770,811,5.055
771,812,5.049
779,820,5.000
783,832,5.889
789,833,5.282
795,841,5.470
797,841,5.232
798,841,5.113
803,844,4.858
808,860,6.047
813,860,5.465
818,869,5.869
820,869,5.639
824,872,5.505
831,876,5.137
842,894,5.817
845,894,5.481
853,906,5.850
856,914,6.346
857,914,6.236
861,924,6.818
866,924,6.277
872,928,6.034
875,930,5.914
881,940,6.277
887,941,5.739
890,941,5.420
891,941,5.313
895,957,6.479
899,962,6.549
901,962,6.341
906,963,5.919
911,975,6.564
912,975,6.462
918,975,5.846
920,975,5.641
922,975,5.436
928,991,6.357
929,991,6.256
934,999,6.507
939,1008,6.845
941,1008,6.647
944,1008,6.349
948,1013,6.417
949,1013,6.318
952,1013,6.022
954,1013,5.824
959,1024,6.348
961,1024,6.152
963,1029,6.414
970,1038,6.551
974,1038,6.166
979,1043,6.136
982,1043,5.849
986,1047,5.826
992,1060,6.415
998,1067,6.467
1004,1081,7.123
1014,1081,6.198
1021,1093,6.587
1028,1093,5.947
1031,1100,6.273
1037,1103,5.984
1040,1103,5.712
1046,1112,5.935
1051,1114,5.655
1056,1119,5.630
1060,1123,5.610
1064,1131,5.924
1068,1138,6.151
1073,1140,5.877
1078,1146,5.934
1089,1164,6.443
1092,1170,6.667
1094,1170,6.496
1099,1179,6.785
