seq_len,total,ratio
97,97,0.000
103,108,4.630
106,113,6.195
111,131,15.267
116,138,15.942
122,149,18.121
126,164,23.171
130,137,5.109
135,158,14.557
141,172,18.023
143,174,17.816
147,179,17.877
151,197,23.350
152,152,0.000
156,167,6.587
160,187,14.439
161,188,14.362
171,203,15.764
175,218,19.725
179,225,20.444
181,181,0.000
183,183,0.000
185,185,0.000
187,187,0.000
192,192,0.000
196,206,4.854
198,208,4.808
199,209,4.785
204,221,7.692
208,237,12.236
212,248,14.516
218,263,17.110
223,281,20.641
227,295,23.051
228,228,0.000
236,247,4.453
238,249,4.418
239,250,4.400
240,251,4.382
242,253,4.348
243,254,4.331
244,255,4.314
247,258,4.264
251,269,6.691
255,281,9.253
257,284,9.507
260,294,11.565
263,300,12.333
269,316,14.873
270,317,14.826
276,330,16.364
278,332,16.265
283,345,17.971
289,362,20.166
294,303,2.970
295,304,2.961
296,305,2.951
303,323,6.192
311,333,6.607
318,349,8.883
322,357,9.804
327,369,11.382
331,381,13.123
335,388,13.660
342,402,14.925
347,420,17.381
348,348,0.000
353,361,2.216
354,362,2.210
357,365,2.192
358,366,2.186
363,380,4.474
365,382,4.450
370,403,8.189
376,420,10.476
381,432,11.806
387,450,14.000
391,392,0.255
395,397,0.504
397,399,0.501
399,402,0.746
406,413,1.695
411,423,2.837
412,424,2.830
417,443,5.869
424,464,8.621
429,469,8.529
433,483,10.352
435,486,10.494
441,505,12.673
447,521,14.203
450,534,15.730
457,541,15.527
462,466,0.858
463,467,0.857
472,484,2.479
475,487,2.464
486,502,3.187
494,517,4.449
498,533,6.567
510,550,7.273
516,570,9.474
517,571,9.457
519,573,9.424
525,590,11.017
527,592,10.980
535,544,1.654
540,561,3.743
546,577,5.373
552,593,6.914
553,594,6.902
559,616,9.253
564,631,10.618
567,639,11.268
571,659,13.354
579,673,13.967
582,582,0.000
587,594,1.178
589,598,1.505
593,603,1.658
601,611,1.637
602,612,1.634
606,624,2.885
614,636,3.459
623,656,5.030
630,663,4.977
638,671,4.918
645,689,6.386
650,706,7.932
654,713,8.275
659,735,10.340
664,741,10.391
670,756,11.376
674,773,12.807
676,775,12.774
687,792,13.258
691,799,13.517
693,693,0.000
701,705,0.567
706,717,1.534
709,721,1.664
714,735,2.857
715,736,2.853
722,752,3.989
723,753,3.984
728,767,5.085
734,775,5.290
737,780,5.513
739,782,5.499
742,787,5.718
746,791,5.689
748,793,5.675
753,803,6.227
758,818,7.335
762,828,7.971
770,848,9.198
776,865,10.289
777,866,10.277
783,887,11.725
784,888,11.712
789,799,1.252
794,816,2.696
803,834,3.717
804,835,3.713
810,857,5.484
818,870,5.977
829,883,6.116
833,889,6.299
850,906,6.181
867,923,6.067
880,937,6.083
882,941,6.270
889,963,7.684
899,973,7.605
900,974,7.598
901,975,7.590
906,985,8.020
912,996,8.434
915,1001,8.591
919,1016,9.547
921,1018,9.528
923,1020,9.510
927,1024,9.473
932,1039,10.298
946,1054,10.247
954,1063,10.254
962,1076,10.595
972,1095,11.233
980,1111,11.791
983,1114,11.759
990,1000,1.000
996,1018,2.161
1003,1032,2.810
1007,1043,3.452
1016,1062,4.331
1021,1078,5.288
1028,1095,6.119
1032,1109,6.943
1037,1130,8.230
1038,1131,8.223
1040,1133,8.208
1045,1144,8.654
1053,1165,9.614
1060,1172,9.556
1066,1185,10.042
1071,1191,10.076
1086,1208,10.099
1103,1225,9.959
