seq_len,total,ratio
97,97,0.000
103,108,4.630
106,113,6.195
109,118,7.627
114,139,17.986
115,140,17.857
118,147,19.728
122,160,23.750
126,167,24.551
129,170,24.118
134,185,27.568
139,204,31.863
144,220,34.545
147,226,34.956
152,247,38.462
157,255,38.431
161,268,39.925
169,288,41.319
172,293,41.297
175,296,40.878
180,311,42.122
185,327,43.425
192,346,44.509
197,364,45.879
200,369,45.799
206,391,47.315
210,398,47.236
214,417,48.681
221,434,49.078
225,442,49.095
228,449,49.220
232,453,48.786
235,457,48.578
237,459,48.366
241,463,47.948
245,474,48.312
250,487,48.665
254,500,49.200
257,509,49.509
262,524,50.000
265,527,49.715
270,535,49.533
273,540,49.444
278,554,49.819
279,555,49.730
283,560,49.464
288,579,50.259
291,589,50.594
293,591,50.423
300,598,49.833
302,600,49.667
308,606,49.175
310,608,49.013
313,615,49.106
316,619,48.950
321,638,49.687
325,642,49.377
326,643,49.300
328,645,49.147
333,661,49.622
344,681,49.486
347,691,49.783
359,707,49.222
363,712,49.017
369,725,49.103
373,730,48.904
377,737,48.847
380,741,48.718
385,758,49.208
389,768,49.349
390,769,49.285
394,773,49.030
399,790,49.494
403,802,49.751
405,804,49.627
412,821,49.817
414,823,49.696
415,824,49.636
418,828,49.517
423,846,50.000
428,864,50.463
430,868,50.461
435,887,50.958
436,888,50.901
440,897,50.948
442,899,50.834
448,919,51.251
450,921,51.140
452,923,51.029
457,934,51.071
464,946,50.951
469,966,51.449
475,980,51.531
480,996,51.807
481,997,51.755
482,998,51.703
485,1004,51.693
489,1008,51.488
493,1023,51.808
497,1030,51.748
499,1032,51.647
500,1033,51.597
505,1054,52.087
508,1058,51.985
514,1079,52.363
515,1080,52.315
517,1084,52.306
522,1089,52.066
530,1098,51.730
534,1112,51.978
539,1124,52.046
543,1136,52.201
546,1140,52.105
549,1143,51.969
557,1161,52.024
561,1177,52.336
564,1182,52.284
573,1199,52.210
574,1200,52.167
586,1214,51.730
596,1230,51.545
602,1247,51.724
612,1264,51.582
627,1281,51.054
641,1298,50.616
649,1308,50.382
657,1324,50.378
670,1343,50.112
677,1362,50.294
694,1379,49.674
711,1396,49.069
716,1402,48.930
733,1419,48.344
750,1436,47.772
762,1452,47.521
771,1462,47.264
777,1474,47.286
782,1487,47.411
788,1500,47.467
793,1506,47.344
798,1520,47.500
803,1532,47.585
807,1540,47.597
808,1541,47.567
814,1549,47.450
816,1551,47.389
820,1558,47.368
827,1575,47.492
832,1580,47.342
838,1592,47.362
848,1606,47.198
853,1616,47.215
860,1633,47.336
867,1646,47.327
869,1648,47.269
873,1654,47.219
879,1677,47.585
884,1698,47.939
889,1717,48.224
894,1739,48.591
899,1760,48.920
904,1773,49.013
915,1790,48.883
916,1791,48.855
922,1810,49.061
926,1826,49.288
931,1841,49.430
937,1848,49.297
943,1867,49.491
957,1881,49.123
962,1886,48.993
965,1892,48.996
971,1906,49.056
976,1923,49.246
981,1929,49.145
987,1935,48.992
993,1941,48.841
1000,1949,48.692
1008,1959,48.545
1013,1970,48.579
1020,1986,48.640
1021,1987,48.616
1025,2001,48.776
1029,2005,48.678
1033,2022,48.912
1040,2037,48.945
1042,2039,48.897
1047,2055,49.051
1055,2069,49.009
1058,2075,49.012
1063,2088,49.090
1066,2095,49.117
1070,2099,49.023
1071,2100,49.000
1077,2118,49.150
1081,2129,49.225
1086,2134,49.110
1088,2136,49.064
1095,2153,49.141
1100,2166,49.215
