seq_len,total,ratio
11,11,0.000
15,25,40.000
16,25,36.000
19,32,40.625
25,37,32.432
30,37,18.919
35,37,5.405
42,45,6.667
44,47,6.383
49,64,23.438
53,64,17.188
58,64,9.375
62,64,3.125
63,64,1.562
71,83,14.458
75,83,9.639
76,83,8.434
82,88,6.818
87,91,4.396
92,92,0.000
93,93,0.000
99,112,11.607
101,112,9.821
104,112,7.143
107,112,4.464
108,112,3.571
113,130,13.077
116,130,10.769
122,136,10.294
124,136,8.824
129,138,6.522
136,138,1.449
141,141,0.000
148,155,4.516
152,155,1.935
seq_len,total,ratio
11,11,0.000
13,16,18.750
17,25,32.000
18,25,28.000
24,32,25.000
28,32,12.500
34,44,22.727
35,44,20.455
36,44,18.182
40,44,9.091
44,50,12.000
51,51,0.000
56,66,15.152
61,66,7.576
64,74,13.514
70,85,17.647
74,85,12.941
77,94,18.085
81,94,13.830
85,94,9.574
91,103,11.650
96,106,9.434
99,106,6.604
101,106,4.717
105,108,2.778
109,119,8.403
115,126,8.730
118,126,6.349
122,128,4.688
127,128,0.781
132,145,8.966
137,145,5.517
140,145,3.448
148,156,5.128
149,156,4.487
153,156,1.923
158,158,0.000
164,179,8.380
168,179,6.145
174,184,5.435
175,184,4.891
176,184,4.348
seq_len,total,ratio
11,11,0.000
13,16,18.750
17,27,37.037
22,29,24.138
34,34,0.000
36,36,0.000
39,42,7.143
41,42,2.381
44,44,0.000
46,49,6.122
51,62,17.742
54,62,12.903
59,74,20.270
63,75,16.000
67,81,17.284
68,81,16.049
74,84,11.905
76,84,9.524
79,84,5.952
80,84,4.762
84,84,0.000
89,98,9.184
91,98,7.143
94,98,4.082
97,102,4.902
100,106,5.660
104,119,12.605
107,119,10.084
108,119,9.244
109,119,8.403
114,119,4.202
120,126,4.762
125,141,11.348
128,141,9.220
134,141,4.965
135,141,4.255
141,155,9.032
145,155,6.452
149,155,3.871
154,164,6.098
158,170,7.059
164,170,3.529
168,170,1.176
171,171,0.000
175,191,8.377
180,191,5.759
184,191,3.665
194,194,0.000
198,208,4.808
202,208,2.885
207,212,2.358
209,215,2.791
213,230,7.391
217,230,5.652
221,232,4.741
230,237,2.954
234,237,1.266
239,251,4.781
242,254,4.724
247,254,2.756
249,254,1.969
254,254,0.000
258,262,1.527
262,276,5.072
267,276,3.261
271,276,1.812
273,276,1.087
277,280,1.071
278,280,0.714
282,292,3.425
286,292,2.055
289,292,1.027
293,308,4.870
298,308,3.247
301,308,2.273
303,308,1.623
307,316,2.848
314,318,1.258
318,328,3.049
322,336,4.167
326,336,2.976
328,336,2.381
335,344,2.616
339,351,3.419
340,351,3.134
346,351,1.425
351,367,4.360
352,367,4.087
359,375,4.267
364,375,2.933
369,375,1.600
371,375,1.067
378,392,3.571
384,393,2.290
399,400,0.250
404,404,0.000
408,415,1.687
414,419,1.193
416,419,0.716
420,426,1.408
425,429,0.932
429,442,2.941
434,446,2.691
440,446,1.345
442,446,0.897
445,451,1.330
450,462,2.597
452,462,2.165
455,462,1.515
461,474,2.743
465,474,1.899
471,475,0.842
477,489,2.454
479,489,2.045
481,489,1.636
486,489,0.613
493,506,2.569
498,506,1.581
503,522,3.640
505,522,3.257
512,522,1.916
seq_len,total,ratio
11,11,0.000
13,16,18.750
17,25,32.000
18,25,28.000
25,29,13.793
28,29,3.448
34,44,22.727
35,44,20.455
36,44,18.182
40,44,9.091
46,46,0.000
52,59,11.864
56,59,5.085
58,59,1.695
64,78,17.949
65,78,16.667
69,78,11.538
71,78,8.974
77,80,3.750
82,94,12.766
83,94,11.702
86,94,8.511
90,94,4.255
93,94,1.064
99,111,10.811
101,111,9.009
103,111,7.207
108,111,2.703
110,114,3.509
117,124,5.645
120,124,3.226
122,125,2.400
126,139,9.353
127,139,8.633
133,139,4.317
138,142,2.817
141,142,0.704
143,143,0.000
144,144,0.000
149,149,0.000
154,154,0.000
160,160,0.000
161,161,0.000
164,164,0.000
169,179,5.587
171,179,4.469
178,179,0.559
181,181,0.000
188,202,6.931
192,202,4.950
196,202,2.970
200,210,4.762
206,214,3.738
214,224,4.464
217,224,3.125
220,224,1.786
223,224,0.446
227,244,6.967
230,244,5.738
233,244,4.508
240,244,1.639
244,244,0.000
245,245,0.000
251,263,4.563
252,263,4.183
256,263,2.662
260,267,2.622
265,278,4.676
268,278,3.597
269,278,3.237
275,283,2.827
277,286,3.147
283,286,1.049
286,286,0.000
291,302,3.642
296,302,1.987
300,313,4.153
303,313,3.195
311,317,1.893
314,318,1.258
318,324,1.852
325,332,2.108
329,335,1.791
333,335,0.597
335,335,0.000
339,345,1.739
342,346,1.156
345,356,3.090
352,367,4.087
358,367,2.452
363,369,1.626
367,381,3.675
369,381,3.150
374,383,2.350
380,383,0.783
381,383,0.522
387,397,2.519
393,400,1.750
397,407,2.457
402,407,1.229
408,415,1.687
409,415,1.446
413,420,1.667
417,420,0.714
422,431,2.088
426,431,1.160
432,443,2.483
435,443,1.806
437,443,1.354
440,449,2.004
442,449,1.559
448,462,3.030
456,468,2.564
458,468,2.137
460,468,1.709
464,473,1.903
468,473,1.057
473,485,2.474
474,485,2.268
480,494,2.834
488,495,1.414
490,495,1.010
494,497,0.604
495,497,0.402
497,497,0.000
500,500,0.000
501,501,0.000
505,512,1.367
