seq_len,total,ratio
97,97,0.000
101,114,11.404
103,114,9.649
106,114,7.018
108,114,5.263
109,114,4.386
114,125,8.800
118,130,9.231
123,130,5.385
125,130,3.846
129,137,5.839
134,147,8.844
138,147,6.122
143,152,5.921
146,152,3.947
149,152,1.974
154,168,8.333
161,168,4.167
163,168,2.976
165,168,1.786
169,177,4.520
174,185,5.946
177,185,4.324
182,189,3.704
186,189,1.587
191,200,4.500
194,200,3.000
197,201,1.990
203,210,3.333
205,210,2.381
207,210,1.429
213,222,4.054
217,227,4.405
219,227,3.524
225,238,5.462
227,238,4.622
229,238,3.782
231,238,2.941
234,238,1.681
238,238,0.000
240,240,0.000
245,252,2.778
251,252,0.397
256,270,5.185
258,270,4.444
264,271,2.583
269,286,5.944
276,286,3.497
279,286,2.448
284,295,3.729
286,295,3.051
292,297,1.684
294,297,1.010
298,299,0.334
301,305,1.311
305,308,0.974
310,319,2.821
311,319,2.508
312,319,2.194
316,320,1.250
320,334,4.192
325,335,2.985
331,343,3.499
338,347,2.594
341,347,1.729
347,364,4.670
354,364,2.747
356,364,2.198
361,369,2.168
364,369,1.355
370,385,3.896
375,390,3.846
379,390,2.821
380,390,2.564
386,397,2.771
392,397,1.259
398,409,2.689
402,409,1.711
406,414,1.932
410,416,1.442
413,421,1.900
418,426,1.878
419,426,1.643
424,426,0.469
430,439,2.050
432,439,1.595
438,443,1.129
439,443,0.903
443,450,1.556
444,450,1.333
448,450,0.444
451,452,0.221
453,453,0.000
454,454,0.000
456,456,0.000
460,469,1.919
463,469,1.279
468,478,2.092
471,478,1.464
474,478,0.837
478,484,1.240
482,488,1.230
486,492,1.220
488,492,0.813
492,509,3.340
496,509,2.554
500,509,1.768
505,521,3.071
508,521,2.495
515,521,1.152
521,533,2.251
525,533,1.501
530,540,1.852
535,552,3.080
539,552,2.355
541,552,1.993
547,556,1.619
554,565,1.947
559,567,1.411
561,567,1.058
567,578,1.903
576,582,1.031
578,582,0.687
582,584,0.342
588,599,1.836
589,599,1.669
593,602,1.495
597,604,1.159
601,608,1.151
606,617,1.783
612,617,0.810
620,624,0.641
629,636,1.101
636,649,2.003
653,653,0.000
664,669,0.747
671,673,0.297
686,689,0.435
689,689,0.000
690,690,0.000
695,697,0.287
697,697,0.000
706,715,1.259
718,723,0.692
723,730,0.959
733,740,0.946
737,740,0.405
743,749,0.801
746,749,0.401
760,761,0.131
768,783,1.916
770,783,1.660
772,783,1.405
774,783,1.149
781,791,1.264
784,791,0.885
791,791,0.000
798,810,1.481
