seq_len,total,ratio
97,97,0.000
103,103,0.000
106,113,6.195
110,122,9.836
114,127,10.236
117,127,7.874
121,131,7.634
125,143,12.587
128,143,10.490
131,149,12.081
135,153,11.765
136,154,11.688
137,155,11.613
145,173,16.185
150,178,15.730
151,179,15.642
156,200,22.000
159,200,20.500
163,200,18.500
169,213,20.657
177,218,18.807
178,219,18.721
181,230,21.304
186,240,22.500
190,242,21.488
194,249,22.088
198,250,20.800
200,256,21.875
203,259,21.622
206,262,21.374
210,269,21.933
215,286,24.825
216,286,24.476
221,288,23.264
222,289,23.183
227,298,23.826
232,318,27.044
236,318,25.786
238,318,25.157
244,330,26.061
247,330,25.152
250,333,24.925
251,333,24.625
255,341,25.220
261,347,24.784
263,355,25.915
267,367,27.248
272,370,26.486
280,370,24.324
290,380,23.684
294,384,23.438
299,389,23.136
304,412,26.214
313,419,25.298
315,419,24.821
316,420,24.762
320,428,25.234
326,444,26.577
329,444,25.901
333,452,26.327
342,461,25.813
348,473,26.427
353,479,26.305
356,493,27.789
360,493,26.978
362,495,26.869
373,506,26.285
382,519,26.397
386,534,27.715
390,538,27.509
392,538,27.138
398,554,28.159
404,554,27.076
408,569,28.295
412,578,28.720
418,587,28.790
421,587,28.279
425,587,27.598
431,598,27.926
437,607,28.007
441,614,28.176
443,625,29.120
448,626,28.435
454,627,27.592
456,629,27.504
458,635,27.874
465,646,28.019
467,648,27.932
473,654,27.676
475,660,28.030
476,661,27.988
480,679,29.308
485,679,28.571
489,694,29.539
496,694,28.530
498,696,28.448
502,700,28.286
507,719,29.485
511,730,30.000
515,730,29.452
521,736,29.212
526,745,29.396
528,747,29.317
534,758,29.551
538,770,30.130
539,770,30.000
540,770,29.870
544,770,29.351
546,771,29.183
550,775,29.032
553,778,28.920
556,781,28.809
557,782,28.772
558,783,28.736
563,798,29.449
568,802,29.177
569,802,29.052
574,806,28.784
578,814,28.993
579,815,28.957
581,825,29.576
583,825,29.333
586,831,29.483
590,833,29.172
591,834,29.137
595,846,29.669
599,846,29.196
seq_len,total,ratio
97,97,0.000
101,107,5.607
