seq_len,total,ratio
97,97,0.000
103,109,5.505
107,129,17.054
113,140,19.286
116,143,18.881
120,155,22.581
131,170,22.941
136,186,26.882
138,188,26.596
144,203,29.064
149,221,32.579
153,227,32.599
156,230,32.174
161,244,34.016
165,264,37.500
168,273,38.462
172,287,40.070
174,290,40.000
179,310,42.258
185,323,42.724
189,331,42.900
197,346,43.064
202,363,44.353
203,364,44.231
204,365,44.110
208,371,43.935
215,391,45.013
220,400,45.000
223,403,44.665
225,405,44.444
230,425,45.882
233,432,46.065
237,442,46.380
242,459,47.277
246,472,47.881
251,478,47.490
254,483,47.412
257,488,47.336
260,491,47.047
262,493,46.856
266,500,46.800
272,510,46.667
277,529,47.637
282,537,47.486
285,549,48.087
288,552,47.826
295,568,48.063
300,583,48.542
304,595,48.908
306,597,48.744
311,613,49.266
315,625,49.600
316,626,49.521
325,636,48.899
326,637,48.823
328,640,48.750
329,641,48.674
333,649,48.690
336,653,48.545
340,660,48.485
344,673,48.886
348,678,48.673
350,682,48.680
354,699,49.356
359,716,49.860
364,734,50.409
369,751,50.866
373,760,50.921
377,768,50.911
381,777,50.965
383,779,50.834
386,784,50.765
389,787,50.572
395,801,50.687
398,804,50.498
406,813,50.062
407,814,50.000
412,832,50.481
415,835,50.299
419,849,50.648
420,850,50.588
424,861,50.755
428,874,51.030
432,879,50.853
433,880,50.795
436,886,50.790
440,893,50.728
441,894,50.671
445,902,50.665
447,905,50.608
452,912,50.439
455,918,50.436
457,920,50.326
460,923,50.163
462,925,50.054
463,926,50.000
466,929,49.839
473,950,50.211
483,969,50.155
485,972,50.103
491,987,50.253
492,988,50.202
498,998,50.100
503,1020,50.686
509,1039,51.011
514,1052,51.141
515,1053,51.092
522,1070,51.215
527,1082,51.294
531,1090,51.284
533,1093,51.235
539,1112,51.529
543,1127,51.819
545,1129,51.727
549,1136,51.673
552,1147,51.874
556,1160,52.069
562,1167,51.842
565,1170,51.709
567,1172,51.621
571,1186,51.855
573,1189,51.808
583,1206,51.658
587,1211,51.528
593,1226,51.631
595,1228,51.547
598,1231,51.422
599,1232,51.380
602,1236,51.294
606,1242,51.208
609,1248,51.202
612,1253,51.157
615,1263,51.306
617,1265,51.225
621,1273,51.218
626,1286,51.322
632,1306,51.608
635,1310,51.527
638,1316,51.520
641,1320,51.439
649,1336,51.422
652,1342,51.416
655,1345,51.301
659,1358,51.473
660,1359,51.435
666,1368,51.316
671,1381,51.412
675,1400,51.786
677,1402,51.712
678,1403,51.675
679,1404,51.638
682,1408,51.562
696,1424,51.124
710,1439,50.660
727,1456,50.069
730,1459,49.966
735,1464,49.795
750,1479,49.290
767,1496,48.730
781,1512,48.347
793,1532,48.238
800,1539,48.018
