seq_len,total,ratio
11,11,0.000
14,25,40.000
18,33,45.455
20,40,42.500
22,37,29.730
35,39,5.128
37,56,26.786
42,53,20.755
43,62,22.581
48,61,21.311
49,70,24.286
55,70,20.000
57,72,13.889
59,73,12.329
60,73,10.959
62,78,15.385
63,78,12.821
71,78,8.974
75,88,14.773
79,97,18.557
84,94,10.638
86,104,14.423
87,103,12.621
92,104,11.538
97,115,15.652
103,118,11.017
111,125,11.200
112,132,11.364
115,141,16.312
118,143,16.783
121,147,17.007
125,150,16.667
131,153,14.379
135,165,17.576
139,150,6.667
143,155,7.097
144,157,4.459
149,162,8.025
150,171,9.942
155,171,9.357
163,174,6.322
164,188,10.638
167,194,12.887
172,193,10.881
176,199,10.050
180,202,10.396
185,195,3.077
189,202,5.446
194,204,4.902
200,218,8.257
204,226,9.735
206,229,9.170
211,230,8.261
216,240,10.000
219,252,11.905
223,242,7.851
226,261,12.644
232,252,7.937
237,261,9.195
242,262,7.252
248,264,5.303
250,268,5.597
254,267,4.869
258,279,7.527
263,280,6.071
269,286,5.245
272,295,7.119
273,300,7.333
279,292,4.452
280,300,5.000
284,306,7.190
289,308,6.169
293,316,7.278
294,325,8.308
295,317,5.678
297,331,9.366
301,330,8.485
302,327,6.422
308,330,6.667
319,337,5.341
326,339,3.835
331,352,5.966
335,363,7.438
339,359,5.292
343,362,5.249
348,376,7.447
350,380,6.579
354,380,6.842
357,396,9.596
359,402,9.701
366,394,7.107
372,401,7.232
377,406,7.143
381,421,9.501
383,421,7.601
386,421,6.651
391,421,7.126
392,430,7.907
398,428,7.009
402,441,8.617
406,440,7.727
408,444,7.207
410,449,8.018
419,440,4.545
423,448,4.241
424,441,3.175
427,449,4.454
428,447,3.132
432,448,3.571
437,461,5.206
441,466,4.936
446,462,3.463
448,465,2.796
453,469,2.985
455,472,3.178
461,476,3.151
462,485,3.505
464,484,3.306
468,489,3.681
472,487,3.080
479,495,3.232
485,496,2.016
489,504,2.579
495,507,2.367
498,519,3.854
499,518,3.089
503,523,3.633
507,521,2.495
