seq_len,total,ratio
11,11,0.000
16,31,48.387
22,39,43.590
28,44,36.364
32,58,44.828
34,62,41.935
40,62,35.484
46,74,37.838
50,76,34.211
53,92,41.304
57,93,38.710
65,97,32.990
66,106,33.962
67,98,26.531
72,98,26.531
77,100,21.000
82,113,27.434
86,114,22.807
89,113,16.814
seq_len,total,ratio
11,11,0.000
15,28,42.857
22,31,29.032
27,44,38.636
31,51,37.255
36,53,32.075
40,68,39.706
44,61,27.869
50,74,32.432
55,79,29.114
59,84,29.762
65,93,30.108
71,95,25.263
74,112,33.036
76,111,27.928
82,111,26.126
87,121,28.099
92,135,31.852
98,137,28.467
100,148,30.405
106,147,27.891
110,156,28.846
115,156,26.282
120,165,27.273
125,166,24.699
131,167,20.958
136,176,22.727
138,191,26.178
142,188,23.936
146,190,23.158
153,195,21.538
155,195,18.462
160,200,19.500
167,204,18.137
172,213,19.249
177,229,22.707
181,229,18.341
184,230,19.130
185,229,17.031
192,229,16.157
199,230,13.478
203,241,15.353
205,239,13.389
209,240,12.500
211,251,15.139
213,248,12.903
215,247,12.146
219,237,3.376
225,244,7.787
230,257,10.506
231,257,3.891
234,268,12.313
236,265,9.057
241,273,11.722
247,273,9.524
249,282,10.284
254,283,9.541
259,289,10.381
263,302,12.914
267,302,11.258
277,302,8.278
280,310,9.355
285,317,10.095
288,333,13.213
292,337,13.056
296,340,12.353
304,333,8.709
306,339,8.850
314,339,7.375
319,342,6.725
327,352,7.102
332,366,9.290
337,367,8.174
342,371,7.817
350,382,8.115
352,387,8.010
358,384,6.771
359,393,7.634
361,393,7.379
364,392,6.378
373,392,4.847
374,393,3.562
379,394,3.553
384,404,4.703
389,410,5.122
390,417,5.276
394,420,5.476
398,423,5.674
404,424,4.717
405,433,5.543
409,436,5.963
412,434,4.378
416,435,3.908
417,432,2.546
422,437,3.432
423,446,4.260
427,448,4.464
430,455,5.275
436,450,3.111
438,463,4.320
443,458,2.838
444,459,0.871
451,461,1.952
455,465,2.151
458,473,2.960
464,477,2.725
467,478,1.883
471,485,2.680
477,495,3.636
479,505,4.554
484,502,3.586
487,509,3.536
491,504,2.579
496,513,3.314
501,523,4.207
502,532,5.075
509,533,4.503
510,542,5.166
515,542,4.982
seq_len,total,ratio
11,11,0.000
15,23,34.783
19,38,47.368
20,36,30.556
23,38,26.316
26,43,30.233
27,42,23.810
32,46,30.435
33,55,30.909
36,59,35.593
41,56,26.786
45,59,23.729
48,67,23.881
53,64,17.188
54,70,17.143
58,71,16.901
62,72,13.889
66,86,23.256
72,86,16.279
76,96,19.792
80,103,22.330
88,110,19.091
93,114,18.421
99,116,14.655
105,131,19.847
108,142,22.535
112,138,18.841
119,141,15.603
121,150,16.000
126,147,12.925
130,153,13.725
131,151,10.596
134,156,12.821
136,164,15.244
140,158,10.759
144,163,11.656
148,172,13.372
151,166,7.831
155,178,12.921
157,192,17.188
161,190,15.263
164,190,13.158
166,190,11.053
169,194,10.825
173,190,8.421
181,191,5.236
185,202,7.921
187,201,4.478
194,205,5.366
201,210,3.333
218,218,0.000
221,236,5.085
222,235,4.255
226,233,3.004
230,243,5.350
236,244,3.279
244,254,3.937
248,263,5.703
251,268,5.597
255,272,6.250
265,272,2.574
269,292,7.192
270,288,4.514
273,288,4.514
286,290,1.379
287,301,3.322
292,305,4.262
298,318,5.975
301,317,4.101
306,319,4.075
308,330,5.455
313,328,4.573
314,336,5.060
317,337,5.045
320,335,3.881
325,336,3.274
331,344,3.779
337,352,4.261
342,357,3.361
345,358,2.514
347,361,2.216
356,364,2.198
361,373,2.681
378,378,0.000
384,393,2.290
390,398,1.508
399,408,2.206
402,420,3.571
411,425,3.294
416,436,4.587
433,436,0.688
447,450,0.667
452,465,2.796
466,468,0.427
468,481,1.871
476,484,1.653
488,492,0.813
504,507,0.592
509,515,1.165
518,527,1.708
seq_len,total,ratio
11,11,0.000
13,23,34.783
17,29,41.379
19,38,42.105
35,37,5.405
39,53,26.415
41,57,21.053
44,65,29.231
48,61,21.311
54,62,12.903
59,68,13.235
64,75,10.667
70,84,16.667
74,94,21.277
75,95,16.842
78,107,24.299
81,105,20.952
84,101,15.842
89,107,16.822
93,120,20.833
96,119,17.647
102,116,12.069
107,120,10.833
108,126,10.317
111,128,10.938
116,134,13.433
121,135,10.370
129,138,6.522
134,156,14.103
139,165,15.758
142,178,19.663
144,177,16.949
146,174,14.368
151,170,9.412
153,179,11.732
160,174,8.046
166,186,10.753
172,188,8.511
178,202,11.881
183,208,12.019
187,211,10.427
189,221,13.122
193,212,8.962
200,217,7.834
205,228,10.088
208,234,9.829
214,231,7.359
221,237,6.751
224,248,9.274
225,249,8.434
226,254,9.449
227,249,7.229
229,255,9.020
230,249,6.024
243,247,1.619
248,260,4.231
253,266,4.887
260,272,4.412
265,285,7.018
266,285,3.509
271,288,5.903
275,293,5.461
283,301,5.316
286,302,3.974
292,304,3.947
299,312,4.167
300,325,6.154
307,330,6.970
312,330,3.939
314,337,5.045
316,331,2.719
325,336,3.274
330,347,4.899
337,353,3.966
342,361,4.986
345,370,5.946
355,361,1.662
366,370,1.081
371,380,2.105
374,390,3.077
385,390,1.026
393,400,1.000
410,410,0.000
414,422,1.659
428,429,0.233
445,445,0.000
462,462,0.000
479,479,0.000
496,496,0.000
513,513,0.000
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,31,45.161
18,40,45.000
24,32,25.000
28,46,39.130
31,47,31.915
33,55,34.545
37,53,30.189
42,62,32.258
43,69,33.333
46,76,38.158
51,82,37.805
55,82,31.707
60,83,27.711
64,94,30.851
69,96,28.125
74,112,33.929
79,114,30.702
83,126,34.127
87,129,31.783
93,132,29.545
97,142,31.690
100,154,34.416
101,146,28.082
105,158,32.911
110,167,34.132
116,170,31.765
121,174,30.460
124,183,31.694
126,176,26.136
130,178,26.966
134,178,23.596
138,187,25.668
144,186,22.581
149,194,22.680
151,202,24.257
153,189,16.402
154,194,18.041
159,188,15.426
164,199,17.588
166,199,15.075
168,199,14.573
175,202,13.366
182,206,11.650
186,217,14.286
192,218,11.927
195,223,11.211
200,222,9.910
203,231,11.688
209,236,11.017
217,233,6.867
225,242,7.025
230,242,0.413
233,256,8.594
235,254,5.512
241,258,5.426
248,261,4.981
252,276,8.333
258,268,3.731
260,281,5.338
263,282,6.383
269,287,6.272
275,290,3.448
277,298,6.040
284,295,3.729
290,303,4.290
297,310,3.548
307,313,0.958
314,324,3.086
324,334,2.994
332,342,2.339
349,349,0.000
364,366,0.546
381,381,0.000
398,398,0.000
415,415,0.000
423,430,1.628
440,440,0.000
443,457,0.000
447,453,1.325
451,460,1.957
456,474,3.797
460,475,2.737
463,482,3.527
464,481,2.703
465,482,2.697
466,483,2.899
468,483,2.692
471,484,2.273
475,492,3.252
479,493,2.231
481,498,2.209
485,498,1.807
491,501,1.796
496,506,1.976
498,519,2.505
502,512,1.953
510,525,2.857
512,531,2.637
seq_len,total,ratio
11,11,0.000
15,26,38.462
19,34,41.176
23,33,21.212
36,39,7.692
38,54,25.926
43,60,28.333
47,65,27.692
51,70,24.286
54,79,30.380
55,71,14.085
64,83,22.892
68,94,26.596
70,102,28.431
71,96,21.875
74,101,24.752
78,100,22.000
81,108,23.148
86,103,16.505
91,117,22.222
96,123,21.951
102,130,21.538
107,137,20.438
111,141,21.277
121,141,13.475
123,143,11.189
129,142,9.155
130,151,9.934
135,157,14.013
139,164,15.244
144,176,18.182
149,178,16.292
153,186,16.667
158,189,15.344
164,190,13.684
172,197,12.690
176,208,15.385
180,221,18.100
186,216,13.889
190,218,12.844
191,225,13.778
197,226,12.389
202,231,12.554
208,237,12.236
211,246,13.008
215,243,11.523
219,249,10.843
224,258,13.178
229,264,12.879
234,259,9.653
237,267,10.487
242,273,11.355
246,274,10.219
250,290,13.448
255,288,11.458
261,290,10.000
265,299,11.037
270,307,11.726
276,313,11.821
281,325,13.231
287,318,9.748
292,331,11.782
296,333,11.111
298,342,11.988
302,344,12.209
305,346,10.983
309,348,11.207
316,355,10.986
321,359,10.585
327,370,11.622
331,377,11.671
336,372,9.677
337,379,10.026
338,379,9.235
346,376,7.979
349,386,8.549
354,383,7.050
359,388,7.474
364,396,7.828
368,397,7.305
373,397,5.793
378,399,4.762
383,399,4.010
384,406,4.680
389,408,4.657
395,414,4.106
399,423,5.437
404,424,4.717
408,440,7.045
412,441,6.576
417,447,6.711
421,461,8.026
427,460,7.174
429,465,7.097
436,464,6.034
444,470,5.532
447,483,7.039
448,477,5.451
451,480,5.625
454,477,4.403
455,475,2.737
458,474,2.743
460,480,3.542
465,484,3.926
469,498,5.622
470,487,2.875
472,495,4.040
