seq_len,total,ratio
11,11,0.000
15,24,37.500
19,40,50.000
34,38,7.895
41,50,18.000
46,57,19.298
50,70,25.714
52,63,12.698
54,68,16.176
58,72,19.444
62,83,25.301
66,83,20.482
72,96,25.000
76,100,24.000
80,111,27.027
85,120,29.167
88,123,26.016
90,129,27.907
92,128,26.562
93,120,18.333
96,129,24.806
97,122,17.213
98,121,13.223
103,123,15.447
111,125,11.200
116,132,9.848
121,139,10.791
126,142,11.268
130,148,10.135
seq_len,total,ratio
11,11,0.000
14,25,40.000
15,29,37.931
20,36,44.444
23,49,48.980
28,43,25.581
32,49,32.653
35,59,38.983
40,58,31.034
41,67,31.343
47,63,25.397
52,68,23.529
57,75,24.000
60,86,27.907
63,82,19.512
66,82,18.293
70,89,19.101
73,96,20.833
78,90,13.333
80,104,21.154
82,103,16.505
87,101,10.891
92,108,14.815
94,122,20.492
95,117,16.239
100,116,13.793
105,119,11.765
107,124,11.290
109,131,13.740
114,128,10.938
118,135,12.593
122,137,10.949
124,141,9.220
126,154,16.234
130,151,13.907
131,152,7.895
133,165,17.576
135,153,10.458
142,152,6.579
148,171,13.450
155,171,9.357
160,185,12.432
165,186,11.290
170,196,12.755
175,196,10.714
177,200,10.000
182,204,10.784
186,207,10.145
191,219,12.785
192,228,14.035
195,222,11.261
197,229,12.664
201,230,12.609
207,245,15.510
216,245,11.429
218,252,12.698
220,253,11.858
224,246,8.943
228,253,9.881
233,263,11.407
238,272,12.132
242,272,11.029
245,283,12.721
246,281,11.388
249,286,12.238
257,276,6.884
262,283,7.420
264,295,9.153
269,294,8.503
277,302,8.278
279,302,5.629
283,307,7.818
290,314,7.325
298,310,3.871
302,323,6.192
305,322,4.658
306,327,5.199
310,330,6.061
314,333,4.505
320,341,6.158
327,345,4.928
330,357,7.283
335,350,4.286
338,361,5.540
343,364,5.769
350,371,5.660
354,379,6.596
355,380,4.474
358,387,6.718
362,387,6.460
368,395,6.835
372,408,8.578
374,405,7.160
379,404,6.188
383,409,6.357
385,411,5.353
388,412,5.340
392,415,5.542
395,419,5.251
398,418,4.306
403,420,4.048
405,430,4.884
407,441,7.256
412,440,6.364
414,447,6.711
419,452,7.301
422,468,9.188
427,463,7.775
431,463,4.968
432,464,6.034
436,474,8.017
441,482,8.506
446,487,8.419
450,501,10.180
454,509,10.609
455,502,8.566
459,502,8.367
464,512,9.375
465,513,8.577
467,518,8.880
469,512,7.812
473,512,7.422
478,512,6.445
481,512,5.273
485,515,5.243
489,514,4.864
492,514,3.696
497,515,2.718
502,527,4.744
508,531,4.331
514,536,4.104
seq_len,total,ratio
11,11,0.000
13,22,31.818
17,31,45.161
22,36,33.333
32,44,27.273
34,58,37.931
36,57,31.579
40,57,28.070
45,61,24.590
49,70,30.000
53,73,26.027
58,81,28.395
62,85,23.529
67,93,27.957
69,103,31.068
70,94,20.213
74,99,24.242
78,105,25.714
82,117,29.060
85,113,21.239
87,113,18.584
93,119,21.849
97,131,25.954
98,132,22.727
101,131,21.374
103,134,20.896
105,139,23.022
111,137,18.978
118,140,15.714
122,146,15.753
128,154,16.883
131,167,20.359
134,161,15.528
137,160,12.500
141,162,12.963
146,170,14.118
147,171,11.696
151,177,14.124
153,182,14.286
157,186,15.591
161,187,13.904
167,190,12.105
171,198,13.131
173,195,9.744
175,200,11.000
178,202,10.891
181,205,11.220
182,209,11.005
184,202,6.931
189,207,8.696
190,216,10.185
192,209,6.699
197,209,3.828
203,208,2.404
209,221,5.430
210,234,8.547
215,234,8.120
232,234,0.855
249,249,0.000
266,266,0.000
283,283,0.000
300,300,0.000
317,317,0.000
334,334,0.000
351,351,0.000
368,368,0.000
385,385,0.000
402,402,0.000
419,419,0.000
436,436,0.000
453,453,0.000
470,470,0.000
487,487,0.000
504,504,0.000
521,521,0.000
seq_len,total,ratio
11,11,0.000
14,21,28.571
19,33,42.424
24,40,40.000
30,51,41.176
35,62,41.935
39,71,43.662
40,70,35.714
43,68,33.824
48,70,30.000
53,72,26.389
59,77,18.182
64,83,21.687
69,83,16.867
70,92,19.565
75,98,23.469
81,98,17.347
90,111,18.919
92,114,16.667
94,115,15.652
95,112,11.607
105,116,9.483
108,123,10.569
113,132,14.394
117,148,20.270
120,145,15.172
124,146,13.014
128,145,11.034
135,148,8.784
138,153,9.150
143,159,10.063
146,171,14.035
151,174,13.218
157,179,12.291
159,190,14.211
164,180,7.222
167,191,11.518
171,187,8.556
176,200,12.000
179,203,11.330
182,213,13.615
189,205,6.341
196,211,7.109
200,223,9.865
204,232,10.776
207,231,9.524
212,228,6.140
216,238,8.403
225,234,3.846
230,248,7.258
242,248,2.419
246,264,6.818
251,266,5.639
256,277,7.220
263,278,5.396
276,279,1.075
281,291,3.436
285,301,4.651
289,310,5.806
294,312,5.769
296,319,6.270
303,313,3.195
308,324,4.938
314,331,5.136
321,336,3.869
323,344,5.233
327,349,6.304
330,354,6.215
332,351,4.274
335,357,5.602
343,352,2.557
346,366,4.645
349,363,3.306
360,367,1.907
363,380,3.684
367,388,5.155
371,388,4.381
380,394,3.553
382,400,3.750
387,404,4.208
391,415,5.060
396,417,5.036
403,424,4.953
404,433,5.774
407,435,5.977
411,436,5.734
413,440,5.000
422,439,3.872
426,449,4.900
432,452,4.425
437,460,4.783
442,468,5.556
447,476,5.882
451,469,3.838
460,470,2.128
462,480,3.125
464,479,2.296
472,477,1.048
480,482,0.415
490,500,1.400
494,511,3.131
499,512,1.367
503,518,1.737
507,522,2.874
512,531,3.202
seq_len,total,ratio
11,11,0.000
15,24,33.333
20,28,28.571
25,34,26.471
30,46,30.435
35,46,23.913
36,55,29.091
41,55,25.455
43,65,29.231
46,71,33.803
52,72,27.778
53,81,28.395
57,81,28.395
61,88,29.545
66,90,26.667
71,92,22.826
76,100,24.000
80,107,23.364
86,109,21.101
91,117,22.222
94,124,22.581
101,117,12.821
seq_len,total,ratio
11,11,0.000
13,24,37.500
16,28,39.286
21,35,40.000
25,47,44.681
31,49,36.735
37,57,35.088
41,61,32.787
46,69,33.333
51,75,32.000
53,86,34.884
57,81,29.630
61,90,30.000
63,91,27.473
67,90,25.556
71,98,27.551
74,109,30.275
77,105,23.810
78,107,23.364
83,104,19.231
85,108,19.444
90,107,13.084
94,109,12.844
99,116,14.655
101,118,11.017
107,123,13.008
112,136,17.647
121,140,13.571
127,144,11.806
132,164,19.512
133,164,9.146
150,164,8.537
167,167,0.000
184,184,0.000
201,201,0.000
218,218,0.000
235,235,0.000
252,252,0.000
269,269,0.000
286,286,0.000
303,303,0.000
320,320,0.000
337,337,0.000
354,354,0.000
371,371,0.000
388,388,0.000
405,405,0.000
422,422,0.000
439,439,0.000
456,456,0.000
473,473,0.000
490,490,0.000
507,507,0.000
524,524,0.000
seq_len,total,ratio
11,11,0.000
13,24,37.500
17,29,41.379
18,38,42.105
24,32,25.000
29,51,43.137
35,58,39.655
38,72,45.833
39,69,36.232
43,63,26.984
50,66,24.242
54,74,27.027
58,84,29.762
63,88,28.409
67,88,23.864
68,89,17.978
73,94,22.340
77,105,26.667
81,116,30.172
85,128,32.812
86,127,29.134
90,131,29.008
97,127,23.622
101,138,26.812
103,145,26.897
109,138,21.014
112,152,25.658
117,147,20.408
121,162,24.691
123,165,23.030
124,161,20.497
128,162,20.988
132,170,22.353
136,171,20.468
141,184,23.370
144,185,20.541
149,191,21.990
151,197,22.335
156,206,24.272
158,206,22.330
159,206,19.903
164,207,20.773
171,207,17.391
174,216,18.519
176,220,19.091
180,215,15.814
181,213,13.146
183,222,16.216
186,222,15.315
191,221,13.575
192,227,14.097
194,229,14.410
201,227,11.454
202,241,14.523
204,235,11.064
207,237,11.392
211,235,9.362
216,240,9.583
221,244,9.426
228,250,8.800
233,266,12.406
239,267,10.487
243,268,9.328
247,284,12.676
251,284,11.268
255,278,8.273
258,292,11.301
262,287,8.711
266,289,7.958
270,300,9.333
272,298,7.718
276,303,8.581
281,302,6.954
287,303,5.281
288,312,5.449
290,322,9.006
295,318,7.233
302,322,6.211
304,335,8.657
306,335,7.761
310,333,6.907
316,341,7.331
324,341,4.985
327,349,5.444
330,351,5.413
333,348,3.736
339,353,3.966
343,362,4.420
349,359,2.786
356,366,2.732
359,376,3.723
363,378,3.968
367,383,4.178
372,396,6.061
377,400,5.750
383,410,6.585
388,417,6.235
393,416,5.529
398,418,4.785
406,432,6.019
409,432,3.241
412,438,5.479
419,434,3.456
423,437,3.204
426,444,3.153
431,449,3.563
438,455,3.736
443,462,4.113
445,471,4.671
449,477,5.870
454,477,4.822
457,485,5.155
460,481,3.950
464,483,3.520
465,485,2.887
472,481,1.455
486,490,0.816
493,502,1.793
498,509,1.179
508,512,0.586
513,525,1.524
seq_len,total,ratio
11,11,0.000
14,26,42.308
15,29,37.931
20,34,41.176
21,41,39.024
29,41,29.268
40,47,12.766
44,53,16.981
45,58,15.517
46,62,19.355
49,62,17.742
54,61,9.836
55,65,7.692
57,71,12.676
61,73,12.329
