seq_len,total,ratio
11,11,0.000
14,20,30.000
18,38,52.632
20,41,51.220
22,43,48.837
35,35,0.000
37,37,0.000
42,53,20.755
43,54,20.370
48,66,27.273
49,67,26.866
55,82,32.927
57,84,32.143
59,59,0.000
60,60,0.000
62,62,0.000
63,63,0.000
71,78,8.974
75,91,17.582
79,104,24.038
84,119,29.412
86,122,29.508
87,87,0.000
92,104,11.538
97,121,19.835
103,129,20.155
111,147,24.490
112,148,24.324
115,115,0.000
118,126,6.349
121,132,8.333
125,147,14.966
131,161,18.634
135,176,23.295
139,183,24.044
143,148,3.378
144,149,3.356
149,166,10.241
150,167,10.180
155,182,14.835
163,198,17.677
164,199,17.588
167,204,18.137
172,224,23.214
176,176,0.000
180,184,2.174
185,189,2.116
189,194,2.577
194,209,7.177
200,232,13.793
204,250,18.400
206,253,18.577
211,222,4.955
216,238,9.244
219,243,9.877
223,254,12.205
226,258,12.403
232,276,15.942
237,291,18.557
242,247,2.024
248,255,2.745
250,257,2.724
254,267,4.869
258,282,8.511
263,293,10.239
269,303,11.221
272,310,12.258
273,311,12.219
279,325,14.154
280,326,14.110
284,344,17.442
289,361,19.945
293,301,2.658
294,302,2.649
295,303,2.640
297,306,2.941
301,318,5.346
302,319,5.329
308,337,8.605
319,357,10.644
326,371,12.129
331,387,14.470
335,401,16.459
339,408,16.912
343,352,2.557
348,370,5.946
350,372,5.914
354,385,8.052
357,396,9.848
359,398,9.799
366,418,12.440
372,435,14.483
377,450,16.222
381,397,4.030
383,399,4.010
386,402,3.980
391,418,6.459
392,419,6.444
398,434,8.295
402,444,9.459
406,457,11.160
408,459,11.111
410,461,11.063
419,475,11.789
423,479,11.691
424,480,11.667
427,484,11.777
428,485,11.753
432,499,13.427
437,519,15.800
441,442,0.226
446,456,2.193
448,458,2.183
453,465,2.581
455,468,2.778
461,486,5.144
462,487,5.133
464,489,5.112
468,493,5.071
472,508,7.087
479,524,8.588
485,534,9.176
489,542,9.779
495,557,11.131
498,563,11.545
499,564,11.525
503,577,12.825
507,584,13.185
512,600,14.667
seq_len,total,ratio
11,11,0.000
15,21,28.571
19,30,36.667
23,41,43.902
28,54,48.148
29,55,47.273
30,30,0.000
33,38,13.158
36,43,16.279
41,56,26.786
48,71,32.394
53,90,41.111
56,93,39.785
62,71,12.676
66,81,18.519
69,86,19.767
70,87,19.540
76,100,24.000
77,101,23.762
78,102,23.529
83,112,25.893
85,114,25.439
91,91,0.000
92,92,0.000
94,94,0.000
97,100,3.000
102,113,9.735
105,118,11.017
106,119,10.924
111,128,13.281
115,141,18.440
121,158,23.418
129,141,8.511
136,158,13.924
137,159,13.836
141,170,17.059
