seq_len,total,ratio
11,11,0.000
16,31,48.387
22,32,31.250
28,40,30.000
32,46,30.435
34,46,26.087
40,48,16.667
46,57,19.298
50,58,13.793
53,62,14.516
57,66,13.636
65,74,12.162
66,74,10.811
67,74,9.459
72,80,10.000
77,80,3.750
82,100,18.000
86,100,14.000
89,100,11.000
seq_len,total,ratio
11,11,0.000
15,22,31.818
22,29,24.138
27,40,32.500
31,40,22.500
36,47,23.404
40,48,16.667
44,53,16.981
50,64,21.875
55,64,14.062
59,68,13.235
65,75,13.333
71,77,7.792
74,84,11.905
76,84,9.524
82,91,9.890
87,100,13.000
92,108,14.815
98,110,10.909
100,110,9.091
106,117,9.402
110,117,5.983
115,125,8.000
120,131,8.397
125,134,6.716
131,134,2.239
136,147,7.483
138,147,6.122
142,153,7.190
146,157,7.006
153,167,8.383
155,167,7.186
160,167,4.192
167,176,5.114
172,182,5.495
177,196,9.694
181,196,7.653
184,196,6.122
185,196,5.612
192,205,6.341
199,205,2.927
203,211,3.791
205,211,2.844
209,215,2.791
211,215,1.860
213,215,0.930
215,217,0.922
219,219,0.000
225,235,4.255
230,242,4.959
231,242,4.545
234,242,3.306
236,242,2.479
241,250,3.600
247,255,3.137
249,255,2.353
254,257,1.167
259,273,5.128
263,276,4.710
267,276,3.261
277,284,2.465
280,284,1.408
285,297,4.040
288,297,3.030
292,303,3.630
296,303,2.310
304,313,2.875
306,313,2.236
314,323,2.786
319,327,2.446
327,337,2.967
332,348,4.598
337,348,3.161
342,352,2.841
350,353,0.850
352,353,0.283
358,369,2.981
359,369,2.710
361,369,2.168
364,369,1.355
373,382,2.356
374,382,2.094
379,383,1.044
384,388,1.031
389,403,3.474
390,403,3.226
394,403,2.233
398,403,1.241
404,417,3.118
405,417,2.878
409,417,1.918
412,417,1.199
416,417,0.240
417,417,0.000
422,433,2.540
423,433,2.309
427,436,2.064
430,436,1.376
436,444,1.802
438,444,1.351
443,444,0.225
444,444,0.000
451,456,1.096
455,463,1.728
458,463,1.080
464,475,2.316
467,475,1.684
471,477,1.258
477,490,2.653
479,490,2.245
484,493,1.826
487,493,1.217
491,498,1.406
496,505,1.782
501,511,1.957
502,511,1.761
509,521,2.303
510,521,2.111
515,524,1.718
seq_len,total,ratio
11,11,0.000
15,23,34.783
19,27,29.630
20,27,25.926
23,27,14.815
26,27,3.704
27,27,0.000
32,46,30.435
33,46,28.261
36,46,21.739
41,54,24.074
45,55,18.182
48,55,12.727
53,58,8.621
54,58,6.897
58,59,1.695
62,69,10.145
66,81,18.519
72,81,11.111
76,81,6.173
80,95,15.789
88,95,7.368
93,107,13.084
99,107,7.477
105,120,12.500
108,120,10.000
112,120,6.667
119,126,5.556
121,126,3.968
126,130,3.077
130,132,1.515
131,132,0.758
134,135,0.741
136,136,0.000
140,144,2.778
144,156,7.692
148,156,5.128
151,156,3.205
155,169,8.284
157,169,7.101
161,173,6.936
164,173,5.202
166,173,4.046
169,173,2.312
173,177,2.260
181,186,2.688
185,194,4.639
187,194,3.608
194,203,4.433
201,203,0.985
218,218,0.000
221,222,0.450
222,222,0.000
226,233,3.004
230,239,3.766
236,241,2.075
244,253,3.557
248,257,3.502
251,257,2.335
255,264,3.409
265,270,1.852
269,271,0.738
270,271,0.369
273,273,0.000
286,290,1.379
287,290,1.034
292,303,3.630
298,305,2.295
301,305,1.311
306,317,3.470
308,317,2.839
313,322,2.795
314,322,2.484
317,322,1.553
320,322,0.621
325,333,2.402
331,341,2.933
337,346,2.601
342,346,1.156
345,346,0.289
347,347,0.000
356,363,1.928
361,363,0.551
378,378,0.000
384,393,2.290
390,393,0.763
399,406,1.724
402,406,0.985
411,419,1.909
416,423,1.655
433,433,0.000
447,450,0.667
452,463,2.376
466,468,0.427
468,468,0.000
476,484,1.653
488,492,0.813
504,507,0.592
509,515,1.165
518,526,1.521
seq_len,total,ratio
11,11,0.000
13,14,7.143
17,29,41.379
19,29,34.483
35,37,5.405
39,52,25.000
41,52,21.154
44,52,15.385
48,56,14.286
54,58,6.897
59,65,9.231
64,66,3.030
70,81,13.580
74,84,11.905
75,84,10.714
78,84,7.143
81,84,3.571
84,86,2.326
89,100,11.000
93,100,7.000
96,100,4.000
102,112,8.929
107,117,8.547
108,117,7.692
111,117,5.128
116,129,10.078
121,129,6.202
129,138,6.522
134,148,9.459
139,149,6.711
142,149,4.698
144,149,3.356
146,149,2.013
151,152,0.658
153,153,0.000
160,168,4.762
166,180,7.778
172,182,5.495
178,193,7.772
183,200,8.500
187,200,6.500
189,200,5.500
193,202,4.455
200,210,4.762
205,215,4.651
208,215,3.256
214,224,4.464
221,230,3.913
224,230,2.609
225,230,2.174
226,230,1.739
227,230,1.304
229,230,0.435
230,230,0.000
243,246,1.220
248,251,1.195
253,265,4.528
260,270,3.704
265,277,4.332
266,277,3.971
271,280,3.214
275,280,1.786
283,284,0.352
286,286,0.000
292,301,2.990
299,308,2.922
300,308,2.597
307,324,5.247
312,324,3.704
314,324,3.086
316,324,2.469
325,335,2.985
330,340,2.941
337,342,1.462
342,350,2.286
345,350,1.429
355,360,1.389
366,370,1.081
371,374,0.802
374,375,0.267
385,388,0.773
393,394,0.254
410,410,0.000
414,417,0.719
428,429,0.233
445,445,0.000
462,462,0.000
479,479,0.000
496,496,0.000
513,513,0.000
seq_len,total,ratio
11,11,0.000
13,14,7.143
17,31,45.161
18,31,41.935
24,31,22.581
28,41,31.707
31,41,24.390
33,41,19.512
37,50,26.000
42,52,19.231
43,52,17.308
46,52,11.538
51,68,25.000
55,68,19.118
60,68,11.765
64,73,12.329
69,80,13.750
74,93,20.430
79,93,15.054
83,95,12.632
87,95,8.421
93,108,13.889
97,108,10.185
100,108,7.407
101,108,6.481
105,117,10.256
110,128,14.062
116,129,10.078
121,130,6.923
124,130,4.615
126,130,3.077
130,138,5.797
134,140,4.286
138,143,3.497
144,150,4.000
149,150,0.667
151,153,1.307
153,153,0.000
154,154,0.000
159,165,3.636
164,175,6.286
166,175,5.143
168,175,4.000
175,183,4.372
182,193,5.699
186,197,5.584
192,197,2.538
195,197,1.015
200,209,4.306
203,209,2.871
209,214,2.336
217,222,2.252
225,236,4.661
230,236,2.542
233,239,2.510
235,239,1.674
241,243,0.823
248,260,4.615
252,260,3.077
258,265,2.642
260,265,1.887
263,269,2.230
269,280,3.929
275,280,1.786
277,280,1.071
284,292,2.740
290,297,2.357
297,298,0.336
307,307,0.000
314,324,3.086
324,333,2.703
332,333,0.300
349,349,0.000
364,366,0.546
381,381,0.000
398,398,0.000
415,415,0.000
423,430,1.628
440,440,0.000
443,443,0.000
447,453,1.325
451,459,1.743
456,472,3.390
460,472,2.542
463,472,1.907
464,472,1.695
465,472,1.483
466,472,1.271
468,472,0.847
471,472,0.212
475,480,1.042
479,481,0.416
481,481,0.000
485,485,0.000
491,497,1.207
496,505,1.782
498,505,1.386
502,509,1.375
510,522,2.299
512,522,1.916
seq_len,total,ratio
11,11,0.000
15,18,16.667
19,29,34.483
23,29,20.690
36,39,7.692
38,39,2.564
43,59,27.119
47,60,21.667
51,60,15.000
54,60,10.000
55,60,8.333
64,79,18.987
68,79,13.924
70,79,11.392
71,79,10.127
74,79,6.329
78,89,12.360
81,89,8.989
86,95,9.474
91,107,14.953
96,110,12.727
102,112,8.929
107,112,4.464
111,121,8.264
121,125,3.200
123,125,1.600
129,133,3.008
130,133,2.256
135,152,11.184
139,153,9.150
144,159,9.434
149,159,6.289
153,159,3.774
158,161,1.863
164,173,5.202
172,183,6.011
176,187,5.882
180,192,6.250
186,192,3.125
190,197,3.553
191,197,3.046
197,200,1.500
202,217,6.912
208,220,5.455
211,220,4.091
215,226,4.867
219,226,3.097
224,241,7.054
229,241,4.979
234,243,3.704
237,243,2.469
242,256,5.469
246,256,3.906
250,259,3.475
255,267,4.494
261,271,3.690
265,271,2.214
270,276,2.174
276,290,4.828
281,290,3.103
287,295,2.712
292,307,4.886
296,307,3.583
298,307,2.932
302,313,3.514
305,313,2.556
309,319,3.135
316,326,3.067
321,331,3.021
327,337,2.967
331,337,1.780
336,344,2.326
337,344,2.035
338,344,1.744
346,356,2.809
349,356,1.966
354,356,0.562
359,370,2.973
364,371,1.887
368,377,2.387
373,377,1.061
378,380,0.526
383,391,2.046
384,391,1.790
389,398,2.261
395,398,0.754
399,407,1.966
404,417,3.118
408,418,2.392
412,423,2.600
417,430,3.023
421,430,2.093
427,440,2.955
429,440,2.500
436,445,2.022
444,457,2.845
447,457,2.188
448,457,1.969
451,457,1.313
454,457,0.656
455,457,0.438
458,462,0.866
460,462,0.433
465,481,3.326
469,481,2.495
470,481,2.287
472,481,1.871
