seq_len,total,ratio
11,11,0.000
15,27,44.444
19,37,48.649
34,37,8.108
41,52,21.154
46,52,11.538
50,52,3.846
52,52,0.000
54,54,0.000
58,64,9.375
62,75,17.333
66,75,12.000
72,85,15.294
76,85,10.588
80,86,6.977
85,101,15.842
88,101,12.871
90,101,10.891
92,101,8.911
93,101,7.921
96,101,4.950
97,101,3.960
98,101,2.970
103,103,0.000
111,117,5.128
116,124,6.452
121,132,8.333
126,133,5.263
130,135,3.704
seq_len,total,ratio
11,11,0.000
14,20,30.000
15,20,25.000
20,31,35.484
23,31,25.806
28,31,9.677
32,40,20.000
35,49,28.571
40,52,23.077
41,52,21.154
47,56,16.071
52,60,13.333
57,60,5.000
60,67,10.448
63,67,5.970
66,69,4.348
70,77,9.091
73,77,5.195
78,78,0.000
80,83,3.614
82,87,5.747
87,87,0.000
92,102,9.804
94,102,7.843
95,102,6.863
100,102,1.961
105,119,11.765
107,119,10.084
109,119,8.403
114,119,4.202
118,128,7.812
122,128,4.688
124,128,3.125
126,128,1.562
130,142,8.451
131,142,7.746
133,142,6.338
135,142,4.930
142,142,0.000
148,165,10.303
155,165,6.061
160,165,3.030
165,173,4.624
170,174,2.299
175,182,3.846
177,182,2.747
182,182,0.000
186,200,7.000
191,200,4.500
192,200,4.000
195,200,2.500
197,201,1.990
201,207,2.899
207,223,7.175
216,223,3.139
218,223,2.242
220,224,1.786
224,224,0.000
228,240,5.000
233,240,2.917
238,242,1.653
242,242,0.000
245,252,2.778
246,252,2.381
249,256,2.734
257,257,0.000
262,266,1.504
264,266,0.752
269,277,2.888
277,285,2.807
279,285,2.105
283,294,3.741
290,294,1.361
298,307,2.932
302,312,3.205
305,312,2.244
306,312,1.923
310,326,4.908
314,326,3.681
320,336,4.762
327,336,2.679
330,346,4.624
335,346,3.179
338,346,2.312
343,347,1.153
350,363,3.581
354,363,2.479
355,363,2.204
358,363,1.377
362,363,0.275
368,368,0.000
372,384,3.125
374,384,2.604
379,386,1.813
383,389,1.542
385,389,1.028
388,389,0.257
392,400,2.000
395,400,1.250
398,402,0.995
403,403,0.000
405,405,0.000
407,416,2.163
412,423,2.600
414,423,2.128
419,429,2.331
422,429,1.632
427,433,1.386
431,433,0.462
432,433,0.231
436,444,1.802
441,459,3.922
446,460,3.043
450,462,2.597
454,473,4.017
455,473,3.805
459,473,2.960
464,479,3.132
465,479,2.923
467,479,2.505
469,479,2.088
473,479,1.253
478,486,1.646
481,486,1.029
485,489,0.818
489,501,2.395
492,501,1.796
497,501,0.798
502,514,2.335
508,514,1.167
514,526,2.281
seq_len,total,ratio
11,11,0.000
13,16,18.750
17,29,41.379
22,29,24.138
32,43,25.581
34,43,20.930
36,43,16.279
40,43,6.977
45,52,13.462
49,60,18.333
53,60,11.667
58,65,10.769
62,65,4.615
67,77,12.987
69,77,10.390
70,77,9.091
74,83,10.843
78,87,10.345
82,93,11.828
85,93,8.602
87,93,6.452
93,107,13.084
97,107,9.346
98,107,8.411
101,107,5.607
103,107,3.738
105,111,5.405
111,119,6.723
118,121,2.479
122,128,4.688
128,142,9.859
131,145,9.655
134,145,7.586
137,145,5.517
141,145,2.759
146,154,5.195
147,154,4.545
151,161,6.211
153,161,4.969
157,173,9.249
161,173,6.936
167,173,3.468
171,173,1.156
173,177,2.260
175,179,2.235
178,179,0.559
181,194,6.701
182,194,6.186
184,194,5.155
189,194,2.577
190,194,2.062
192,194,1.031
197,197,0.000
203,203,0.000
209,209,0.000
210,210,0.000
215,229,6.114
232,232,0.000
249,249,0.000
266,266,0.000
283,283,0.000
300,300,0.000
317,317,0.000
334,334,0.000
351,351,0.000
368,368,0.000
385,385,0.000
402,402,0.000
419,419,0.000
436,436,0.000
453,453,0.000
470,470,0.000
487,487,0.000
504,504,0.000
521,521,0.000
seq_len,total,ratio
11,11,0.000
14,14,0.000
19,30,36.667
24,37,35.135
30,37,18.919
35,43,18.605
39,53,26.415
40,53,24.528
43,53,18.868
48,57,15.789
53,60,11.667
59,64,7.812
64,73,12.329
69,82,15.854
70,82,14.634
75,85,11.765
81,92,11.957
90,101,10.891
92,101,8.911
94,101,6.931
95,101,5.941
105,108,2.778
108,108,0.000
113,123,8.130
117,136,13.971
120,136,11.765
124,136,8.824
128,136,5.882
135,145,6.897
138,145,4.828
143,150,4.667
146,153,4.575
151,162,6.790
157,169,7.101
159,169,5.917
164,169,2.959
167,170,1.765
171,174,1.724
176,186,5.376
179,186,3.763
182,186,2.151
189,189,0.000
196,202,2.970
200,202,0.990
204,204,0.000
207,207,0.000
212,212,0.000
216,221,2.262
225,229,1.747
230,238,3.361
242,242,0.000
246,256,3.906
251,256,1.953
256,263,2.662
263,271,2.952
276,276,0.000
281,293,4.096
285,293,2.730
289,293,1.365
294,309,4.854
296,309,4.207
303,309,1.942
308,309,0.324
314,323,2.786
321,323,0.619
323,323,0.000
327,340,3.824
330,340,2.941
332,340,2.353
335,341,1.760
343,343,0.000
346,350,1.143
349,352,0.852
360,366,1.639
363,366,0.820
367,383,4.178
371,383,3.133
380,390,2.564
382,390,2.051
387,398,2.764
391,398,1.759
396,406,2.463
403,414,2.657
404,414,2.415
407,414,1.691
411,420,2.143
413,420,1.667
422,429,1.632
426,429,0.699
432,432,0.000
437,447,2.237
442,458,3.493
