seq_len,total,ratio
11,11,0.000
13,13,0.000
18,30,40.000
20,32,37.500
26,48,45.833
29,51,43.137
34,57,40.351
38,65,41.538
40,70,42.857
41,71,42.254
45,78,42.308
47,81,41.975
51,96,46.875
56,112,50.000
59,124,52.419
64,145,55.862
68,152,55.263
69,153,54.902
73,164,55.488
78,178,56.180
80,181,55.801
84,186,54.839
88,199,55.779
89,200,55.500
95,206,53.883
100,221,54.751
107,242,55.785
111,256,56.641
115,266,56.767
116,267,56.554
120,275,56.364
124,285,56.491
129,292,55.822
134,307,56.352
135,308,56.169
141,315,55.238
143,317,54.890
148,328,54.878
152,334,54.491
155,339,54.277
159,346,54.046
seq_len,total,ratio
11,11,0.000
14,16,12.500
19,33,42.424
21,35,40.000
25,46,45.652
37,69,46.377
43,85,49.412
44,86,48.837
49,105,53.333
53,110,51.818
54,111,51.351
59,123,52.033
62,127,51.181
67,142,52.817
69,144,52.083
75,162,53.704
76,163,53.374
79,168,52.976
84,185,54.595
87,191,54.450
89,193,53.886
91,196,53.571
94,208,54.808
97,212,54.245
103,232,55.603
107,236,54.661
111,256,56.641
115,265,56.604
116,266,56.391
120,271,55.720
122,273,55.311
126,277,54.513
127,278,54.317
128,279,54.122
133,284,53.169
138,298,53.691
144,316,54.430
147,326,54.908
148,327,54.740
155,341,54.545
158,345,54.203
164,357,54.062
168,363,53.719
173,380,54.474
179,393,54.453
182,400,54.500
188,419,55.131
192,431,55.452
198,445,55.506
204,462,55.844
207,470,55.957
216,483,55.280
220,489,55.010
225,506,55.534
229,519,55.877
231,521,55.662
235,528,55.492
240,540,55.556
248,563,55.950
251,571,56.042
257,588,56.293
258,589,56.197
261,593,55.987
269,608,55.757
274,621,55.878
277,626,55.751
282,635,55.591
seq_len,total,ratio
11,11,0.000
13,14,7.143
17,28,39.286
18,29,37.931
25,45,44.444
28,49,42.857
34,66,48.485
35,67,47.761
36,68,47.059
40,86,53.488
45,98,54.082
46,99,53.535
50,104,51.923
52,106,50.943
53,107,50.467
59,123,52.033
63,136,53.676
66,143,53.846
70,152,53.947
75,170,55.882
